key	cost	effect_bundle	category	pre_requisite_set
#unit_purchasable_effects_tables;2;db/unit_purchasable_effects_tables/data__				
wh2_dlc15_grn_upgrade_blinders	wh3_dlc26_scrap_cost_30	wh2_dlc15_grn_upgrade_blinders	mount	
wh2_dlc15_grn_upgrade_chariot_armour	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_chariot_armour	armour	
wh2_dlc15_grn_upgrade_combat_ammobag	wh3_dlc26_scrap_cost_70	wh2_dlc15_grn_upgrade_combat_ammobag	bag	
wh2_dlc15_grn_upgrade_enlarged_ammobag	wh3_dlc26_scrap_cost_20	wh2_dlc15_grn_upgrade_enlarged_ammobag	bag	
wh2_dlc15_grn_upgrade_fungus_flask	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_fungus_flask	flask	
wh2_dlc15_grn_upgrade_heavy_ammo	wh3_dlc26_scrap_cost_30	wh2_dlc15_grn_upgrade_heavy_ammo	arrow	
wh2_dlc15_grn_upgrade_idol_of_gork	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_idol_of_gork	bag	
wh2_dlc15_grn_upgrade_immortual_armour	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_immortual_armour	armour	
wh2_dlc15_grn_upgrade_jagged_weapon	wh3_dlc26_scrap_cost_30	wh2_dlc15_grn_upgrade_jagged_weapon	weapon	
wh2_dlc15_grn_upgrade_liquor_flask	wh3_dlc26_scrap_cost_60	wh2_dlc15_grn_upgrade_liquor_flask	flask	
wh2_dlc15_grn_upgrade_padded_shield	wh3_dlc26_scrap_cost_20	wh2_dlc15_grn_upgrade_padded_shield	armour	
wh2_dlc15_grn_upgrade_piercing_weapon	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_piercing_weapon	weapon	
wh2_dlc15_grn_upgrade_reinforced_weapon	wh3_dlc26_scrap_cost_30	wh2_dlc15_grn_upgrade_reinforced_weapon	weapon	
wh2_dlc15_grn_upgrade_restraints	wh3_dlc26_scrap_cost_30	wh2_dlc15_grn_upgrade_restraints	armour	
wh2_dlc15_grn_upgrade_scrap_armour	wh3_dlc26_scrap_cost_55	wh2_dlc15_grn_upgrade_scrap_armour	armour	
wh2_dlc15_grn_upgrade_scrap_saddles	wh3_dlc26_scrap_cost_35	wh2_dlc15_grn_upgrade_scrap_saddles	mount	
wh2_dlc15_grn_upgrade_sorcery_weapon	wh3_dlc26_scrap_cost_50	wh2_dlc15_grn_upgrade_sorcery_weapon	flask	
