bonus_value_id	effect	pooled_resource
#effect_bonus_value_pooled_resource_junctions_tables;0;db/effect_bonus_value_pooled_resource_junctions_tables/data__		
maximum_mod	wh2_dlc12_pooled_resource_nuke_cap	skv_nuke
maximum_mod	wh2_dlc14_effect_eshin_dust_maximum	skv_dust
maximum_mod	wh2_dlc14_pooled_resource_skaven_dust_cap	skv_dust
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_athel_loren_disabled	wef_worldroots_athel_loren
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_emerald_pools_disabled	wef_worldroots_emerald_pools
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_gaean_vale_disabled	wef_worldroots_gaean_vale
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_gryphon_wood_disabled	wef_worldroots_gryphon_wood
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_heart_of_the_jungle_disabled	wef_worldroots_heart_of_the_jungle
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_jungles_of_chian_disabled	wef_worldroots_jungles_of_chian
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_laurelorn_disabled	wef_worldroots_laurelorn
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_naggarond_glade_disabled	wef_worldroots_naggarond_glade
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_the_haunted_forest_disabled	wef_worldroots_the_haunted_forest
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_vale_of_webs_disabled	wef_worldroots_vale_of_webs
maximum_mod	wh2_main_pooled_resource_skaven_food_cap	skaven_food
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_dlc20_effect_souls_from_post_battle_options	wh3_dlc20_chs_souls
maximum_mod	wh3_dlc25_effect_pooled_resource_blueprints_cap	wh3_dlc25_emp_research
percentage_multiplier_mod	wh3_dlc26_effect_meat_mod_mult_all	wh3_main_ogr_meat
percentage_multiplier_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_khorne_points
percentage_multiplier_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_nurgle_points
percentage_multiplier_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_slaanesh_points
percentage_multiplier_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_tzeentch_points
percentage_multiplier_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_undivided_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_khorne_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_nurgle_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_slaanesh_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_tzeentch_points
post_battle_captivity_outcome_pooled_resource_percentage_mod	wh3_main_effect_dae_all_points_percentage_multiplier_mod	wh3_main_dae_undivided_points
income_disabled	wh3_main_effect_dae_khorne_points_income_disabled	wh3_main_dae_khorne_points
