tree_id	can_be_removed	season	colour_hex
#campaign_tree_ids_tables;2;db/campaign_tree_ids_tables/data__			
grass_01	false	ALL	285064
grass_02	false	ALL	285064
grass_03	false	ALL	285064
grass_04	false	ALL	285064
grass_burnt_01	false	ALL	464646
grass_burnt_02	false	ALL	464646
grass_burnt_03	false	ALL	464646
grass_burnt_04	false	ALL	464646
grass_coral_01	false	ALL	FF5AF0
grass_coral_02	false	ALL	FF5AF0
grass_coral_03	false	ALL	FF5AF0
grass_coral_04	false	ALL	FF5AF0
grass_desert_01	false	ALL	C89664
grass_desert_02	false	ALL	C89664
grass_desert_03	false	ALL	C89664
grass_desert_04	true	ALL	C89664
grass_desert_def_01	true	ALL	B46EB4
grass_desert_def_02	true	ALL	B46EB4
grass_desert_def_03	true	ALL	B46EB4
grass_desert_def_04	true	ALL	B46EB4
grass_evil_01	true	ALL	7D6E6E
grass_evil_02	true	ALL	7D6E6E
grass_evil_03	true	ALL	7D6E6E
grass_evil_04	true	ALL	7D6E6E
grass_grn_01	false	ALL	7D0519
grass_grn_02	false	ALL	7D0519
grass_grn_03	false	ALL	7D0519
grass_grn_04	false	ALL	7D0519
grass_kho_01	true	ALL	823232
grass_kho_02	true	ALL	823232
grass_kho_03	true	ALL	823232
grass_kho_04	true	ALL	823232
grass_mtn_01	false	ALL	FF7E00
grass_mtn_02	false	ALL	FF7E00
grass_mtn_03	false	ALL	FF7E00
grass_mtn_04	false	ALL	FF7E00
grass_nur_01	true	ALL	6E5A28
grass_nur_02	true	ALL	6E5A28
grass_nur_03	true	ALL	6E5A28
grass_nur_04	true	ALL	6E5A28
grass_sla_01	true	ALL	733246
grass_sla_02	true	ALL	733246
grass_sla_03	true	ALL	733246
grass_sla_04	true	ALL	733246
grass_snow_01	false	ALL	C6AC7B
grass_snow_02	false	ALL	C6AC7B
grass_snow_03	false	ALL	C6AC7B
grass_snow_04	false	ALL	C6AC7B
grass_snow_pro_tze_01	true	ALL	A996BC
grass_snow_pro_tze_02	true	ALL	A996BC
grass_snow_pro_tze_03	true	ALL	A996BC
grass_snow_pro_tze_04	true	ALL	A996BC
grass_tze_01	false	ALL	00C3BE
grass_tze_02	false	ALL	00C3BE
grass_tze_03	false	ALL	00C3BE
grass_tze_04	false	ALL	00C3BE
rocks_large_01	true	ALL	878787
rocks_large_02	true	ALL	878787
rocks_large_03	true	ALL	878787
rocks_large_04	true	ALL	878787
rocks_large_05	true	ALL	878787
rocks_large_def_01	true	ALL	4F8BD6
rocks_large_def_02	true	ALL	4F8BD6
rocks_large_def_03	true	ALL	4F8BD6
rocks_large_def_04	true	ALL	4F8BD6
rocks_large_def_05	true	ALL	4F8BD6
rocks_large_dkl_01	true	ALL	C8AA82
rocks_large_dkl_02	true	ALL	C8AA82
rocks_large_dkl_03	true	ALL	C8AA82
rocks_large_dkl_04	true	ALL	C8AA82
rocks_large_ogr_01	true	ALL	A0A087
rocks_large_ogr_02	true	ALL	A0A087
rocks_large_ogr_03	true	ALL	A0A087
rocks_large_ogr_04	true	ALL	A0A087
rocks_large_ogr_05	true	ALL	A0A087
rocks_large_tze_01	true	ALL	A050C8
rocks_large_tze_02	true	ALL	A050C8
rocks_large_tze_03	true	ALL	A050C8
rocks_small_01	true	ALL	787878
rocks_small_02	true	ALL	787878
rocks_small_03	true	ALL	787878
rocks_small_def_01	true	ALL	421453
rocks_small_def_02	true	ALL	421453
rocks_small_def_03	true	ALL	421453
rocks_small_dkl_01	true	ALL	AF9673
rocks_small_dkl_02	true	ALL	AF9673
rocks_small_dkl_03	true	ALL	AF9673
rocks_small_kho_01	true	ALL	644646
rocks_small_kho_02	true	ALL	644646
rocks_small_kho_03	true	ALL	644646
rocks_small_ogr_01	true	ALL	878773
rocks_small_ogr_02	true	ALL	878773
rocks_small_ogr_03	true	ALL	878773
rocks_small_tze_01	true	ALL	9664C8
rocks_small_tze_02	true	ALL	9664C8
rocks_small_tze_03	true	ALL	9664C8
shrubs_01	false	ALL	A0C8BE
shrubs_02	false	ALL	A0C8BE
shrubs_03	false	ALL	A0C8BE
shrubs_04	false	ALL	A0C8BE
shrubs_burnt_01	false	ALL	646464
shrubs_burnt_02	false	ALL	646464
shrubs_burnt_03	false	ALL	646464
shrubs_coral_01	false	ALL	FFA0F0
shrubs_coral_02	false	ALL	FFA0F0
shrubs_coral_03	false	ALL	FFA0F0
shrubs_desert_01	false	ALL	FF8A3C
shrubs_desert_02	false	ALL	FF8A3C
shrubs_desert_03	false	ALL	FF8A3C
shrubs_desert_04	true	ALL	FF8A3C
shrubs_desert_def_01	true	ALL	E6AFE6
shrubs_desert_def_02	true	ALL	E6AFE6
shrubs_desert_def_03	true	ALL	E6AFE6
shrubs_desert_def_04	true	ALL	E6AFE6
shrubs_evil_01	true	ALL	645A5A
shrubs_evil_02	true	ALL	645A5A
shrubs_evil_03	true	ALL	645A5A
