group	behaviour
#special_ability_behaviour_groups_to_types_tables;0;db/special_ability_behaviour_groups_to_types_tables/data__	
captures_unit	captures_unit
changeling_transformation	changeling_transformation
daemonic_instability	daemonic_instability
dig_yourself_out	dig_yourself_out
go_underground	go_underground
missile_mirror	missile_mirror
random_phases	random_phases
realm_of_souls	realm_of_souls_add_uses
summon	summon_unbinding
tamurkhan_death	tamurkhan_death
teleport_leave_battle	teleport_leave_battle
teleport_move	teleport_move
undead_crumbling	crumbling
vortex_on_death	vortex_on_death
vortex_on_entity_death	vortex_on_entity_death
vortex_per_entity	vortex_per_entity
waaagh	waaagh
