key	icon	parent_group
#ui_unit_groupings_tables;1;db/ui_unit_groupings_tables/data__		
artillery_cannon	artillery_cannon	artillery_war_machines
artillery_field_gun	artillery_field_gun	artillery_war_machines
artillery_mortar	artillery_mortar	artillery_war_machines
brt_paladin	wh_main_brt_champion	heroes_agents
brt_paladin_cavalry	wh_main_brt_champion	heroes_agents
brt_paladin_pegasus	wh_main_brt_champion	heroes_agents
catapult	catapult	artillery_war_machines
cavalry	cavalry	cavalry_chariots
cavalry_axe	missile_cavalry_axe	cavalry_chariots
cavalry_disc	wh3_dlc20_tze_doom_knights	cavalry_chariots
cavalry_flying	cavalry_flying	cavalry_chariots
cavalry_flying_rare	cavalry_flying	cavalry_chariots
cavalry_griffon_halberd	cavalry_griffon_halberd	cavalry_chariots
cavalry_skeleton	wh2_dlc09_tmb_cavalry_sword	cavalry_chariots
cavalry_spear_skeleton	wh2_dlc09_tmb_cavalry_spear	cavalry_chariots
cavalry_spider	cavalry_spider	cavalry_chariots
cavalry_wolf	cavalry_wolf	cavalry_chariots
chaos_forsaken	wh3_dlc20_chs_forsaken	infantry
chaos_juggernaut_axe	wh3_dlc20_kho_skullcrushers_axe	cavalry_chariots
chaos_juggernaut_lance	wh3_dlc20_kho_skullcrushers_lance	cavalry_chariots
chaos_juggernaut_sword	wh3_dlc20_kho_bloodcrushers	cavalry_chariots
chaos_spawn	wh3_dlc20_chs_spawn	monster_beasts
chaos_warshrine	wh3_dlc20_chs_warshrine	monster_beasts
chariot	chariot	cavalry_chariots
chd_bale_taurus	wh3_dlc23_chd_bale_taurus	monster_beasts
chd_blunderbuss_axe	wh3_dlc23_chd_blunderbuss_axe	missile_infantry
chd_blunderbuss_great_weapons	wh3_dlc23_chd_blunderbuss_great_weapons	missile_infantry
chd_bull_centaurs_axe	wh3_dlc23_chd_bull_centaurs_axe	cavalry_chariots
chd_bull_centaurs_dual_axes	wh3_dlc23_chd_bull_centaurs_dual_axes	cavalry_chariots
chd_bull_centaurs_great_weapons	wh3_dlc23_chd_bull_centaurs_great_weapons	cavalry_chariots
chd_cavalry_wolf_spear_bow	wh3_dlc23_chd_cavalry_wolf_spear_bow	missile_cavalry_chariots
chd_deathshrieker	wh3_dlc23_chd_deathshrieker	artillery_war_machines
chd_dreadquake	wh3_dlc23_chd_dreadquake	artillery_war_machines
chd_fireglaive	wh3_dlc23_chd_fireglaive	missile_infantry
chd_gorduz_backstabber	wh3_dlc23_chd_gorduz_backstabber	heroes_agents
chd_hobgoblins_dual_sword	wh3_dlc23_chd_hobgoblins_dual_sword	infantry
chd_hobgoblins_sword	wh3_dlc23_chd_hobgoblins_sword	infantry
chd_iron_daemon	wh3_dlc23_chd_iron_daemon	artillery_war_machines
