key	path_key	priority
#cai_personalities_technology_research_path_junctions_tables;0;db/cai_personalities_technology_research_path_junctions_tables/data__		
dlc09_tmb_default	dlc09_tmb_1st_dynasty	1
dlc09_tmb_default	dlc09_tmb_2nd_dynasty	1
dlc09_tmb_default	dlc09_tmb_3rd_dynasty	1
dlc09_tmb_default	dlc09_tmb_4th_dynasty	1
dlc09_tmb_default	dlc09_tmb_5th_dynasty	1
dlc09_tmb_default	dlc09_tmb_6th_dynasty	1
dlc09_tmb_default	dlc09_tmb_final_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_1st_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_2nd_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_3rd_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_4th_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_5th_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_6th_dynasty	1
dlc09_tmb_exiles_of_nehek	dlc09_tmb_final_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_1st_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_2nd_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_3rd_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_4th_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_5th_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_6th_dynasty	1
dlc09_tmb_followers_of_nagash	dlc09_tmb_final_dynasty	1
dlc09_tmb_khemri	dlc09_tmb_1st_dynasty	10
dlc09_tmb_khemri	dlc09_tmb_2nd_dynasty	5
dlc09_tmb_khemri	dlc09_tmb_3rd_dynasty	1
dlc09_tmb_khemri	dlc09_tmb_4th_dynasty	1
dlc09_tmb_khemri	dlc09_tmb_5th_dynasty	1
dlc09_tmb_khemri	dlc09_tmb_6th_dynasty	1
dlc09_tmb_khemri	dlc09_tmb_final_dynasty	10
dlc09_tmb_lybaras	dlc09_tmb_1st_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_2nd_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_3rd_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_4th_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_5th_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_6th_dynasty	1
dlc09_tmb_lybaras	dlc09_tmb_final_dynasty	1
research_default	path_low	5
research_high_manager	path_standard	1
research_war	path_standard	5
wh3_main_hef	wh3_main_hef_cul_2	5
wh3_main_hef	wh3_main_hef_mil_1	10
wh3_main_hef	wh3_main_hef_mil_2	10
wh3_main_hef	wh3_main_hef_mil_3	5
wh3_main_hef	wh3_main_hef_mil_4	5
wh3_main_vmp	wh3_main_vmp_1	5
wh3_main_vmp	wh3_main_vmp_2	1
wh3_main_vmp	wh3_main_vmp_3	5
wh3_main_vmp	wh3_main_vmp_4	15
