agent_key	campaign_effect_scope_key	agent_subtype
#campaign_effect_scope_agent_junctions_tables;1;db/campaign_effect_scope_agent_junctions_tables/data__		
general	building_to_character_own_factionwide_clawspeakers_sawai	wh3_cp1_cth_sawai
spy	building_to_character_own_factionwide_clawspeakers_sawai	
spy	building_to_character_own_factionwide_clawspeakers	
dignitary	character_to_character_regionwide_local_region_warrior_priest_witch_hunter	wh_main_emp_warrior_priest
spy	character_to_character_regionwide_local_region_warrior_priest_witch_hunter	
dignitary	character_to_faction_priest_of_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	character_to_faction_priest_of_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
dignitary	character_to_faction_warrior_sigmar_unseen	wh_main_emp_warrior_priest
general	character_to_force_own_unseen_liche_high_priest	wh3_dlc29_tmb_liche_high_priest_light
general	character_to_force_own_unseen_liche_high_priest	wh3_dlc29_tmb_liche_high_priest_shadow
wizard	faction_to_character_dieter	wh3_dlc29_vmp_dieter_helsnicht
general	faction_to_character_mannfred	wh_main_vmp_mannfred_von_carstein
champion	faction_to_character_own_agents	
dignitary	faction_to_character_own_agents	
engineer	faction_to_character_own_agents	
runesmith	faction_to_character_own_agents	
spy	faction_to_character_own_agents	
wizard	faction_to_character_own_agents	
champion	faction_to_character_own_bloodline_blood_dragon	wh3_dlc29_vmp_walach_harkon
general	faction_to_character_own_bloodline_blood_dragon	wh2_dlc11_vmp_bloodline_blood_dragon
general	faction_to_character_own_bloodline_blood_dragon	wh_dlc05_vmp_red_duke
general	faction_to_character_own_bloodline_lahmian	wh2_dlc11_vmp_bloodline_lahmian
general	faction_to_character_own_bloodline_lahmian	wh3_dlc29_vmp_neferata
wizard	faction_to_character_own_bloodline_lahmian	wh3_dlc23_neu_ulrika
general	faction_to_character_own_bloodline_necrarch	wh2_dlc11_vmp_bloodline_necrarch
general	faction_to_character_own_bloodline_strigoi	wh2_dlc11_vmp_bloodline_strigoi
general	faction_to_character_own_bloodline_strigoi	wh_dlc04_vmp_strigoi_ghoul_king
general	faction_to_character_own_bloodline_von_carstein	wh2_dlc11_vmp_bloodline_von_carstein
general	faction_to_character_own_bloodline_von_carstein	wh_dlc04_vmp_vlad_con_carstein
general	faction_to_character_own_bloodline_von_carstein	wh_main_vmp_mannfred_von_carstein
general	faction_to_character_own_bloodline_von_carstein	wh_pro02_vmp_isabella_von_carstein
runesmith	faction_to_character_own_bloodline_von_carstein	wh_dlc04_vmp_vlad_von_carstein_hero
runesmith	faction_to_character_own_bloodline_von_carstein	wh_pro02_vmp_isabella_von_carstein_hero
champion	faction_to_character_own_champion_only_unseen	
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_death
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_deep
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_fem_death
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_fem_deep
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_fem_vampires
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_admiral_vampires
general	faction_to_character_own_cst_unseen	wh2_dlc11_cst_harkon
general	faction_to_character_own_cst_unseen	wh3_dlc29_cst_vampire_fleet_admiral_female_undeath
general	faction_to_character_own_cst_unseen	wh3_dlc29_cst_vampire_fleet_admiral_undeath
dignitary	faction_to_character_own_dignitary_only	
dignitary	faction_to_character_own_dignitary_runesmith_only	
runesmith	faction_to_character_own_dignitary_runesmith_only	
engineer	faction_to_character_own_engineer_only	
champion	faction_to_character_own_heroes_only	
dignitary	faction_to_character_own_heroes_only	
engineer	faction_to_character_own_heroes_only	
runesmith	faction_to_character_own_heroes_only	
spy	faction_to_character_own_heroes_only	
wizard	faction_to_character_own_heroes_only	
champion	faction_to_character_own_krell	wh3_dlc29_vmp_krell
general	faction_to_character_own_lords_only	
dignitary	faction_to_character_own_priest_of_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_character_own_priest_of_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
general	faction_to_character_own_tmb_unseen	wh2_dlc09_tmb_arkhan
general	faction_to_character_own_tmb_unseen	wh2_dlc09_tmb_tomb_king
general	faction_to_character_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_death
general	faction_to_character_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_light
general	faction_to_character_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_nehekhara
general	faction_to_character_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_shadow
general	faction_to_character_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_undeath
general	faction_to_character_own_ulric_lords	wh3_dlc29_emp_cha_seneschal_of_the_white_wolf
general	faction_to_character_own_ulric_lords	wh_dlc03_emp_boris_todbringer
champion	faction_to_character_own_unseen_heroes_only	
dignitary	faction_to_character_own_unseen_heroes_only	
engineer	faction_to_character_own_unseen_heroes_only	
runesmith	faction_to_character_own_unseen_heroes_only	
spy	faction_to_character_own_unseen_heroes_only	
wizard	faction_to_character_own_unseen_heroes_only	
general	faction_to_character_own_unseen_lords_only	
champion	faction_to_character_own_unseen	
dignitary	faction_to_character_own_unseen	
engineer	faction_to_character_own_unseen	
general	faction_to_character_own_unseen	
runesmith	faction_to_character_own_unseen	
spy	faction_to_character_own_unseen	
wizard	faction_to_character_own_unseen	
dignitary	faction_to_character_own_warrior_priest_witch_hunter_unseen	wh_main_emp_warrior_priest
spy	faction_to_character_own_warrior_priest_witch_hunter_unseen	
wizard	faction_to_character_own_wizard_only	
champion	faction_to_character_own	
dignitary	faction_to_character_own	
engineer	faction_to_character_own	
general	faction_to_character_own	
runesmith	faction_to_character_own	
spy	faction_to_character_own	
wizard	faction_to_character_own	
champion	faction_to_character_walach	wh3_dlc29_vmp_walach_harkon
general	faction_to_death_casters_or_nagash	wh2_dlc09_tmb_arkhan
general	faction_to_death_casters_or_nagash	wh2_dlc11_cst_admiral_death
general	faction_to_death_casters_or_nagash	wh2_dlc11_cst_admiral_fem_death
general	faction_to_death_casters_or_nagash	wh3_dlc29_nag_nagash
general	faction_to_death_casters_or_nagash	wh3_dlc29_tmb_liche_high_priest_death
general	faction_to_death_casters_or_nagash	wh3_dlc29_vmp_neferata
general	faction_to_death_casters_or_nagash	wh_main_vmp_mannfred_von_carstein
dignitary	faction_to_faction_own_priest_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_faction_own_priest_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
dignitary	faction_to_faction_own_warrior_priest_unseen	wh_main_emp_warrior_priest
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_death
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_deep
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_fem_death
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_fem_deep
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_fem_vampires
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_admiral_vampires
general	faction_to_force_own_cst_unseen	wh2_dlc11_cst_harkon
general	faction_to_force_own_cst_unseen	wh3_dlc29_cst_vampire_fleet_admiral_female_undeath
general	faction_to_force_own_cst_unseen	wh3_dlc29_cst_vampire_fleet_admiral_undeath
dignitary	faction_to_force_own_priest_ulric_unseen	wh3_dlc29_emp_cha_emil_valgeir
dignitary	faction_to_force_own_priest_ulric_unseen	wh3_dlc29_emp_cha_priest_of_ulric
general	faction_to_force_own_tmb_unseen	wh2_dlc09_tmb_arkhan
general	faction_to_force_own_tmb_unseen	wh2_dlc09_tmb_tomb_king
general	faction_to_force_own_tmb_unseen	wh3_dlc29_tmb_liche_high_priest_death
