key	ritual	sort
#rituals_to_nakai_temple_levels_tables;0;db/rituals_to_nakai_temple_levels_tables/data__		
nakai_temple_itzl_1	wh2_dlc13_ritual_temple_itzl_1_skink_chief	2
nakai_temple_itzl_2	wh2_dlc13_ritual_temple_quetzl_4_cold_one_spears	3
nakai_temple_itzl_3	wh2_dlc13_ritual_temple_itzl_3_horned_ones	4
nakai_temple_itzl_4	wh2_dlc13_ritual_temple_quetzl_5_stegadon	5
nakai_temple_itzl_5	wh2_dlc13_ritual_temple_itzl_5_carnosaur	6
nakai_temple_itzl_6	wh2_dlc13_ritual_temple_itzl_0_hunters_gaze	1
nakai_temple_quetzl_1	wh2_dlc13_ritual_temple_quetzl_3_saurus_scar_veteran	2
nakai_temple_quetzl_2	wh2_dlc13_ritual_temple_quetzl_2_saurus_spears	3
nakai_temple_quetzl_3	wh2_dlc13_ritual_temple_itzl_2_saurus_warriors	4
nakai_temple_quetzl_4	wh2_dlc13_ritual_temple_itzl_4_kroxigors	5
nakai_temple_quetzl_5	wh2_dlc13_ritual_temple_xholankha_4_temple_guard	6
nakai_temple_quetzl_6	wh2_dlc13_ritual_temple_quetzl_0_stalwart_defenders	1
nakai_temple_xholankha_1	wh2_dlc13_ritual_temple_xholankha_1_skink_priest	2
nakai_temple_xholankha_2	wh2_dlc13_ritual_temple_quetzl_1_skink_skirms	3
nakai_temple_xholankha_3	wh2_dlc13_ritual_temple_xholankha_2_terradon	4
nakai_temple_xholankha_4	wh2_dlc13_ritual_temple_xholankha_3_slann	5
nakai_temple_xholankha_5	wh2_dlc13_ritual_temple_xholankha_5_stegadon_solar	6
nakai_temple_xholankha_6	wh2_dlc13_ritual_temple_xholankha_0_plenty	1
