campaign_group	unique_agent	base_charges
#campaign_group_unique_agents_tables;0;db/campaign_group_unique_agents_tables/data__		
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_hunter_doctor_hertwig_van_hal	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_hunter_jorek_grimm	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_hunter_kalara_of_wydrioth	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_hunter_rodrik_l_anguille	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_pro08_neu_felix	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh3_dlc23_neu_ulrika	1
wh2_dlc13_emp_the_huntmarshals_expedition	wh3_dlc25_neu_gotrek_hero	1
wh2_main_feature_lizardmen	wh2_dlc12_lzd_lord_kroak	1
wh2_main_feature_skaven	wh2_dlc16_skv_ghoritch	1
wh3_dlc20_feature_archaon	wh3_dlc24_tze_aekold_helbrass	0
wh3_dlc20_feature_archaon	wh3_dlc24_tze_blue_scribes	0
wh3_dlc20_feature_archaon	wh3_dlc26_kho_scyla_anfingrimm	1
wh3_dlc20_feature_archaon	wh3_pro12_kho_cha_karanak	1
wh3_dlc20_feature_kholek	wh3_dlc24_tze_aekold_helbrass	0
wh3_dlc20_feature_kholek	wh3_dlc24_tze_blue_scribes	0
wh3_dlc20_feature_kholek	wh3_dlc26_kho_scyla_anfingrimm	1
wh3_dlc20_feature_kholek	wh3_pro12_kho_cha_karanak	1
wh3_dlc20_feature_sigvald	wh3_dlc24_tze_aekold_helbrass	0
wh3_dlc20_feature_sigvald	wh3_dlc24_tze_blue_scribes	0
wh3_dlc20_feature_valkia	wh3_dlc26_kho_scyla_anfingrimm	1
wh3_dlc20_feature_valkia	wh3_dlc26_kho_skarr_bloodwrath	1
wh3_dlc20_feature_valkia	wh3_pro12_kho_cha_karanak	1
wh3_dlc20_feature_vilitch	wh3_dlc24_tze_aekold_helbrass	0
wh3_dlc20_feature_vilitch	wh3_dlc24_tze_blue_scribes	0
wh3_dlc23_feature_chaos_dwarfs	wh3_dlc23_chd_gorduz_backstabber	0
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_bray_shaman_wild_chieftain	1
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_castellan_chieftain	1
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_exalted_hero_chieftain	1
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_fimir_balefiend_shadow_chieftain	1
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_kayzk_the_befouled	1
wh3_dlc25_nur_tamurkhan	wh3_dlc25_nur_skin_wolf_werekin_chieftain	1
wh3_main_feature_belakor	wh3_dlc24_tze_aekold_helbrass	0
wh3_main_feature_belakor	wh3_dlc24_tze_blue_scribes	0
wh3_main_feature_belakor	wh3_dlc26_kho_scyla_anfingrimm	1
wh3_main_feature_belakor	wh3_pro12_kho_cha_karanak	1
wh3_main_feature_cathay	wh2_pro08_neu_felix	1
wh3_main_feature_cathay	wh3_dlc24_cth_saytang_the_watcher	1
wh3_main_feature_cathay	wh3_dlc25_neu_gotrek_hero	1
wh3_main_feature_daemons	wh3_dlc24_tze_aekold_helbrass	0
wh3_main_feature_daemons	wh3_dlc24_tze_blue_scribes	0
wh3_main_feature_daemons	wh3_dlc26_kho_scyla_anfingrimm	1
