key	marker_type	actionable	audio_character_vo
#campaign_interactable_marker_infos_tables;3;db/campaign_interactable_marker_infos_tables/data__			
dragon_marker	dragon_marker	false	
encounter_marker_1	island_01	false	
encounter_marker_10	island_10	false	
encounter_marker_11	island_11	false	
encounter_marker_12	island_12	false	
encounter_marker_13	island_13	false	
encounter_marker_15	island_15	false	
encounter_marker_16	island_16	false	
encounter_marker_17	island_17	false	
encounter_marker_18	island_18	false	
encounter_marker_19	island_19	false	
encounter_marker_2	island_02	false	
encounter_marker_20	island_20	false	
encounter_marker_21	island_21	false	
encounter_marker_22	island_22	false	
encounter_marker_23	island_23	false	
encounter_marker_24	island_24	false	
encounter_marker_25	island_25	false	
encounter_marker_26	island_26	false	
encounter_marker_27	island_27	false	
encounter_marker_28	island_28	false	
encounter_marker_29	island_29	false	
encounter_marker_3	island_03	false	
encounter_marker_30	island_30	false	
encounter_marker_31	island_31	false	
encounter_marker_32	island_32	false	
encounter_marker_4	island_04	false	
encounter_marker_5	island_05	false	
encounter_marker_6	island_06	false	
encounter_marker_7	island_07	false	
encounter_marker_8	island_08	false	
encounter_marker_9	island_09	false	
endgame_vermintide_marker	interactable_marker	false	
food_merchant	food_merchant	false	
gotrek_marker	gotrek_marker	false	
invasion_marker_1	imminent_invasion_level3	false	
invasion_marker_2	imminent_invasion_level2	false	
invasion_marker_3	imminent_invasion_level1	false	
oxyotl_chaos_mission	oxyotl_mission_marker	false	
prologue_marker_1	prologue_test_marker	false	
tzeentch_poi_marker_dead_king	chaos_realm_aoi_marker	false	
tzeentch_poi_marker_eternity_stair	chaos_realm_aoi_marker	false	
tzeentch_poi_marker_eyrie	chaos_realm_aoi_marker	false	
tzeentch_poi_marker_heavenward	chaos_realm_aoi_marker	false	
tzeentch_poi_marker_iron_knight	chaos_realm_aoi_marker	false	
tzeentch_poi_marker_liars_monolith	chaos_realm_aoi_marker	false	
wh3_dlc24_the_changeling_rifts_schemes	chaos_realm_aoi_marker	false	
wh3_dlc24_the_changeling_rifts_tech	chaos_realm_aoi_marker	false	
wh3_dlc25_malakai_adventures_battle_chaos_dwarfs	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_battle_greenskins	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_battle_high_elves	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_battle_skaven	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_battle_vampire_counts	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_battle_wood_elves	area_of_interest_red	false	
wh3_dlc25_malakai_adventures_dilemma_caravan_detoured	chaos_realm_aoi_marker	false	
wh3_dlc25_malakai_adventures_dilemma_dwarf_refugees	chaos_realm_aoi_marker	false	
wh3_dlc25_malakai_adventures_dilemma_manling_priorities	chaos_realm_aoi_marker	false	
wh3_dlc25_nemesis_crown_battle_marker	nemesis_crown_marker	false	
wh3_dlc27_monster_arcanum	dragon_marker	true	campaign_vo_attack_monstrous_arcanum_hunt
wh3_main_kho_machina_daemonium	chaos_realm_aoi_marker	false	
wh3_main_kho_skull_of_the_first	chaos_realm_aoi_marker	false	
wh3_main_kho_skull_pile	wh3_main_kho_skull_pile	false	
wh3_main_kho_tree_of_souls	chaos_realm_aoi_marker	false	
wh3_main_kho_wrathgate	chaos_realm_aoi_marker	false	
wh3_main_nur_arghus_the_plague_moon	chaos_realm_aoi_marker	false	
wh3_main_nur_lair_of_the_maggot_lord	chaos_realm_aoi_marker	false	
wh3_main_nur_the_great_tree	chaos_realm_aoi_marker	false	
wh3_main_nur_the_septic_isle	chaos_realm_aoi_marker	false	
wh3_main_sla_portal	wh3_main_sla_portal	false	
wh3_main_tze_waystone	wh3_main_tze_waystone	false	
worldroots_encounter	imminent_invasion_level1	false	
