incident_key	followup_mission_key
#cdir_events_incident_followup_missions_tables;0;db/cdir_events_incident_followup_missions_tables/data__	
wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_a	wh3_main_ie_qb_tmb_settra_the_crown_of_nehekhara
wh2_dlc09_settra_the_crown_of_nehekhara_stage_3_b	wh3_main_ie_qb_tmb_settra_the_crown_of_nehekhara
wh2_dlc10_monster_hunt_8_stage_3a_2	wh2_dlc10_monster_hunt_8_stage_4
wh2_dlc10_monster_hunt_8_stage_3b	wh2_dlc10_monster_hunt_8_stage_4
wh2_dlc10_monster_hunt_9_stage_2	wh2_dlc10_monster_hunt_9_stage_3
wh2_dlc16_incident_wef_drycha_potion_sacre	wh3_main_ie_qb_wef_drycha_coeddil_unchained
wh_dlc08_qb_nor_monster_hunt_0_stage_3b	wh_dlc08_monster_hunt_0_stage_4
wh_dlc08_qb_nor_monster_hunt_1_stage_4	wh_dlc08_monster_hunt_1_stage_5
wh_dlc08_qb_nor_monster_hunt_2_stage_3b	wh_dlc08_monster_hunt_2_stage_4
wh_dlc08_qb_nor_monster_hunt_4_stage_3_2_mpc	wh_dlc08_qb_nor_monster_hunt_4
wh_dlc08_qb_nor_monster_hunt_4_stage_3_2	wh_dlc08_qb_nor_monster_hunt_4
wh_dlc08_qb_nor_monster_hunt_4_stage_3b	wh_dlc08_qb_nor_monster_hunt_4
