key	infection_duration	spread_count_max	force_to_force_battle_infection_chance	force_to_force_infection_chance	force_to_region_infection_chance	region_to_force_infection_chance	region_to_region_infection_chance	infection_chance_reduction_post_spread	minimum_infection_chance	immunity_duration
#plague_parameters_tables;2;db/plague_parameters_tables/data__										
ague_base_parameters	2	4	100	20	20	20	20	50	5	0
beastmen_parameters	3	4	20	20	20	20	20	50	5	5
buboes_base_parameters	3	4	100	20	20	20	20	0	0	0
component_default_parameters	0	0	0	0	0	0	0	0	0	0
component_duration_parameters	4	0	0	0	0	0	0	0	0	0
component_force_spread_parameters	0	0	100	30	0	30	0	0	0	0
component_settlement_spread_parameters	0	0	0	0	30	0	30	0	0	0
component_spread_count_parameters	0	4	0	0	0	0	0	0	0	0
daemon_prince_parameters	5	100	20	20	0	0	0	50	5	5
nur_base_hidden	0	0	0	0	0	0	0	50	5	0
nur_random_plagues	3	100	25	25	25	25	25	50	5	3
pox_base_parameters	3	4	100	20	20	20	20	0	0	0
rot_base_parameters	3	4	100	20	20	20	20	0	0	0
shakes_base_parameters	3	4	100	20	20	20	20	0	0	0
skaven_parameters	5	6	20	20	20	20	20	50	5	5
wh3_dlc25_nur_mutation_duration_0	3	0	0	0	0	0	0	0	0	0
wh3_dlc25_nur_mutation_duration_1	4	0	0	0	0	0	0	0	0	0
wh3_dlc25_nur_mutation_duration_2	5	0	0	0	0	0	0	0	0	0
wh3_dlc25_nur_mutation_duration_3	6	0	0	0	0	0	0	0	0	0
wh3_dlc25_nur_mutation_immunity_0	0	0	0	0	0	0	0	0	0	5
wh3_dlc25_nur_mutation_immunity_1	0	0	0	0	0	0	0	0	0	4
wh3_dlc25_nur_mutation_immunity_2	0	0	0	0	0	0	0	0	0	3
wh3_dlc25_nur_mutation_immunity_3	0	0	0	0	0	0	0	0	0	2
wh3_dlc25_nur_mutation_spread_0	0	100	-500	25	25	25	25	0	0	0
wh3_dlc25_nur_mutation_spread_1	0	100	-500	35	35	35	35	0	0	0
wh3_dlc25_nur_mutation_spread_2	0	100	-500	45	45	45	45	0	0	0
wh3_dlc25_nur_mutation_spread_3	0	100	-500	55	55	55	55	0	0	0
wh3_nur_plague_component_16	0	0	20	20	20	20	20	0	0	0
wh3_nur_plague_component_17	3	0	0	0	0	0	0	0	0	0
wh3_nur_plague_component_20	0	4	0	0	0	0	0	0	0	0
wh3_nur_plague_component_7	0	0	5	5	5	5	5	0	0	0
wh3_nur_plague_component_recipe_1	5	0	15	15	15	15	15	0	0	0
wh3_nur_plague_component_recipe_2	5	0	15	15	15	15	15	0	0	0
wh3_nur_plague_component_recipe_3	5	0	15	15	15	15	15	0	0	0
wh3_nur_plague_component_recipe_4	5	0	15	15	15	15	15	0	0	0
wh3_nur_plague_component_recipe_5	5	0	15	15	15	15	15	0	0	0
