key	campaign	traveller_requirements	permitted_agents	travel_time
#teleportation_networks_tables;0;db/teleportation_networks_tables/data__				
wh3_dlc20_teleportation_network_chaos	wh3_main_chaos	champions	all_agents	0
wh3_dlc23_endgame_chd_cathay	wh3_main_combi	any	all_agents	1
wh3_dlc23_endgame_chd_empire	wh3_main_combi	any	all_agents	1
wh3_dlc23_endgame_chd_lustria	wh3_main_combi	any	all_agents	1
wh3_dlc23_endgame_chd_naggaroth	wh3_main_combi	any	all_agents	1
wh3_dlc23_endgame_chd_southlands	wh3_main_combi	any	all_agents	1
wh3_dlc23_sea_lane_chaos_dwarf_canal	wh3_main_combi	any	all_agents	2
wh3_dlc24_the_changeling_rifts_chaos	wh3_main_chaos	the_changeling	all_agents	1
wh3_dlc24_the_changeling_rifts_combi	wh3_main_combi	the_changeling	all_agents	1
wh3_main_sea_lane_jade_to_dread	wh3_main_combi	any	all_agents	2
wh3_main_sea_lane_jade_to_far_sea	wh3_main_combi	any	all_agents	2
wh3_main_sea_lane_jade_to_lustria_gulf	wh3_main_combi	any	all_agents	2
wh3_main_sea_lane_underworld_sea	wh3_main_combi	any	all_agents	2
wh3_main_teleportation_network_belakor	wh3_main_combi	belakor	all_agents	0
wh3_main_teleportation_network_chaos	wh3_main_chaos	faction_leaders_only	all_agents_excluding_ritual_special	0
