name	can_weather_disable	event_start	event_stop	intensity_rtpc	make_rtpc_global	sample_distance	height_influence	height_scale	use_building_height	use_tree_height	always_play
#audio_battle_environment_loops_tables;2;db/audio_battle_environment_loops_tables/data__											
WH3_Corruption_Switch_Loops	true	Battle_Environment_Corruption_Loops_Play	Battle_Environment_Corruption_Loops_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Cathay_Forest_Loop	true	Battle_Environment_Forests_Loop_Cathay_Play	Battle_Environment_Forests_Loop_Cathay_Stop	Generic_Forest_Percentage	false	150.0000	false	1.0000	false	false	false
WH3_Faction_Cathay_Primary_Loop	true	Battle_Environment_Cathay_Primary_Loop_Play	Battle_Environment_Cathay_Primary_Loop_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Cathay_Secondary_Loop	true	Battle_Environment_Cathay_Secondary_Loop_Play	Battle_Environment_Cathay_Secondary_Loop_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Ext_Primary_Creature_Breath	true	Battle_Environment_Chaos_Ext_Primary_Loop_Creature_Breath_Play	Battle_Environment_Chaos_Ext_Primary_Loop_Creature_Breath_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Ext_Primary_Loop_Flavor	true	Battle_Environment_Chaos_Ext_Primary_Loop_Flavor_Play	Battle_Environment_Chaos_Ext_Primary_Loop_Flavor_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Ext_Primary_Loop_Voices	true	Battle_Environment_Chaos_Ext_Primary_Loop_Voices_Play	Battle_Environment_Chaos_Ext_Primary_Loop_Voices_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Ext_Secondary_Loop_Fire	true	Battle_Environment_Chaos_Ext_Secondary_Loop_Fire_Play	Battle_Environment_Chaos_Ext_Secondary_Loop_Fire_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Ext_Secondary_Loop_Rumble	true	Battle_Environment_Chaos_Ext_Secondary_Loop_Rock_Rumble_Play	Battle_Environment_Chaos_Ext_Secondary_Loop_Rock_Rumble_Stop		false	100.0000	false	1.0000	false	false	false
WH3_Faction_Chaos_Int_Primary_Loop	true	Battle_Environment_Chaos_Int_Primary_Loop_Play	Battle_Environment_Chaos_Int_Primary_Loop_Stop		false	100.0000	false	1.0000	false	false	false
