bonus_value_id	effect	public_order_provider
#effect_bonus_value_public_order_provider_junctions_tables;0;db/effect_bonus_value_public_order_provider_junctions_tables/data__		
BASE	wh2_main_effect_agent_action_passive_spread_public_order_effect_negative	wh3_main_public_order_provider_characters
BASE	wh2_main_effect_agent_action_passive_spread_public_order_effect_positive	wh3_main_public_order_provider_characters
BASE	wh2_main_effect_public_order_characters_factionwide	wh3_main_public_order_provider_characters
BASE	wh3_dlc23_effect_public_order_labour	wh3_dlc23_public_order_provider_labour
BASE	wh3_dlc23_effect_public_order_slaves	wh3_main_public_order_provider_slaves
BASE	wh3_dlc23_effect_public_order_toz	wh3_dlc23_public_order_provider_toz
BASE	wh3_dlc24_effect_public_order_compass	wh3_dlc24_public_order_provider_compass
BASE	wh3_dlc25_effect_public_order_imperial_authority	wh3_dlc25_public_order_provider_imperial_authority
BASE	wh3_main_effect_public_order_atamans	wh3_main_public_order_provider_atamans
BASE	wh3_main_effect_public_order_bloodlines	wh3_main_public_order_provider_bloodlines
BASE	wh3_main_effect_public_order_climate	wh3_main_public_order_climate
BASE	wh3_main_effect_public_order_compass	wh3_main_effect_public_order_compass
BASE	wh3_main_effect_public_order_confederation	wh3_main_public_order_provider_confederation
BASE	wh3_main_effect_public_order_control_level	wh3_main_public_order_provider_control_level
BASE	wh3_main_effect_public_order_corruption_chaos	wh3_main_public_order_corruption_chaos
BASE	wh3_main_effect_public_order_corruption_khorne	wh3_main_public_order_corruption_khorne
BASE	wh3_main_effect_public_order_corruption_nurgle	wh3_main_public_order_corruption_nurgle
BASE	wh3_main_effect_public_order_corruption_skaven	wh3_main_public_order_corruption_skaven
BASE	wh3_main_effect_public_order_corruption_slaanesh	wh3_main_public_order_corruption_slaanesh
BASE	wh3_main_effect_public_order_corruption_tzeentch	wh3_main_public_order_corruption_tzeentch
BASE	wh3_main_effect_public_order_corruption_vampiric	wh3_main_public_order_corruption_vampiric
BASE	wh3_main_effect_public_order_daemonic_progression	wh3_main_public_order_provider_daemonic_progression
BASE	wh3_main_effect_public_order_defender_of_ulthuan	wh3_main_public_order_defender_of_ulthuan
BASE	wh3_main_effect_public_order_harmony	wh3_main_public_order_provider_harmony
BASE	wh3_main_effect_public_order_hostility	wh3_main_public_order_provider_hostility
BASE	wh3_main_effect_public_order_invoking_the_motherland	wh3_main_public_order_provider_invoking_the_motherland
BASE	wh3_main_effect_public_order_karak_eight_peaks	wh3_main_public_order_provider_karak_eight_peaks
BASE	wh3_main_effect_public_order_nurgle_plague	wh3_main_public_order_provider_nurgle_plague
BASE	wh3_main_effect_public_order_supporters	wh3_main_public_order_provider_supporters
BASE	wh3_main_effect_public_order_unholy_manifestations_negative	wh3_main_public_order_provider_unholy_manifestations
BASE	wh_main_effect_force_army_campaign_local_happiness_repression	wh3_main_public_order_provider_military_activity
BASE	wh_main_effect_force_army_campaign_local_happiness_repression_good	wh3_main_public_order_provider_military_activity
BASE	wh_main_effect_province_food_shortage_public_order_happiness	wh3_main_public_order_provider_food
BASE	wh_main_effect_public_order_base	wh3_main_public_order_provider_building_positive
BASE	wh_main_effect_public_order_base_negative	wh3_main_public_order_provider_building_negative
BASE	wh_main_effect_public_order_characters	wh3_main_public_order_provider_characters
BASE	wh_main_effect_public_order_characters_factionwide	wh3_main_public_order_provider_characters
BASE	wh_main_effect_public_order_characters_negative	wh3_main_public_order_provider_characters
BASE	wh_main_effect_public_order_difficulty_level	wh3_main_public_order_provider_baseline
BASE	wh_main_effect_public_order_edict	wh3_main_public_order_provider_family_power
BASE	wh_main_effect_public_order_events	wh3_main_public_order_provider_events
BASE	wh_main_effect_public_order_faction	wh3_main_public_order_provider_faction
BASE	wh_main_effect_public_order_global	wh3_main_public_order_provider_building_positive
BASE	wh_main_effect_public_order_grudges	wh3_main_public_order_grudges
BASE	wh_main_effect_public_order_osmosis	wh3_main_public_order_provider_building_positive
BASE	wh_main_effect_public_order_plague	wh3_main_public_order_provider_plague
BASE	wh_main_effect_public_order_tax_rate	wh3_main_public_order_provider_taxes
BASE	wh_main_effect_public_order_tech	wh3_main_public_order_provider_technology_factor
