bonus_value_id	effect	resource_factor
#effect_bonus_value_pooled_resource_factor_junctions_tables;0;db/effect_bonus_value_pooled_resource_factor_junctions_tables/data__		
base_amount	wh2_dlc09_pooled_resource_canopic_jars_buildings	canopic_jars_buildings
base_amount	wh2_dlc09_pooled_resource_canopic_jars_characters	canopic_jars_characters
base_amount	wh2_dlc09_pooled_resource_canopic_jars_mission	canopic_jars_missions
base_amount	wh2_dlc09_pooled_resource_canopic_jars_rite	canopic_jars_great_incantation_of_geheb
base_amount	wh2_dlc10_pooled_resource_oathgold_buildings	dwf_oathgold_buildings
base_amount	wh2_dlc10_pooled_resource_oathgold_characters	dwf_oathgold_characters
base_amount	wh2_dlc10_pooled_resource_oathgold_mission	dwf_oathgold_missions
base_amount	wh2_dlc10_pooled_resource_oathgold_quest_rewards	dwf_oathgold_quest_rewards
base_amount	wh2_dlc11_pooled_resource_infamy_buildings	infamy_pirate_coves
base_amount	wh2_dlc11_pooled_resource_infamy_edict	infamy_edicts
base_amount	wh2_dlc11_pooled_resource_infamy_other	infamy_other
base_amount	wh2_dlc12_effect_post_battle_sacrifice_resource	wh2_dlc12_resource_factor_sacrifices_characters
base_amount	wh2_dlc12_pooled_resource_skaven_food_under_empire_consumed	wh2_dlc12_resource_food_under_empire_negative
base_amount	wh2_dlc12_pooled_resource_skaven_food_under_empire_produced	wh2_dlc12_resource_food_under_empire_positive
base_amount	wh2_dlc14_pooled_resource_skaven_dust_increase	wh2_dlc14_resource_factor_dust_per_turn
base_amount	wh2_dlc15_per_turn_salvage_gain	grn_salvage_raiding
base_amount	wh2_dlc15_pooled_resource_wardens_supply	wardens_supply_missions
base_amount	wh2_dlc16_effect_forest_health_natural_decline_athel_loren	wef_worldroots_athel_loren_natural_decline
base_amount	wh2_dlc16_effect_pooled_resource_gain_athel_loren	wef_worldroots_athel_loren_worldroots_healed
income_disabled	wh2_dlc16_effect_pooled_resource_wef_worldroots_athel_loren_natural_decline_disabled	wef_worldroots_athel_loren_natural_decline
base_amount	wh2_dlc16_throt_flesh_lab_growth_vat_base_income	wh2_dlc16_throt_flesh_lab_growth_vat_gain_passive_gain
base_amount	wh2_dlc16_throt_flesh_lab_growth_vat_building_income	wh2_dlc16_throt_flesh_lab_growth_vat_gain_building
percentage_multiplier_mod	wh2_dlc16_throt_flesh_lab_growth_vat_post_battle_income	wh2_dlc16_throt_flesh_lab_growth_vat_gain_battles
percentage_multiplier_mod	wh2_dlc16_throt_flesh_lab_growth_vat_recycle_value	wh2_dlc16_throt_flesh_lab_growth_vat_gain_recycle
base_amount	wh2_dlc17_bst_ruination_gained_mission_events	wh2_dlc17_bst_ruination_gained_mission_events
base_amount	wh2_dlc17_bst_ruination_gained_settlement	wh2_dlc17_bst_ruination_gained_settlement
base_amount	wh2_dlc17_effect_pooled_resource_dread_per_turn_buildings	wh2_dlc17_bst_dread_gained_buildings
percentage_multiplier_mod	wh2_dlc17_pooled_resource_bst_dread_battles_mod	wh2_dlc17_bst_dread_gained_battles
base_amount	wh2_dlc17_pooled_resource_bst_dread_battles	wh2_dlc17_bst_dread_gained_battles
base_amount	wh2_dlc17_pooled_resource_bst_dread_missions_events	wh2_dlc17_bst_dread_gain_missions_events
percentage_multiplier_mod	wh2_dlc17_pooled_resource_oathgold_buildings_mod	dwf_oathgold_buildings
base_amount	wh2_main_pooled_resource_skaven_food_army	skaven_food_force_upkeep
base_amount	wh2_main_pooled_resource_skaven_food_buildings	skaven_food_buildings
base_amount	wh2_main_pooled_resource_skaven_food_commandments	skaven_food_commandments
base_amount	wh2_main_pooled_resource_skaven_food_raiding	skaven_food_raiding
base_amount	wh2_main_pooled_resource_skaven_food_regions	skaven_food_regions
base_amount	wh2_main_pooled_resource_skaven_food_rite	skaven_food_the_dominating_scheme
base_amount	wh2_main_pooled_resource_skaven_food_ritual	skaven_food_rituals
base_amount	wh2_main_pooled_resource_skaven_food_technology	skaven_food_technology
base_amount	wh3_dlc20_effect_chs_souls_gift_of_azazel	wh3_dlc20_chs_souls_factor_events
base_amount	wh3_dlc20_effect_corruption_khorne_diplomacy	wh3_main_corruption_khorne_factor_diplomacy
base_amount	wh3_dlc20_effect_corruption_nurgle_diplomacy	wh3_main_corruption_nurgle_factor_diplomacy
