battle_type	attacker_victory_condition	defender_victory_condition	attacker_decision_condition	defender_decision_condition
#battle_types_to_victory_conditions_tables;3;db/battle_types_to_victory_conditions_tables/data__				
ambush	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
capture_point	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_ALL_KEY_LOCATIONS		
classic	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS
coastal_battle	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_BAGGAGE_TRAIN	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
coastal_battle	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
conquest	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATION_SCORE	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATION_SCORE		
conquest	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY		
domination	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATION_SCORE	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATION_SCORE		
free_for_all	BATTLE_SETUP_VICTORY_CONDITION_SCORED_RESOLUTION	BATTLE_SETUP_VICTORY_CONDITION_SCORED_RESOLUTION		
limes	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_LOCATIONS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
limes	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
naval	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_CAPTURE_SETTLEMENT	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
naval_siege	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS	BATTLE_SETUP_VICTORY_CONDITION_KILL_OR_ROUT_ENEMY_IGNORE_REINFORCEMENTS		
