ancillary	technology_node
#technology_nodes_to_ancillaries_junctions_tables;1;db/technology_nodes_to_ancillaries_junctions_tables/data__	
wh2_dlc09_anc_follower_tmb_herald_of_raestra	wh2_dlc09_tech_tmb_extra_army_1
wh2_dlc09_anc_follower_tmb_herald_of_djaf	wh2_dlc09_tech_tmb_extra_army_2
wh2_dlc09_anc_follower_tmb_herald_of_mahrak	wh2_dlc09_tech_tmb_extra_army_3
wh2_dlc09_anc_follower_tmb_herald_of_sphinx	wh2_dlc09_tech_tmb_extra_army_4
wh2_dlc09_anc_follower_tmb_herald_of_zandri	wh2_dlc09_tech_tmb_extra_army_5
wh2_dlc09_anc_follower_tmb_herald_of_khemri	wh2_dlc09_tech_tmb_extra_army_6
wh2_dlc09_anc_follower_tmb_herald_of_scorpion	wh2_dlc09_tech_tmb_extra_army_7
wh2_dlc11_anc_follower_cst_quartermaster	wh2_dlc11_tech_cst_command_10
wh2_dlc11_anc_follower_cst_first_mate	wh2_dlc11_tech_cst_command_11
wh2_dlc11_anc_follower_cst_sea_artist	wh2_dlc11_tech_cst_command_12
wh2_dlc11_anc_follower_cst_powder_monkey	wh2_dlc11_tech_cst_firearms_07
wh2_dlc11_anc_follower_cst_master_gunner	wh2_dlc11_tech_cst_firearms_08
wh2_dlc11_anc_magic_standard_throwing_bombs	wh2_dlc11_tech_cst_firearms_09
wh2_dlc11_anc_magic_standard_spell_of_the_necromancers_apprentice	wh2_dlc11_tech_cst_vampiric_10
wh2_dlc11_anc_magic_standard_skull_and_crossbones	wh2_dlc11_tech_cst_vampiric_11
wh2_dlc11_anc_follower_cst_carpenter	wh2_dlc11_tech_cst_vampiric_12
wh3_main_anc_magic_standard_banner_of_the_orthodoxy	wh3_dlc24_ostankya_tech_ksl_4_14_ostankya
wh3_main_anc_magic_standard_banner_of_the_moon_empress	wh3_main_tech_cth_22
wh3_main_anc_magic_standard_banner_of_feng_shi	wh3_main_tech_cth_2
wh3_main_anc_magic_standard_the_great_celestial_banner	wh3_main_tech_cth_50
wh3_main_anc_magic_standard_banner_of_the_empress_eye	wh3_main_tech_cth_65
wh3_main_anc_magic_standard_blood_feasters_banner	wh3_main_tech_kho_1_5
wh3_main_anc_magic_standard_trophy_of_killers	wh3_main_tech_kho_3_5
wh3_main_anc_magic_standard_khornes_gift	wh3_main_tech_kho_4_3
wh3_main_anc_magic_standard_lifetaker_banner	wh3_main_tech_kho_6_2
wh3_main_anc_magic_standard_banner_of_the_orthodoxy	wh3_main_tech_ksl_4_14_boris
wh3_main_anc_magic_standard_banner_of_the_orthodoxy	wh3_main_tech_ksl_4_14
