building_level	required
#building_level_required_buildings_tables;0;db/building_level_required_buildings_tables/data__	
wh3_dlc29_skv_special_morskittar_engine_3	wh2_main_skv_energy_3
wh_main_brt_farm_2	wh_main_brt_farm_extra_1
wh_main_brt_farm_3	wh_main_brt_farm_extra_2
wh_main_brt_farm_extra_1	wh_main_brt_farm_1
wh_main_brt_farm_extra_2	wh_main_brt_farm_2
wh_main_brt_industry_basic_2	wh_main_brt_industry_extra_1
wh_main_brt_industry_basic_3	wh_main_brt_industry_extra_2
wh_main_brt_industry_extra_1	wh_main_brt_industry_basic_1
wh_main_brt_industry_extra_2	wh_main_brt_industry_basic_2
