key	order	icon_file_path	show_in_recruitment	counts_towards_caps_when_off_the_map
#agent_recruitment_categories_tables;2;db/agent_recruitment_categories_tables/data__				
brt_lord	1	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
brt_prophetess	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
bst_beastlord	1	UI\Common UI\unit_category_icons\infantry_axe.png	true	true
bst_doombull	2	UI\Common UI\unit_category_icons\wh_dlc03_bst_gorebull.png	true	true
bst_great_bray_shaman	3	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
chs_daemon_princes	4	UI\Common UI\unit_category_icons\commander.png	true	true
chs_lord	1	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
chs_lord_of_change	3	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
chs_sorcerer_lord	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
cst_legendary_admirals	3	UI\Common UI\unit_category_icons\commander.png	true	true
cst_vampire_fleet_admiral	1	UI\Common UI\unit_category_icons\wh2_dlc15_cst_fleet_admiral_male.png	true	true
cst_vampire_fleet_admiral_female	2	UI\Common UI\unit_category_icons\wh2_dlc15_cst_fleet_admiral_female.png	true	true
def_dreadlord	1	UI\Common UI\unit_category_icons\hybrid_weapon.png	true	true
def_dreadlord_female	2	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
def_high_beastmaster	3	UI\Common UI\unit_category_icons\wh2_dlc14_lord_spear_whip.png	true	true
def_supreme_sorceress	4	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
dwf_daemon_slayer	3	UI\Common UI\unit_category_icons\infantry_axe_great.png	true	true
dwf_legendary_grudge_lord	4	UI\Common UI\unit_category_icons\infantry_axe.png	true	true
dwf_lord	1	UI\Common UI\unit_category_icons\infantry_axe.png	true	true
dwf_runelord	2	UI\Common UI\unit_category_icons\wh_main_dwf_runesmith.png	true	true
emp_arch_lector	2	UI\Common UI\unit_category_icons\infantry_hammer_great.png	true	true
emp_general	1	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
emp_huntsmarshal	3	UI\Common UI\unit_category_icons\hybrid_weapon.png	true	true
emp_master_engineer	4	UI\Common UI\unit_category_icons\emp_master_engineer.png	true	true
grn_goblin_great_shaman	1	UI\Common UI\unit_category_icons\wh_main_lore_lil_waaagh.png	true	true
grn_night_goblin_war_boss	2	UI\Common UI\unit_category_icons\night_goblin_warboss.png	true	true
grn_orc_war_boss	3	UI\Common UI\unit_category_icons\infantry_sword_grn.png	true	true
grn_savage_orc_great_shaman	4	UI\Common UI\unit_category_icons\wh_main_lore_big_waaagh.png	true	true
grn_workshop	5	UI\Common UI\unit_category_icons\infantry_sword_grn.png	true	true
hef_archmage	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
hef_prince	2	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
hef_princess	3	UI\Common UI\unit_category_icons\hybrid_weapon.png	true	true
hef_sea_helm	4	UI\Common UI\unit_category_icons\infantry_sword.png	true	true
legendary_lords	0	UI\Common UI\unit_category_icons\commander.png	true	true
lzd_kroxigor_ancient	1	UI\Common UI\unit_category_icons\monstrous_infantry.png	true	true
lzd_red_crested_skink_chief	2	UI\Common UI\unit_category_icons\infantry_axe_great.png	true	true
lzd_saurus_old_blood	3	UI\Common UI\unit_category_icons\wh2_main_lzd_infantry_mace.png	true	true
lzd_slann_mage_priest	4	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
nor_great_shaman_sorcerer_lord	3	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
nor_lord_of_change	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
nor_marauder_chieftain	3	UI\Common UI\unit_category_icons\infantry_axe.png	true	true
nor_sorcerer_lord	2	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
skv_grey_seer	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
skv_master_assassin	2	UI\Common UI\unit_category_icons\hybrid_weapon.png	true	true
skv_warlock_master	3	UI\Common UI\unit_category_icons\wh2_main_lore_ruin.png	true	true
skv_warlord	4	UI\Common UI\unit_category_icons\infantry_sword_grn.png	true	true
teb_lord	0	UI\Common UI\unit_category_icons\commander.png	true	true
tmb_dynasties	1	UI\Common UI\unit_category_icons\commander.png	true	true
tmb_tomb_king	2	UI\Common UI\unit_category_icons\commander.png	true	true
vmp_bloodlines	1	UI\Common UI\unit_category_icons\commander.png	true	true
vmp_lord	4	UI\Common UI\unit_category_icons\wh_main_lore_vampires.png	true	true
vmp_master_necromancer	2	UI\Common UI\unit_category_icons\necromancer.png	true	true
vmp_strigoi_ghoul_king	3	UI\Common UI\unit_category_icons\war_beast.png	true	true
wef_ancient_treeman	1	UI\Common UI\unit_category_icons\wh_dlc05_wef_treeman.png	true	true
wef_glade_lord	2	UI\Common UI\unit_category_icons\wh_dlc05_wef_waystalker.png	true	true
wef_glade_lord_female	3	UI\Common UI\unit_category_icons\wh_dlc05_wef_waystalker_alt.png	true	true
wef_spellweaver	1	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
wh3_dlc23_chd_lord_convoy_overseer	3	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc23_chd_overseer	1	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc23_chd_sorcerer_prophet	0	UI\Common UI\unit_category_icons\wh2_dlc12_magic_lore_generic.png	true	true
wh3_dlc24_cth_celestial_general	3	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc24_ksl_druzhina	4	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc26_kho_bloodspeaker	2	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc26_ogr_paymaster	3	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc27_chs_sorcerer_lord_shadows_msla	8	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc27_chs_sorcerer_lord_slaanesh_msla	9	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_dlc27_hef_dragonships	5	UI\Common UI\unit_category_icons\wh3_dlc27_hef_dragonship.png	true	true
wh3_main_cth_dragon_blooded_shugengan	2	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_cth_lord_caravan_master	4	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_cth_lord_magistrate	1	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_kho_exalted_bloodthirster	5	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_kho_herald_of_khorne	1	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ksl_ataman	3	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ksl_boyar	1	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ksl_ice_witch	2	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_nur_exalted_great_unclean_one	6	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_nur_herald_of_nurgle	2	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ogr_slaughtermaster	2	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ogr_tyrant	1	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_ogr_tyrant_camp	4	UI\Common UI\unit_category_icons\commander.png	false	false
wh3_main_sla_exalted_keeper_of_secrets	7	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_sla_herald_of_slaanesh	3	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_tze_exalted_lord_of_change	8	UI\Common UI\unit_category_icons\commander.png	true	true
wh3_main_tze_herald_of_tzeentch	4	UI\Common UI\unit_category_icons\commander.png	true	true
