member	context	max_range	min_range
#campaign_group_member_criteria_numeric_ranges_tables;1;db/campaign_group_member_criteria_numeric_ranges_tables/data__			
brt_chivalry_1	VALUE	1999	0
brt_chivalry_2	VALUE	3999	2000
brt_chivalry_3	VALUE	5999	4000
brt_chivalry_4	VALUE	7999	6000
brt_chivalry_5	VALUE	10000	8000
wh2_dlc09_pooled_resource_canopic	VALUE	100	0
wh2_dlc13_pooled_resource_imperial_authority_1	VALUE	100	1
wh2_dlc13_pooled_resource_imperial_authority_2	VALUE	0	-1
wh2_dlc13_pooled_resource_imperial_authority_3	VALUE	-2	-3
wh2_dlc13_pooled_resource_imperial_authority_4	VALUE	-4	-6
wh2_dlc13_pooled_resource_imperial_authority_5	VALUE	-7	-9
wh2_dlc13_pooled_resource_imperial_authority_6	VALUE	-10	-100
wh2_dlc13_progress_level_0	VALUE	19	0
wh2_dlc13_progress_level_1	VALUE	39	20
wh2_dlc13_progress_level_2	VALUE	59	40
wh2_dlc13_progress_level_3	VALUE	79	60
wh2_dlc13_progress_level_4	VALUE	99	80
wh2_dlc13_progress_level_5	VALUE	100	100
wh2_dlc13_wanted_level_0	VALUE	9	0
wh2_dlc13_wanted_level_1	VALUE	19	10
wh2_dlc13_wanted_level_2	VALUE	29	20
wh2_dlc13_wanted_level_3	VALUE	39	30
wh2_dlc13_wanted_level_4	VALUE	49	40
wh2_dlc13_wanted_level_5	VALUE	60	50
wh2_dlc14_def_malus_vortex_1	VALUE	60	0
wh2_dlc14_def_malus_vortex_2	VALUE	500	61
wh2_dlc14_def_malus_vortex_3	VALUE	1500	501
wh2_dlc14_def_malus_vortex_4	VALUE	3000	1501
wh2_dlc14_def_malus_vortex_5	VALUE	5000	3001
wh2_dlc14_pooled_resource_eshin_reputation_mors_1	VALUE	-11	-20
wh2_dlc14_pooled_resource_eshin_reputation_mors_2	VALUE	-1	-10
wh2_dlc14_pooled_resource_eshin_reputation_mors_3	VALUE	0	0
wh2_dlc14_pooled_resource_eshin_reputation_mors_4	VALUE	19	1
wh2_dlc14_pooled_resource_eshin_reputation_mors_5	VALUE	39	20
wh2_dlc14_pooled_resource_eshin_reputation_mors_6	VALUE	79	40
wh2_dlc14_pooled_resource_eshin_reputation_mors_7	VALUE	100	80
wh2_dlc14_pooled_resource_eshin_reputation_moulder_1	VALUE	-11	-20
wh2_dlc14_pooled_resource_eshin_reputation_moulder_2	VALUE	-1	-10
wh2_dlc14_pooled_resource_eshin_reputation_moulder_3	VALUE	0	0
wh2_dlc14_pooled_resource_eshin_reputation_moulder_4	VALUE	19	1
wh2_dlc14_pooled_resource_eshin_reputation_moulder_5	VALUE	39	20
wh2_dlc14_pooled_resource_eshin_reputation_moulder_6	VALUE	79	40
wh2_dlc14_pooled_resource_eshin_reputation_moulder_7	VALUE	100	80
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_1	VALUE	-11	-20
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_2	VALUE	-1	-10
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_3	VALUE	0	0
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_4	VALUE	19	1
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_5	VALUE	39	20
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_6	VALUE	79	40
wh2_dlc14_pooled_resource_eshin_reputation_pestilens_7	VALUE	100	80
wh2_dlc14_pooled_resource_eshin_reputation_skryre_1	VALUE	-11	-20
wh2_dlc14_pooled_resource_eshin_reputation_skryre_2	VALUE	-1	-10
wh2_dlc14_pooled_resource_eshin_reputation_skryre_3	VALUE	0	0
wh2_dlc14_pooled_resource_eshin_reputation_skryre_4	VALUE	19	1
wh2_dlc14_pooled_resource_eshin_reputation_skryre_5	VALUE	39	20
wh2_dlc14_pooled_resource_eshin_reputation_skryre_6	VALUE	79	40
wh2_dlc14_pooled_resource_eshin_reputation_skryre_7	VALUE	100	80
wh2_dlc14_pooled_resource_malus_sanity_1	VALUE	-10	-10
wh2_dlc14_pooled_resource_malus_sanity_2	VALUE	-6	-9
wh2_dlc14_pooled_resource_malus_sanity_3	VALUE	-1	-5
wh2_dlc14_pooled_resource_malus_sanity_4	VALUE	0	0
wh2_dlc14_pooled_resource_malus_sanity_5	VALUE	5	1
wh2_dlc14_pooled_resource_malus_sanity_6	VALUE	9	6
wh2_dlc14_pooled_resource_malus_sanity_7	VALUE	10	10
wh2_dlc15_pooled_resource_greenskins_waaagh_1	VALUE	25	0
wh2_dlc15_pooled_resource_greenskins_waaagh_2	VALUE	50	26
wh2_dlc15_pooled_resource_greenskins_waaagh_3	VALUE	75	51
wh2_dlc15_pooled_resource_greenskins_waaagh_4	VALUE	100	76
wh2_dlc15_pooled_resource_yvresse_defence_0	VALUE	24	0
wh2_dlc15_pooled_resource_yvresse_defence_1	VALUE	49	25
wh2_dlc15_pooled_resource_yvresse_defence_2	VALUE	74	50
wh2_dlc15_pooled_resource_yvresse_defence_3	VALUE	100	75
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_1	VALUE	64	50
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_2	VALUE	79	65
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_3	VALUE	89	80
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_4	VALUE	99	90
wh2_dlc16_pooled_resource_throt_flesh_lab_growth_vat_5	VALUE	100	100
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_0	VALUE	99	0
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_1	VALUE	199	100
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_2	VALUE	299	200
wh2_dlc16_pooled_resource_world_roots_health_athel_loren_3	VALUE	399	300
