effect	icon_path
#effects_additional_tooltip_details_tables;0;db/effects_additional_tooltip_details_tables/data__	
building_upkeep	ui/campaign ui/effect_bundles/military_spending.png
wh2_dlc09_effect_force_own_campaign_movement_range_province	ui/campaign ui/effect_bundles/campaign_movement.png
wh2_dlc09_effect_replenishment_tmb_structures	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc09_effect_replenishment_tmb_tomb_guard	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc09_effect_replenishment_tomb_guard_chariots	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc11_effect_agent_action_hinder_settlement_establish_pirate_cove_buff	ui/campaign ui/effect_bundles/pirate_cove.png
wh2_dlc11_effect_force_all_enemy_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc11_effect_force_flagellants_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc11_effect_force_slayer_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc11_effect_unit_all_zombie_infantry_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_colossal_deliverance	ui/campaign ui/effect_bundles/siege_attack.png
wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_colossal_deliverance_cooldown_dummy	ui/campaign ui/effect_bundles/siege_attack.png
wh2_dlc12_effect_agent_action_enable_kroak_hinder_settlement_lord_kroak_ultimate_deliverance	ui/campaign ui/effect_bundles/siege_attack.png
wh2_dlc12_effect_force_redcrested_skink_ark_of_sotek_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc12_effect_force_terradon_ripperdactyl_campaign_replenishment_rate	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc15_effect_replenishment_rate_goblins	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc16_effect_ability_enable_spot_units_hiding_in_forest	ui/campaign ui/effect_bundles/hide_forest.png
wh2_dlc16_effect_agent_action_enable_wizard_hinder_settlement_ariel	ui/campaign ui/effect_bundles/siege_attack.png
wh2_dlc16_effect_replenishment_dryads	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc16_effect_replenishment_orcs	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc16_effect_replenishment_tree_spirits	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc16_skv_effect_force_replenishment_rate_moulder	ui/campaign ui/effect_bundles/replenishment.png
wh2_dlc17_effect_agent_action_enable_runesmith_assist_army_harden_armour	ui/campaign ui/effect_bundles/armour.png
wh2_dlc17_effect_agent_action_enable_runesmith_assist_army_sharpen_weapons	ui/campaign ui/effect_bundles/armour_piercing.png
wh2_dlc17_effect_projectile_poison_daemonbane	ui/campaign ui/effect_bundles/bonus_vs_large.png
wh2_dlc17_effect_projectile_poison_fireblood	ui/campaign ui/effect_bundles/phase_sunder_armour.png
wh2_dlc17_effect_projectile_poison_slow_death	ui/campaign ui/effect_bundles/phase_posion.png
wh2_dlc17_effect_projectile_poison_toadskin	ui/campaign ui/effect_bundles/discouraged.png
wh2_dlc17_effect_taurox_river_of_blood_bonus_dummy	ui/campaign ui/effect_bundles/general_ability.png
wh2_dlc17_effect_taurox_river_of_blood_dummy	ui/campaign ui/effect_bundles/general_ability.png
wh2_main_effect_agent_action_assist_army_increase_mobility_buff	ui/campaign ui/effect_bundles/campaign_movement.png
wh2_main_effect_agent_action_assist_army_replenish_troops_buff	ui/campaign ui/effect_bundles/replenishment.png
wh2_main_effect_agent_action_assist_army_scavenge_buff	ui/campaign ui/effect_bundles/income.png
wh2_main_effect_agent_action_assist_army_scouting_buff	ui/campaign ui/effect_bundles/item_ability.png
wh2_main_effect_agent_action_assist_army_training_buff	ui/campaign ui/effect_bundles/experience.png
wh2_main_effect_agent_action_hinder_agent_assassinate_buff	ui/campaign ui/effect_bundles/subterfuge.png
wh2_main_effect_agent_action_hinder_agent_wound_buff	ui/campaign ui/effect_bundles/wound_time.png
wh2_main_effect_agent_action_hinder_army_assault_unit_buff	ui/campaign ui/effect_bundles/attrition.png
wh2_main_effect_agent_action_hinder_army_assault_units_buff	ui/campaign ui/effect_bundles/attrition.png
wh2_main_effect_agent_action_hinder_army_block_army_buff	ui/campaign ui/effect_bundles/campaign_movement.png
wh2_main_effect_agent_action_hinder_army_hinder_replenishment_buff	ui/campaign ui/effect_bundles/replenishment.png
wh2_main_effect_agent_action_hinder_settlement_assault_garrison_buff	ui/campaign ui/effect_bundles/siege_defence.png
wh2_main_effect_agent_action_hinder_settlement_damage_building_buff	ui/campaign ui/effect_bundles/siege_attack.png
wh2_main_effect_agent_action_hinder_settlement_damage_walls_buff	ui/campaign ui/effect_bundles/siege_attack.png
wh2_main_effect_agent_action_hinder_settlement_gain_influence_buff	ui/campaign ui/effect_bundles/intrigue.png
wh2_main_effect_agent_action_hinder_settlement_steal_technology_buff	ui/campaign ui/effect_bundles/technology.png
wh2_main_effect_agent_action_passive_boost_income_buff	ui/campaign ui/effect_bundles/income.png
wh2_main_effect_agent_action_passive_increase_slave_income_buff	ui/campaign ui/effect_bundles/slaves.png
wh2_main_effect_agent_action_passive_increase_trade_buff	ui/campaign ui/effect_bundles/trade_agreement.png
wh2_main_effect_agent_action_passive_spread_corruption_buff	ui/campaign ui/effect_bundles/corruption.png
wh2_main_effect_agent_action_passive_spread_corruption_buff_chs	ui/campaign ui/effect_bundles/corruption_chaos.png
wh2_main_effect_agent_action_passive_spread_corruption_buff_kho	ui/campaign ui/effect_bundles/corruption_khorne.png
wh2_main_effect_agent_action_passive_spread_corruption_buff_nur	ui/campaign ui/effect_bundles/corruption_nurgle.png
wh2_main_effect_agent_action_passive_spread_corruption_buff_skv	ui/campaign ui/effect_bundles/corruption_skaven.png
