existing_building_chain_key	existing_building_level_inclusive_end	existing_building_level_inclusive_start	potential_buiding_chain_key	potential_building_level_inclusive_end	potential_building_level_inclusive_start	synergy_policy_key	existing_building_instance	existing_building_super_chain	potential_building_instance	potential_building_super_chain	synergy_scope_key	synergy_level_key
#cai_construction_system_synergies_tables;1;db/cai_construction_system_synergies_tables/data__												
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_growth	wh2_dlc09_tmb_growth_3	wh2_dlc09_tmb_growth_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_dlc09_sch_tmb_growth	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_dlc09_tmb_settlement_major	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_settlement_major_5	wh2_dlc09_tmb_income	wh2_dlc09_tmb_income_3	wh2_dlc09_tmb_income_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_dlc09_sch_tmb_income	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_major	wh2_dlc11_vampirecoast_settlement_major_5	wh2_dlc11_vampirecoast_settlement_major_1	wh2_dlc11_vampirecoast_infrastructure_growth	wh2_dlc11_vampirecoast_infrastructure_growth_3	wh2_dlc11_vampirecoast_infrastructure_growth_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_corruption	wh2_dlc11_vampirecoast_infrastructure_corruption_3	wh2_dlc11_vampirecoast_infrastructure_corruption_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_infrastructure_public_order	wh2_dlc11_vampirecoast_infrastructure_public_order_3	wh2_dlc11_vampirecoast_infrastructure_public_order_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure3_order	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_barracks	wh2_dlc11_vampirecoast_military_barracks_4	wh2_dlc11_vampirecoast_military_barracks_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_military_flying	wh2_dlc11_vampirecoast_military_flying_4	wh2_dlc11_vampirecoast_military_flying_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_artillery	wh2_dlc11_vampirecoast_support_artillery_3	wh2_dlc11_vampirecoast_support_artillery_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_low
wh2_dlc11_vampirecoast_settlement_minor	wh2_dlc11_vampirecoast_settlement_minor_3	wh2_dlc11_vampirecoast_settlement_minor_1	wh2_dlc11_vampirecoast_support_monsters	wh2_dlc11_vampirecoast_support_monsters_3	wh2_dlc11_vampirecoast_support_monsters_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_low
wh2_main_def_industry	wh2_main_def_industry_3	wh2_main_def_industry_1	wh2_main_def_roads	wh2_main_def_roads_1	wh2_main_def_roads_1	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure2_industry		wh2_main_sch_infrastructure5_tradingspying	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_barracks	wh2_main_def_barracks_3	wh2_main_def_barracks_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_low
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_exiles	wh2_main_def_exiles_2	wh2_main_def_exiles_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military3_warmachines	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_1	wh2_main_def_riders	wh2_main_def_riders_2	wh2_main_def_riders_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_def_settlement_major	wh2_main_def_settlement_major_5	wh2_main_def_settlement_major_5	wh2_main_def_farm	wh2_main_def_farm_3	wh2_main_def_farm_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_main_def_settlement_minor	wh2_main_def_settlement_minor_3	wh2_main_def_settlement_minor_1	wh2_main_def_beasts	wh2_main_def_beasts_3	wh2_main_def_beasts_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military4_monsters	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_main_def_settlement_minor	wh2_main_def_settlement_minor_3	wh2_main_def_settlement_minor_1	wh2_main_def_worship	wh2_main_def_worship_1	wh2_main_def_worship_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_main_hef_order	wh2_main_hef_order_5	wh2_main_hef_order_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure3_order		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_hef_port	wh2_main_hef_port_3	wh2_main_hef_port_1	wh2_main_hef_embassy	wh2_main_hef_embassy_1	wh2_main_hef_embassy_1	cai_cs_synergy_policy_default		wh_main_sch_port		wh2_main_sch_infrastructure5_tradingspying	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_barracks	wh2_main_hef_barracks_3	wh2_main_hef_barracks_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_low
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_1	wh2_main_hef_stables	wh2_main_hef_stables_2	wh2_main_hef_stables_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military2_stables	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_hef_settlement_major	wh2_main_hef_settlement_major_5	wh2_main_hef_settlement_major_5	wh2_main_hef_farm	wh2_main_hef_farm_3	wh2_main_hef_farm_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure1_farm	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_court	wh2_main_hef_court_2	wh2_main_hef_court_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_infrastructure4_energy	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_smith	wh2_main_hef_smith_2	wh2_main_hef_smith_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_hef_settlement_minor	wh2_main_hef_settlement_minor_3	wh2_main_hef_settlement_minor_1	wh2_main_hef_worship	wh2_main_hef_worship_3	wh2_main_hef_worship_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_beasts	wh2_main_lzd_beasts_4	wh2_main_lzd_beasts_1	wh2_main_lzd_worship_oldones	wh2_main_lzd_worship_oldones_3	wh2_main_lzd_worship_oldones_1	cai_cs_synergy_policy_default		wh2_main_sch_military4_monsters		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_beasts	wh2_main_lzd_beasts_4	wh2_main_lzd_beasts_1	wh2_main_lzd_worship_sotek	wh2_main_lzd_worship_sotek_3	wh2_main_lzd_worship_sotek_1	cai_cs_synergy_policy_default		wh2_main_sch_military4_monsters		wh2_main_sch_infrastructure5_tradingspying	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_coldones	wh2_main_lzd_coldones_1	wh2_main_lzd_coldones_1	wh2_main_lzd_smith	wh2_main_lzd_smith_1	wh2_main_lzd_smith_1	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure6_other		wh2_main_sch_military5	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_industry	wh2_main_lzd_industry_3	wh2_main_lzd_industry_1	wh2_main_lzd_energy_minor	wh2_main_lzd_energy_2	wh2_main_lzd_energy_1	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure2_industry		wh2_main_sch_infrastructure7_minor	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_industry	wh2_main_lzd_industry_3	wh2_main_lzd_industry_1	wh2_main_lzd_energy	wh2_main_lzd_energy_5	wh2_main_lzd_energy_3	cai_cs_synergy_policy_default		wh2_main_sch_infrastructure2_industry		wh2_main_sch_infrastructure6_other	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_saurus	wh2_main_lzd_saurus_3	wh2_main_lzd_saurus_1	wh2_main_lzd_smith	wh2_main_lzd_smith_1	wh2_main_lzd_smith_1	cai_cs_synergy_policy_default		wh2_main_sch_military2_stables		wh2_main_sch_military5	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_high
wh2_main_lzd_settlement_major			wh2_main_lzd_saurus			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military5	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_synergy_level_medium
wh2_main_lzd_settlement_major	wh2_main_lzd_settlement_major_5	wh2_main_lzd_settlement_major_1	wh2_main_lzd_coldones	wh2_main_lzd_coldones_1	wh2_main_lzd_coldones_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support1_smith	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_high
wh2_main_lzd_settlement_major	wh2_main_lzd_settlement_major_5	wh2_main_lzd_settlement_major_1	wh2_main_lzd_skinks	wh2_main_lzd_skinks_3	wh2_main_lzd_skinks_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military1_barracks	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_settlement_major	wh2_main_lzd_settlement_major_5	wh2_main_lzd_settlement_major_5	wh2_main_lzd_farm	wh2_main_lzd_farm_3	wh2_main_lzd_farm_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh_main_sch_human_farm_basic	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_negative_level_high
wh2_main_lzd_settlement_minor			wh2_main_lzd_saurus			cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military5	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_settlement_minor	wh2_main_lzd_settlement_minor_3	wh2_main_lzd_settlement_minor_1	wh2_main_lzd_beasts	wh2_main_lzd_beasts_4	wh2_main_lzd_beasts_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_military4_monsters	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_settlement_minor	wh2_main_lzd_settlement_minor_3	wh2_main_lzd_settlement_minor_1	wh2_main_lzd_worship_oldones	wh2_main_lzd_worship_oldones_3	wh2_main_lzd_worship_oldones_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support2_worship	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_settlement_minor	wh2_main_lzd_settlement_minor_3	wh2_main_lzd_settlement_minor_1	wh2_main_lzd_worship_sotek	wh2_main_lzd_worship_sotek_3	wh2_main_lzd_worship_sotek_1	cai_cs_synergy_policy_default		wh_main_sch_main_settlement		wh2_main_sch_support4_other	CAI_SYNERGY_SCOPE_REGIONWIDE	cai_cs_negative_level_medium
wh2_main_lzd_skinks	wh2_main_lzd_skinks_3	wh2_main_lzd_skinks_1	wh2_main_lzd_smith	wh2_main_lzd_smith_1	wh2_main_lzd_smith_1	cai_cs_synergy_policy_default		wh2_main_sch_military1_barracks		wh2_main_sch_military5	CAI_SYNERGY_SCOPE_PROVINCEWIDE	cai_cs_synergy_level_high
