key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled	is_foreign_slot_chain
#building_chains_tables;10;db/building_chains_tables/data__										
wh2_dlc09_special_black_tower_of_arkhan			money	false	wh2_dlc09_sch_special_black_tower_of_arkhan		0		true	false
wh2_dlc09_special_black_tower_of_arkhan_other			money	false	wh2_dlc09_sch_special_black_tower_of_arkhan		0		true	false
wh2_dlc09_special_pyramid_alcadizaar			money	false	wh2_dlc09_sch_special_pyramid_alcadizaar		0		true	false
wh2_dlc09_special_pyramid_amenemhetum			money	false	wh2_dlc09_sch_special_pyramid_amenemhetum		0		true	false
wh2_dlc09_special_pyramid_khatep			money	false	wh2_dlc09_sch_special_pyramid_khatep		0		true	false
wh2_dlc09_special_pyramid_phar			money	false	wh2_dlc09_sch_special_pyramid_phar		0		true	false
wh2_dlc09_special_pyramid_settra			money	false	wh2_dlc09_sch_special_pyramid_settra		0		true	false
wh2_dlc09_special_pyramid_tutankhanut			money	false	wh2_dlc09_sch_special_pyramid_tutankhanut		0		true	false
wh2_dlc09_special_settlement_khemri_tmb			money	false	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_tmb_khemri.png	0		true	false
wh2_dlc09_special_settlement_lahmia_tmb			money	true	wh_main_sch_main_settlement	UI\Buildings\tier_icons\tier_tmb_lahmia.png	0		true	false
wh2_dlc09_special_settlement_pyramid_of_nagash_floating			money	true	wh_main_sch_main_settlement		0		true	false
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb			money	true	wh_main_sch_main_settlement		0		true	false
wh2_dlc09_tmb_arkhan_burial_mound			military	false	wh2_main_sch_military6		7		true	false
wh2_dlc09_tmb_cavalry			military	false	wh2_main_sch_military2_stables		2		true	false
wh2_dlc09_tmb_chariots			military	false	wh2_main_sch_military3_warmachines		0		true	false
wh2_dlc09_tmb_citadel			military	false	wh2_main_sch_infrastructure8_major		4		true	false
wh2_dlc09_tmb_defence_major			military	false	wh2_dlc09_tmb_defence_major		9		true	false
wh2_dlc09_tmb_defence_minor			military	false	wh2_main_sch_defence_minor		9		true	false
wh2_dlc09_tmb_defence_norsca			military	false	wh2_main_sch_defence_norsca		0		true	false
wh2_dlc09_tmb_estate			money	false	wh2_main_sch_infrastructure6_other		14		true	false
wh2_dlc09_tmb_growth			money	false	wh2_main_sch_infrastructure1_farm		11		true	false
wh2_dlc09_tmb_hierotitan			military	false	wh2_main_sch_support3_wizards_tmb		8		true	false
wh2_dlc09_tmb_income			money	false	wh2_main_sch_infrastructure2_industry		12		true	false
wh2_dlc09_tmb_infantry			military	false	wh2_main_sch_military1_barracks		1		true	false
wh2_dlc09_tmb_necrosphinx			military	false	wh2_main_sch_support4_other		7		true	false
wh2_dlc09_tmb_port			military	false	wh_main_sch_port		0		true	false
wh2_dlc09_tmb_public_order			money	false	wh2_main_sch_infrastructure3_order		10		true	false
wh2_dlc09_tmb_resource_animals			money	false	wh2_main_sch_resource_animals		10		true	false
wh2_dlc09_tmb_resource_dyes			money	false	wh_main_sch_human_resource_dyes		10		true	false
wh2_dlc09_tmb_resource_furs			money	false	wh_main_sch_human_resource_furs		10		true	false
wh2_dlc09_tmb_resource_gems			money	false	wh2_main_sch_human_resource_gems		10		true	false
wh2_dlc09_tmb_resource_gold			money	false	wh_main_sch_human_resource_gold		10		true	false
wh2_dlc09_tmb_resource_iron			money	false	wh_main_sch_human_resource_iron		10		true	false
wh2_dlc09_tmb_resource_marble			money	false	wh_main_sch_human_resource_marble		10		true	false
