ancillary	art_set	uniform
#campaign_character_uniform_ancillary_junctions_tables;0;db/campaign_character_uniform_ancillary_junctions_tables/data__		
wh2_dlc09_anc_mount_tmb_khatep_casket_of_souls	wh2_dlc09_art_set_tmb_khatep	wh2_dlc09_uniform_tmb_khatep
wh2_dlc12_anc_mount_skv_ikit_claw_doomwheel	wh2_dlc12_art_set_skv_ikit_claw	wh2_dlc12_uniform_skv_ikit_claw_doomwheel
wh2_dlc15_anc_mount_hef_imrik_dragon_minaithnir	wh2_dlc15_art_set_hef_imrik	wh2_dlc15_uniform_hef_imrik_mounted
wh2_dlc15_anc_mount_hef_imrik_dragon_prince_warhorse	wh2_dlc15_art_set_hef_imrik	wh2_dlc15_uniform_hef_imrik_mounted
wh2_dlc17_anc_mount_dwf_thorek_anvil_of_doom	wh2_dlc17_art_set_dwf_thorek_ironbrow_0	wh2_dlc17_uniform_dwf_thorek_ironbrow_anvil
wh2_main_anc_mount_def_morathi_sulephet	wh2_main_art_set_def_morathi	wh2_main_uniform_def_morathi_mounted
wh2_main_anc_mount_hef_alastair_great_eagle	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh2_main_anc_mount_hef_alastair_star_dragon	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh2_main_anc_mount_hef_alastair_sun_dragon	wh2_main_art_set_hef_prince_alastar	wh2_main_uniform_hef_prince_alastair_rider
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_metal_mtze_01	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_01_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_metal_mtze_02	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_02_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_metal_mtze_03	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_03_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_metal_mtze_04	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_04_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_metal_mtze_05	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_05_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_tzeentch_mtze_01	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_01_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_tzeentch_mtze_02	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_02_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_tzeentch_mtze_03	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_03_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_tzeentch_mtze_04	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_04_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_lord_tzeentch_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_lord_tzeentch_mtze_05	wh3_dlc20_uniform_chs_chaos_sorcerer_lord_mtze_05_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_metal_mtze_01	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_01_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_metal_mtze_02	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_02_disc
wh3_dlc20_anc_mount_chs_cha_chaos_sorcerer_metal_mtze_disc	wh3_dlc20_art_set_chs_sorcerer_metal_mtze_03	wh3_dlc20_uniform_chs_cha_chaos_sorcerer_mtze_03_disc
