key	region_effects	closable	idle_scene	incoming_traveller_scene	close_scene	icon_path	shroud_mode	travel_cost	closure_cost_generals	closure_cost_agents	open_scene	layout	double_click_event	should_display_timer
#teleportation_node_templates_tables;4;db/teleportation_node_templates_tables/data__														
wh3_dlc20_teleportation_node_template_azazel	wh3_dlc20_rift_azazel	false	wh3_dlc20_portal_sla_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_sla.png	DRAW_ALWAYS	wh3_dlc20_teleportation_network_traverse_azazel_node			wh3_dlc20_portal_sla_start	rifts		false
wh3_dlc20_teleportation_node_template_festus	wh3_dlc20_rift_festus	false	wh3_dlc20_portal_nur_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_nur.png	DRAW_ALWAYS	wh3_dlc20_teleportation_network_traverse_festus_node			wh3_dlc20_portal_nur_start	rifts		false
wh3_dlc20_teleportation_node_template_neutral		true	wh3_dlc20_portal_neu_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_dormant.png	DRAW_ALWAYS	wh3_dlc20_teleportation_network_traverse_unclaimed_node	wh3_dlc20_teleportation_network_traverse_unclaimed_node	wh3_dlc20_teleportation_network_traverse_unclaimed_node	wh3_dlc20_portal_neu_start	rifts		false
wh3_dlc20_teleportation_node_template_valkia	wh3_dlc20_rift_valkia	false	wh3_dlc20_portal_kho_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_kho.png	DRAW_ALWAYS	wh3_dlc20_teleportation_network_traverse_valkia_node			wh3_dlc20_portal_kho_start	rifts		false
wh3_dlc20_teleportation_node_template_vilitch	wh3_dlc20_rift_vilitch	false	wh3_dlc20_portal_tze_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_tze.png	DRAW_ALWAYS	wh3_dlc20_teleportation_network_traverse_vilitch_node			wh3_dlc20_portal_tze_start	rifts		false
wh3_dlc20_teleportation_node_template_zanbaijin		false	wh3_dlc20_portal_zan_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon_zanbaijin.png	DRAW_ALWAYS					rifts		false
wh3_main_teleportation_node_template_belakor		false	wh3_dlc20_portal_tze_idle	wh3_main_tze_teleporting_stop	wh3_dlc20_portal_neu_end	UI/skins/warhammer3/rift_icon.png	DRAW_ALWAYS				wh3_dlc20_portal_tze_start	rifts		false
wh3_main_teleportation_node_template_forge_of_souls		false	wh3_main_rift_kho	wh3_main_tze_teleporting_stop	wh3_main_rift_kho_end	UI/skins/warhammer3/rift_icon.png	DRAW_ALWAYS				wh3_main_rift_kho_start	rifts		false
wh3_main_teleportation_node_template_jade_to_dread		false	wh3_main_sea_lane_purple		wh3_main_sea_lane_purple	UI/skins/default/icon_sea_lanes.png	DRAW_ALWAYS				wh3_main_sea_lane_purple	sea_lanes	CAMERA_PAN_TO_NEXT_NODE	true
wh3_main_teleportation_node_template_jade_to_far_sea		false	wh3_main_sea_lane_blue		wh3_main_sea_lane_blue	UI/skins/default/icon_sea_lanes.png	DRAW_ALWAYS				wh3_main_sea_lane_blue	sea_lanes	CAMERA_PAN_TO_NEXT_NODE	true
wh3_main_teleportation_node_template_jade_to_lustria_gulf		false	wh3_main_sea_lane_green		wh3_main_sea_lane_green	UI/skins/default/icon_sea_lanes.png	DRAW_ALWAYS				wh3_main_sea_lane_green	sea_lanes	CAMERA_PAN_TO_NEXT_NODE	true
wh3_main_teleportation_node_template_kho	wh3_main_rift_kho	true	wh3_main_rift_kho	wh3_main_tze_teleporting_stop	wh3_main_rift_kho_end	UI/skins/warhammer3/rift_icon.png	DRAW_ALWAYS	wh3_main_teleportation_network_chaos		wh3_main_teleportation_network_chaos_closure_hero	wh3_main_rift_kho_start	rifts		false
wh3_main_teleportation_node_template_kho_realm		false	wh3_main_rift_kho	wh3_main_tze_teleporting_stop	wh3_main_rift_kho_end	UI/skins/warhammer3/rift_icon.png	DRAW_ALWAYS	wh3_main_teleportation_network_chaos_realm			wh3_main_rift_kho_start	rifts		false
wh3_main_teleportation_node_template_nur	wh3_main_rift_nur	true	wh3_main_rift_nur	wh3_main_tze_teleporting_stop	wh3_main_rift_nur_end	UI/skins/warhammer3/rift_icon.png	DRAW_ALWAYS	wh3_main_teleportation_network_chaos		wh3_main_teleportation_network_chaos_closure_hero	wh3_main_rift_nur_start	rifts		false
