key	default_policy	activation_point_set
#cai_decision_profiles_tables;1;db/cai_decision_profiles_tables/data__		
allied_buildings_profile	allied_buildings_policy_default	a_pre_task_manager_components
cathay_caravan_start_profile	cathay_caravan_start	a_pre_task_manager_components
cathay_compass_profile	cathay_compass_policy_default	a_pre_task_manager_components
cathay_provincial_initiative_profile	cathay_provincial_initiative_policy_default	j_post_task_manager_components
changing_of_the_ways_actions_profile	changing_of_the_ways_actions_default	a_pre_task_manager_components
chaos_dwarf_convoy_start_profile	chaos_dwarf_convoy_start	a_pre_task_manager_components
daemon_prince_ascension_profile	daemon_prince_ascension_default	a_pre_task_manager_components
dechala_boons_profile	dechala_boons_policy_default	a_pre_task_manager_components
dechala_marks_profile	dechala_marks_policy_default	a_pre_task_manager_components
dechala_offerings_profile	dechala_offerings_policy_default	a_pre_task_manager_components
dechala_spoils_profile	dechala_spoils_policy_default	a_pre_task_manager_components
deploy_ogre_camp_profile	deploy_ogre_camp_policy_default	a_pre_task_manager_components
dolgan_manipulations_target_other_faction_profile	sayl_manipulations_target_other_faction_policy_default	a_pre_task_manager_components
dolgan_manipulations_target_other_faction_regions_profile	sayl_manipulations_target_other_faction_regions_policy_default	a_pre_task_manager_components
dolgan_manipulations_target_other_factions_forces_profile	sayl_manipulations_target_other_factions_forces_policy_default	a_pre_task_manager_components
dolgan_manipulations_target_own_forces_profile	sayl_manipulations_target_own_forces_policy_default	a_pre_task_manager_components
dolgan_marauding_rituals_profile	norsca_marauding_activities_policy_default	j_post_task_manager_components
dolgan_treacheries_profile	dolgan_treacheries_policy_default	a_pre_task_manager_components
festus_create_plague_profile	festus_plague_create_plague_default	a_pre_task_manager_components
great_game_profile	great_game_default	a_pre_task_manager_components
khorne_cloak_of_skulls_profile	khorne_cloak_of_skulls_policy_default	a_pre_task_manager_components
khorne_skulls_profile	khorne_skulls_policy_default	a_pre_task_manager_components
khorne_skulls_throne_profile	khorne_skulls_throne_policy_default	a_pre_task_manager_components
kislev_motherland	kislev_motherland_default	a_pre_task_manager_components
manipulate_diplomacy_profile	manipulate_diplomacy_default	a_pre_task_manager_components
manipulate_diplomacy_profile_minor	manipulate_diplomacy_default_minor	a_pre_task_manager_components
manipulate_winds_of_magic_level_profile	manipulate_winds_of_magic_level_policy_default	a_pre_task_manager_components
nurgle_create_plague_profile	nurgle_plague_create_plague_default	a_pre_task_manager_components
nurgle_plague_profile	nurgle_plague_old_default	j_post_task_manager_components
occupation_decision_profile_anti_chaos	occupation_decision_anti_chaos	z_occupation_decision
occupation_decision_profile_beastmen	occupation_decision_beastmen	z_occupation_decision
occupation_decision_profile_brettonia	occupation_decision_brettonia	z_occupation_decision
occupation_decision_profile_cathay	occupation_decision_cathay	z_occupation_decision
occupation_decision_profile_changeling	occupation_decision_changeling	z_occupation_decision
occupation_decision_profile_chaos	occupation_decision_chaos	z_occupation_decision
occupation_decision_profile_chaos_daemon_prince_khorne_tzeentch	occupation_decision_chaos_daemon_prince_khorne_tzeentch	z_occupation_decision
occupation_decision_profile_chaos_daemon_prince_nurgle_slaanesh	occupation_decision_chaos_daemon_prince_nurgle_slaanesh	z_occupation_decision
occupation_decision_profile_chaos_dwarfs	occupation_decision_chaos_dwarfs	z_occupation_decision
occupation_decision_profile_chaos_kho	occupation_decision_chaos_kho	z_occupation_decision
occupation_decision_profile_daemons	occupation_decision_daemons	z_occupation_decision
occupation_decision_profile_default	occupation_decision_default	z_occupation_decision
occupation_decision_profile_dlc27_aislinn	occupation_decision_dlc27_aislinn	z_occupation_decision
occupation_decision_profile_dlc27_dechala	occupation_decision_dlc27_dechala	z_occupation_decision
occupation_decision_profile_dlc27_dolgan	occupation_decision_dlc27_dolgan	z_occupation_decision
occupation_decision_profile_dlc27_throgg	occupation_decision_dlc27_throgg	z_occupation_decision
occupation_decision_profile_dlc27_wulfrik	occupation_decision_dlc27_wulfrik	z_occupation_decision
occupation_decision_profile_empire_elector_major	occupation_decision_empire_elector_major	z_occupation_decision
occupation_decision_profile_nakai	occupation_decision_nakai	z_occupation_decision
occupation_decision_profile_only_raze	occupation_decision_only_raze	z_occupation_decision
occupation_decision_profile_raider	occupation_decision_raider	z_occupation_decision
occupation_decision_profile_sacking	occupation_decision_default	z_occupation_decision
occupation_decision_profile_skaven	occupation_decision_skaven	z_occupation_decision
occupation_decision_profile_vampire	occupation_decision_vampire	z_occupation_decision
occupation_decision_profile_vampirecoast	occupation_decision_vampirecoast	z_occupation_decision
occupation_decision_profile_wood_elves	occupation_decision_wood_elves	z_occupation_decision
ogre_great_maw_profile	ogre_great_maw_policy_default	a_pre_task_manager_components
promise_of_perfection_profile	promise_of_perfection_default	z_prebattle_unit_bribery
rift_realm_profile	rift_realm_default	z_rift_realm
rift_teleport_antichaos_profile	rift_teleport_antichaos	z_rift_teleport
rift_teleport_chaos_profile	rift_teleport_chaos	z_rift_teleport
rift_teleport_profile	rift_teleport_default	z_rift_teleport
slaanes_force_vassalization_profile	slaanesh_force_vassalization_policy	a_pre_task_manager_components
slaanesh_pleasure_activities_profile	slaanesh_pleasure_activities_policy_default	a_pre_task_manager_components
slaanesh_spawn_cult_profile	slaanesh_spawn_cult_policy_default	a_pre_task_manager_components
summon_disciple_army_profile	summon_disciple_army_policy_default	a_pre_task_manager_components
trespass_warning_accept_profile	trespass_warning_accept_default	z_received_trespass_warning
undeploy_ogre_camp_profile	undeploy_ogre_camp_policy_default	a_pre_task_manager_components
wh3_character_initiatives_profile_chs_azazel	wh3_character_initiatives_chs_azazel	j_post_task_manager_components
wh3_character_initiatives_profile_chs_festus	wh3_character_initiatives_chs_festus	j_post_task_manager_components
wh3_character_initiatives_profile_chs_valkia	wh3_character_initiatives_chs_valkia	j_post_task_manager_components
wh3_character_initiatives_profile_chs_vilitch	wh3_character_initiatives_chs_vilitch	j_post_task_manager_components
wh3_character_initiatives_profile_chs_warriors	wh3_character_initiatives_chs_warriors	j_post_task_manager_components
wh3_character_initiatives_profile_ogr	wh3_character_initiatives_ogr	j_post_task_manager_components
wh3_dlc20_tze_cotw_vilitch_profile	wh3_dlc20_tze_cotw_vilitch	a_pre_task_manager_components
wh3_dlc25_emp_emperors_decrees_profile	wh3_dlc25_emp_emperors_decrees	a_pre_task_manager_components
wh3_dlc25_emp_gelt_college_of_magic_profile	wh3_dlc25_emp_college_of_magic	a_pre_task_manager_components
wh3_dlc25_nur_tamurkhan_plagues_profile	wh3_dlc25_tamurkhan_plague_create_plague_default	a_pre_task_manager_components
wh3_dlc25_ritual_dwf_malakai_adventures_units_profile	wh3_dlc25_ritual_dwf_malakai_adventures	a_pre_task_manager_components
wh3_dlc26_character_initiatives_ogr	wh3_dlc26_character_initiatives_ogr	j_post_task_manager_components
wh3_dlc26_character_initiatives_profile_grn	wh3_dlc26_character_initiatives_da_plan	j_post_task_manager_components
wh3_dlc27_nor_throgg_troll_king_profile	wh3_dlc27_nor_troll_king	a_pre_task_manager_components
wh3_dlc27_ritual_hef_secrets_white_tower_profile	wh3_dlc27_ritual_hef_secrets_white_tower	a_pre_task_manager_components
wh3_dlc27_sla_masque_eternal_dance_profile	wh3_dlc27_sla_masque_eternal_dance_profile	a_pre_task_manager_components
wh3_faction_initiatives_chd_hellforge_profile	wh3_faction_initiatives_chd_hellforge_missile_infantry	a_pre_task_manager_components
wh3_faction_initiatives_hef_aislinn	wh3_faction_initiatives_hef_aislinn	j_post_task_manager_components
wh3_faction_initiatives_profile_chs_azazel	wh3_faction_initiatives_chs_azazel	j_post_task_manager_components
wh3_faction_initiatives_profile_chs_festus	wh3_faction_initiatives_chs_festus	j_post_task_manager_components
wh3_faction_initiatives_profile_chs_valkia	wh3_faction_initiatives_chs_valkia	j_post_task_manager_components
wh3_faction_initiatives_profile_chs_vilitch	wh3_faction_initiatives_chs_vilitch	j_post_task_manager_components
wh3_faction_initiatives_profile_woc_default	wh3_faction_initiatives_woc_default	j_post_task_manager_components
wh3_main_character_initiatives_profile_tze	wh3_main_character_initiatives_tze_kairos	j_post_task_manager_components
wh3_main_ksl_ice_court_bias	wh3_main_ksl_ice_court_bias	a_pre_task_manager_components
wh3_main_ksl_orthodoxy_bias	wh3_main_ksl_orthodoxy_bias	a_pre_task_manager_components
wh3_province_initiatives_profiles_brt	wh3_province_initiatives_brt	j_post_task_manager_components
