building_chain	level	active_slot_count
#campaign_building_chain_slot_unlocks_tables;1;db/campaign_building_chain_slot_unlocks_tables/data__		
wh2_dlc09_special_settlement_khemri_tmb	-1	2
wh2_dlc09_special_settlement_lahmia_tmb	-1	2
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb	4	5
wh2_dlc09_special_settlement_pyramid_of_nagash_tmb	5	7
wh2_dlc09_tmb_settlement_major	4	5
wh2_dlc09_tmb_settlement_major	5	7
wh2_dlc11_special_settlement_galleons_graveyard	-1	2
wh2_dlc11_vampirecoast_settlement_major	4	5
wh2_dlc11_vampirecoast_settlement_major	5	7
wh2_dlc15_special_settlement_massif_orcal_brt	-1	2
wh2_dlc15_special_settlement_massif_orcal_grn	-1	2
wh2_dlc15_special_settlement_massif_orcal_savage	-1	2
wh2_dlc15_special_settlement_tor_yvresse_def	4	5
wh2_dlc15_special_settlement_tor_yvresse_def	5	7
wh2_dlc15_special_settlement_tor_yvresse_eltharion	4	5
wh2_dlc15_special_settlement_tor_yvresse_eltharion	5	7
wh2_dlc15_special_settlement_tor_yvresse_hef	4	5
wh2_dlc15_special_settlement_tor_yvresse_hef	5	7
wh2_dlc17_bst_settlement_major	1	1
wh2_dlc17_bst_settlement_major	2	1
wh2_dlc17_bst_settlement_major	3	2
wh2_dlc17_bst_settlement_major	4	2
wh2_dlc17_bst_settlement_major	5	2
wh2_dlc17_bst_special_settlement_altdorf	1	2
wh2_dlc17_bst_special_settlement_altdorf	2	2
wh2_dlc17_bst_special_settlement_altdorf	3	3
wh2_dlc17_bst_special_settlement_altdorf	4	3
wh2_dlc17_bst_special_settlement_altdorf	5	3
wh2_dlc17_bst_special_settlement_black_crag	1	1
wh2_dlc17_bst_special_settlement_black_crag	2	1
wh2_dlc17_bst_special_settlement_black_crag	3	2
wh2_dlc17_bst_special_settlement_black_crag	4	2
wh2_dlc17_bst_special_settlement_black_crag	5	2
wh2_dlc17_bst_special_settlement_castle_drakenhof	1	1
wh2_dlc17_bst_special_settlement_castle_drakenhof	2	1
wh2_dlc17_bst_special_settlement_castle_drakenhof	3	2
wh2_dlc17_bst_special_settlement_castle_drakenhof	4	2
wh2_dlc17_bst_special_settlement_castle_drakenhof	5	2
wh2_dlc17_bst_special_settlement_couronne	1	1
wh2_dlc17_bst_special_settlement_couronne	2	1
wh2_dlc17_bst_special_settlement_couronne	3	2
