name	distance_scaled	density_scaled	event_start	event_stop	grouping_size	max_distance	split	split_close	split_far	split_offset	spotlight	use_reverb	max_start_delay_near	max_start_delay_far	stop_delay	min_refire_time	size_game_parameter	grouping_switch	linked_group_sound	rtpc_1_name	rtpc_1_assignment	rtpc_2_name	rtpc_2_assignment	grouping	rtpc_1_max_grouping_difference	rtpc_2_max_grouping_difference	size_scaler	min_distance	dual_group_sound	min_size	one_shot_influence_duration	scaled_azimuth_rtpc	doppler_rtpc_name	obstruction_size	trigger_charge_time_to_target	disable_group_merging	grid_multiplier	focus_pool
#audio_group_sounds_tables;20;db/audio_group_sounds_tables/data__																																						
Battle_Group_Projectile_Steamgun_Explosion	false	false	Battle_Group_Projectile_Steamgun_Explosion		20.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.0000	0.5000	Battle_Group_Size_Blasting_Charge	Battle_Material_Type		Battle_Material_Type					100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
Battle_Group_Saytang_Projectile_Impact	false	false	Battle_Individual_CineKit_Saytang_Projectile_Impact		20.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.0000	0.5000	Battle_Group_Size_Blasting_Charge	Battle_Material_Type		Battle_Material_Type					100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
Battle_Group_Saytang_Windbow_Impact	false	false	Battle_Individual_CineKit_Saytang_WindBow_Impact		20.0000	400.0000	false	0.0000	0.0000	0.0000	false	true	0.0000	0.0000	0.0000	0.5000	Battle_Group_Size_Blasting_Charge	Battle_Material_Type		Battle_Material_Type					100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_ability_neuroparasites	false	false	IND_Magic_Skaven_Neuroparasites_Start	IND_Magic_Skaven_Neuroparasites_Stop	300.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size			Battle_Magic_Entity_Amount	Entity_Unit_Size				200.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc09_ability_curse_of_djaf_group	false	false	IND_Magic_Curse_Of_Djaf_Loop_Start	IND_Magic_Curse_Of_Djaf_Loop_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc09_ability_tmb_negative_group	false	false	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Debuff_Loop_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc09_ability_tmb_positive_group	false	false	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Start	IND_Magic_Generic_Tomb_Kings_Buff_Loop_Stop	500.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc10_ability_fear_of_aramar_group	false	false	IND_Magic_Fear_Of_Aramar_Loop_Start	IND_Magic_Fear_Of_Aramar_Loop_Stop	35.0000	500.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	0.3500	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
wh2_dlc10_abyssal_howl	false	false	Battle_IND_Ability_Abyssal_Howl_Start		50.0000	350.0000	false	0.0000	0.0000	0.0000	false	true	0.3000	0.6000	0.0000	6.0000	Battle_Magic_Group_Size								100.0000	100.0000	1.0000	0.0000		1.0000	0.0000			0.0000	0.0000	false	0.0000	
