currency_type	faction	faction_group	source_type	battle_type	excluded_battle_type	battle_set_pieces	battles	source_unitary_value	attacker	defender
#battle_secondary_currency_sources_links_tables;3;db/battle_secondary_currency_sources_links_tables/data__										
army_ability_bar_fill		wh_main_fact_group_greenskins	army_entities_in_melee					1.0000	true	true
army_ability_bar_fill		wh2_dlc09_fact_group_tomb_kings	army_losses_own_army					1.0000	true	true
army_ability_bar_fill		wh2_main_fact_group_dark_elves	army_losses					1.0000	true	true
army_ability_bar_fill	wh3_dlc20_chs_festus		enemy_units_under_negative_effects					0.1000	true	true
army_ability_bar_fill		wh3_main_fact_group_nurgle	enemy_units_under_negative_effects					0.1000	true	true
army_ability_bar_fill			fate	trial				0.1000	false	true
army_ability_bar_fill		wh3_main_fact_group_daemons	glory		trial			0.2500	true	true
army_ability_bar_fill	wh3_dlc20_chs_valkia		kills					0.5000	true	true
army_ability_bar_fill	wh3_dlc27_sla_masque_of_slaanesh		kills					1.0000	true	true
army_ability_bar_fill		wh3_main_fact_group_khorne	kills					0.5000	true	true
army_ability_bar_fill	wh3_dlc20_chs_azazel		prisoners					2.0000	true	true
army_ability_bar_fill	wh3_dlc20_chs_kholek		prisoners					2.0000	true	true
army_ability_bar_fill	wh3_dlc20_chs_sigvald		prisoners					2.0000	true	true
army_ability_bar_fill	wh3_main_chs_shadow_legion		prisoners					2.0000	true	true
army_ability_bar_fill		wh3_main_fact_group_slaanesh	prisoners					1.8000	true	true
army_ability_bar_fill	wh_main_chs_chaos		prisoners					2.0000	true	true
army_ability_bar_fill		wh3_main_fact_group_ogre_kingdoms	units_charging					0.0900	true	true
army_ability_bar_fill	wh3_dlc20_chs_vilitch		wom_spent					8.0000	true	true
army_ability_bar_fill		wh3_main_fact_group_tzeentch	wom_spent					8.0000	true	true
prisoners			prisoners					1.0000	true	true
storm_of_magic_magical_flux			wom_spent					1.0000	true	true
supplies_currency			base_income_over_time	domination				7.5000	true	true
supplies_currency			base_income_over_time	siege				1.0000	false	true
supplies_currency			base_income_over_time	unfortified_settlement				1.0000	false	true
supplies_currency			experience_damage_inflicted	domination				0.0000	true	true
supplies_currency			experience_damage_inflicted	survival				0.2500	false	true
supplies_currency			first_time_captured_point	survival				5000.0000	false	true
supplies_currency			holding_key_building_a_points	siege				2.0000	false	true
supplies_currency			holding_key_building_a_points	survival				10.0000	false	true
supplies_currency			holding_key_building_a_points	trial				2.0000	false	true
supplies_currency			holding_key_building_a_points	unfortified_settlement				2.0000	false	true
supplies_currency			holding_key_building_b_points	siege				1.0000	false	true
supplies_currency			holding_key_building_b_points	survival				5.0000	false	true
supplies_currency			holding_key_building_b_points	unfortified_settlement				1.0000	false	true
supplies_currency			holding_major_victory_points	siege				1.0000	false	true
supplies_currency			holding_score_points	domination				0.0000	true	true
supplies_currency			losing_compensation	domination				0.0000	true	true
supplies_currency			settlement_level	siege				500.0000	false	true
supplies_currency			settlement_level	unfortified_settlement				500.0000	false	true
supplies_currency			starting_income	domination				500.0000	true	true
supplies_currency			starting_income	siege				1000.0000	false	true
supplies_currency			starting_income	siege		wh3_dlc24_cth_yuan_bo_compass		6000.0000	false	true
supplies_currency			starting_income	survival				0.0000	false	true
supplies_currency			starting_income	unfortified_settlement				1000.0000	false	true
trials_currency			fate	trial		wh3_pro_mom_qb_01_black_fire_pass		0.9000	false	true
trials_currency			fate	trial		wh3_pro_mom_qb_02_hel_fenn		0.8500	false	true
trials_currency			fate	trial		wh3_pro_mom_qb_03_fallen_gates		0.8000	false	true
trials_currency			fate	trial		wh3_pro_mom_qb_04_altar_of_ultimate_darkness		0.7500	false	true
trials_currency			fate	trial		wh3_pro_mom_qb_05_realm_of_tzeentch		0.7000	false	true
trials_currency			kills	trial		wh3_pro_mom_qb_01_black_fire_pass		0.9000	false	true
trials_currency			kills	trial		wh3_pro_mom_qb_02_hel_fenn		0.8500	false	true
trials_currency			kills	trial		wh3_pro_mom_qb_03_fallen_gates		0.8000	false	true
trials_currency			kills	trial		wh3_pro_mom_qb_04_altar_of_ultimate_darkness		0.7500	false	true
trials_currency			kills	trial		wh3_pro_mom_qb_05_realm_of_tzeentch		0.7000	false	true
