base_battlefield_building	culture	prefab_path	settlement_gun_type	survival_gun_type	settlement_construction_delay	settlement_dismantle_delay	survival_construction_delay	survival_dismantle_delay
#toggle_system_building_variants_tables;2;db/toggle_system_building_variants_tables/data__								
blk_ksl_tower_30m_01	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_toggle_tower_01.bmd	wh3_settlement_tower_tmb_bolt	wh3_survival_tower_tmb_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_toggle_tower_02.bmd	wh3_settlement_tower_tmb_bolt_improved	wh3_survival_tower_tmb_bolt_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_toggle_tower_03.bmd	wh3_settlement_tower_tmb_magic_missile	wh3_survival_tower_tmb_magic_missile	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_toggle_tower_04.bmd	wh3_settlement_tower_tmb_magic_missile_improved	wh3_survival_tower_tmb_magic_missile_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_monument_battle_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_dlc09_tmb_tomb_kings	prefabs\tmb_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh2_dlc11_cst_vampire_coast	prefabs\cst_toggle_tower_01.bmd	wh3_settlement_tower_vmp_bones	wh3_survival_tower_vmp_bones	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_dlc11_cst_vampire_coast	prefabs\cst_toggle_tower_02.bmd	wh3_settlement_tower_vmp_bones_improved	wh3_survival_tower_vmp_bones_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_dlc11_cst_vampire_coast	prefabs\cst_toggle_tower_03.bmd	wh3_settlement_tower_vmp_caged_bats	wh3_survival_tower_vmp_caged_bats	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_dlc11_cst_vampire_coast	prefabs\cst_toggle_tower_04.bmd	wh3_settlement_tower_vmp_corpse_ball	wh3_survival_tower_vmp_corpse_ball	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_dlc11_cst_vampire_coast	prefabs\vmp_coast_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_ice_block_01	wh2_dlc11_cst_vampire_coast	prefabs\vmp_coast_blocker_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_monument_01	wh2_dlc11_cst_vampire_coast	prefabs\vmp_coast_monument_01.bmd			30.0000	15.0000	30.0000	15.0000
glb_barricade_traps_01	wh2_dlc11_cst_vampire_coast	prefabs\vmp_coast_trap_01.bmd			30.0000	15.0000	30.0000	15.0000
blk_ksl_tower_30m_01	wh2_main_def_dark_elves	prefabs\def_toggle_tower_01.bmd	wh3_settlement_tower_def_bolt	wh3_survival_tower_def_bolt	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_02	wh2_main_def_dark_elves	prefabs\def_toggle_tower_02.bmd	wh3_settlement_tower_def_bolt_improved	wh3_survival_tower_def_bolt_improved	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_03	wh2_main_def_dark_elves	prefabs\def_toggle_tower_03.bmd	wh3_settlement_tower_def_magic_missile	wh3_survival_tower_def_magic_missile	90.0000	45.0000	30.0000	30.0000
blk_ksl_tower_30m_04	wh2_main_def_dark_elves	prefabs\def_toggle_tower_04.bmd	wh3_settlement_tower_def_magic_missile_improved	wh3_survival_tower_def_magic_missile_improved	90.0000	45.0000	30.0000	30.0000
glb_barricade_01	wh2_main_def_dark_elves	prefabs\def_barricade_01.bmd			30.0000	15.0000	30.0000	15.0000
