key	active_initiative_limit	activation_cooldown	category	points_limit	allows_multiple_activation	base_cost	use_force_pooled_resources	sort_order
#initiative_sets_tables;8;db/initiative_sets_tables/data__								
wh3_cp1_cth_initiative_set_aosy_ancillaries	-1	0	CP1_CTH_TIGER_BUILDINGS	0	false		false	0
wh3_cp1_cth_initiative_set_aosy_military_buildings	-1	0	CP1_CTH_TIGER_BUILDINGS	0	false		false	0
wh3_cp1_cth_initiative_set_court_position_bhashiva	0	1	CP1_CTH_COURT_INITATIVES	0	false		false	0
wh3_cp1_cth_initiative_set_court_position_military	0	1	CP1_CTH_COURT_INITATIVES	0	false		false	0
wh3_cp1_cth_initiative_set_court_position_spiritual	0	1	CP1_CTH_COURT_INITATIVES	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_lord_khorne	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_lord_slaanesh	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_lord_undivided	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_nurgle	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_tzeentch	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_lord_undivided	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_slaanesh	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_tzeentch	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_chaos_sorcerer_undivided	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_daemon_prince_khorne	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_daemon_prince_nurgle	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_daemon_prince_slaanesh	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_daemon_prince_tzeentch	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_daemon_prince_undivided	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_exalted_hero_khorne	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_exalted_hero_nurgle	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_boons_exalted_hero_undivided	-1	0	PATH_TO_GLORY_BOON	0	false		false	0
wh3_dlc20_character_initiative_set_exalted_hero_mkho_upgrades	1	10	PATH_TO_GLORY_MARK	0	false		false	0
