id	payload	spawnable_unit	add_mercenaries_to_performing_faction
#ritual_payload_spawn_mercenaries_tables;0;db/ritual_payload_spawn_mercenaries_tables/data__			
1021316592	wh2_dlc12_tehenhauin_sacrifice_blessed_temple_guards	wh2_main_lzd_inf_temple_guards_blessed	false
1043941816	wh2_dlc13_ritual_temple_itzl_2_saurus_warriors	wh2_main_lzd_inf_saurus_warriors_blessed_1	false
1049908466	wh2_dlc12_tehenhauin_sacrifice_blessed_stegadon_1	wh2_main_lzd_mon_stegadon_blessed_1	false
1064272982	wh2_dlc11_ritual_cst_queens_cannon	wh2_dlc11_cst_art_queen_bess	false
11757298	wh2_dlc12_ikit_workshop_warpfire_ror_unit_0	wh2_dlc12_skv_inf_warpfire_thrower_ror_tech_lab_0	false
1330820311	wh2_dlc09_ritual_crafting_tmb_nehekhara_horsemen	wh2_dlc09_tmb_cav_nehekhara_horsemen_ror	false
1357073753	wh3_dlc25_ritual_emp_don_black_rose_cap	wh3_dlc25_emp_veh_marienburg_land_ship_morr	false
145366347	wh3_main_ritual_belakor_gg_2_upgraded	wh3_main_nur_inf_plaguebearers_1	true
1589630046	wh2_dlc13_ritual_temple_quetzl_2_saurus_spears	wh2_main_lzd_inf_saurus_spearmen_blessed_1	false
1631825796	wh2_dlc13_ritual_temple_itzl_5_carnosaur	wh2_main_lzd_mon_carnosaur_blessed_0	false
1632071288	wh2_dlc12_ikit_workshop_jezail_ror_unit_0	wh2_dlc12_skv_art_warplock_jezzails_ror_tech_lab_0	false
168108617	wh2_dlc12_tehenhauin_sacrifice_blessed_chameleon_0	wh2_main_lzd_inf_chameleon_skinks_blessed_0	false
1693890582	wh2_dlc09_ritual_crafting_tmb_carrion	wh2_dlc09_tmb_mon_carrion_ror	false
1729752950	wh2_dlc13_ritual_temple_xholankha_5_blessed_stegadon_solar	wh2_main_lzd_mon_bastiladon_blessed_2	false
1829740730	wh2_dlc12_tehenhauin_sacrifice_blessed_carnosaur_0	wh2_main_lzd_mon_carnosaur_blessed_0	false
1831040282	wh3_dlc25_ritual_emp_don_amethyst_ironsides_cap	wh3_dlc25_emp_inf_nuln_ironsides_morr	false
1969843199	wh3_main_ritual_belakor_gg_4	wh3_main_tze_inf_pink_horrors_0	true
1997349340	wh2_dlc12_ikit_workshop_doomwheel_ror_unit_0	wh2_dlc12_skv_veh_doomwheel_ror_tech_lab_0	false
205989097	wh2_dlc13_ritual_temple_itzl_3_horned_ones	wh2_main_lzd_cav_horned_ones_blessed_0	false
2086899779	wh3_main_ritual_belakor_gg_3_upgraded	wh3_main_sla_inf_daemonette_1	true
216198632	wh3_main_ritual_belakor_gg_2	wh3_main_nur_inf_plaguebearers_0	true
249940168	wh2_dlc12_tehenhauin_sacrifice_blessed_saurus_spears_1	wh2_main_lzd_inf_saurus_spearmen_blessed_1	false
258936348	wh3_main_ritual_belakor_gg_4_upgraded	wh3_main_tze_inf_pink_horrors_1	true
361621340	wh2_dlc13_ritual_temple_quetzl_4_cold_one_spears	wh2_main_lzd_cav_cold_one_spearriders_blessed_0	false
374876847	wh2_dlc12_tehenhauin_sacrifice_blessed_cold_one_cav_0	wh2_main_lzd_cav_cold_one_spearriders_blessed_0	false
40493896	wh2_dlc09_ritual_crafting_tmb_necropolis_knights	wh2_dlc09_tmb_cav_necropolis_knights_ror	false
419639807	wh2_dlc13_ritual_temple_itzl_4_kroxigors	wh2_main_lzd_mon_kroxigors_blessed	false
59318881	wh2_dlc09_ritual_crafting_tmb_nehekhara_warriors	wh2_dlc09_tmb_inf_nehekhara_warriors_ror	false
62444620	wh2_dlc09_ritual_tmb_tahoth	wh2_dlc09_tmb_art_casket_of_souls_0	false
656690244	wh2_dlc12_ikit_workshop_gatling_ror_unit_0	wh2_dlc12_skv_inf_ratling_gun_ror_tech_lab_0	false
672259616	wh3_main_ritual_belakor_gg_3	wh3_main_sla_inf_daemonette_0	true
680941642	wh3_main_ritual_belakor_gg_1	wh3_main_kho_inf_bloodletters_0	true
719894073	wh2_dlc13_ritual_temple_quetzl_5_stegadon	wh2_main_lzd_mon_stegadon_blessed_1	false
765166565	wh3_main_ritual_belakor_gg_1_upgraded	wh3_main_kho_inf_bloodletters_1	true
776177539	wh2_dlc13_ritual_temple_quetzl_1_skink_skirmishers	wh2_main_lzd_inf_skink_skirmishers_blessed_0	false
785134550	wh3_dlc25_ritual_emp_don_buckshot_reaper_cap	wh3_dlc25_emp_cav_outriders_morr	false
785533711	wh2_dlc12_tehenhauin_sacrifice_blessed_kroxigors	wh2_main_lzd_mon_kroxigors_blessed	false
788784462	wh2_dlc13_ritual_temple_xholankha_2_blessed_terradon	wh2_main_lzd_cav_terradon_riders_blessed_1	false
78954203	wh3_dlc25_ritual_emp_don_deathstorm_battery_cap	wh3_dlc25_emp_art_helstorm_rocket_battery_morr	false
844460243	wh2_dlc12_tehenhauin_sacrifice_blessed_terradon_riders_1	wh2_main_lzd_cav_terradon_riders_blessed_1	false
902545239	wh2_dlc12_ikit_workshop_doomflayer_ror_unit_0	wh2_dlc12_skv_veh_doom_flayer_ror_tech_lab_0	false
963432990	wh2_dlc17_dwf_ritual_thorek_artifact_1	wh2_dlc17_dwf_mon_carnosaur_thorek_0	false
993990869	wh2_dlc13_ritual_temple_xholankha_4_blessed_temple_guard	wh2_main_lzd_inf_temple_guards_blessed	false
