component_id	custom_loading_screen_key	image_path
#custom_loading_screen_components_tables;0;db/custom_loading_screen_components_tables/data__		
background	wh2_dlc09_skv_clan_rictus_gc	UI/loading_ui/load_images/campaign_skaven1.png
custom_quote	wh2_dlc09_skv_clan_rictus_gc	
background	wh2_dlc09_tmb_exiles_of_nehek_gc	UI/loading_ui/load_images/campaign_tomb_kings1.png
custom_quote	wh2_dlc09_tmb_exiles_of_nehek_gc	
background	wh2_dlc09_tmb_followers_of_nagash_gc	UI/loading_ui/load_images/campaign_tomb_kings1.png
custom_quote	wh2_dlc09_tmb_followers_of_nagash_gc	
background	wh2_dlc09_tmb_khemri_gc	UI/loading_ui/load_images/campaign_tomb_kings1.png
custom_quote	wh2_dlc09_tmb_khemri_gc	
background	wh2_dlc09_tmb_lybaras_gc	UI/loading_ui/load_images/campaign_tomb_kings1.png
custom_quote	wh2_dlc09_tmb_lybaras_gc	
background	wh2_dlc10_def_hellebron_gc	UI/loading_ui/load_images/campaign_dark_elves1.png
custom_quote	wh2_dlc10_def_hellebron_gc	
background	wh2_dlc10_hef_alarielle_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_dlc10_hef_alarielle_gc	
background	wh2_dlc10_hef_alith_anar_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_dlc10_hef_alith_anar_gc	
background	wh2_dlc11_cst_aranessa_gc	UI/loading_ui/load_images/campaign_vampire_coast1.png
custom_quote	wh2_dlc11_cst_aranessa_gc	
background	wh2_dlc11_cst_cylostra_gc	UI/loading_ui/load_images/campaign_vampire_coast1.png
custom_quote	wh2_dlc11_cst_cylostra_gc	
background	wh2_dlc11_cst_harkon_gc	UI/loading_ui/load_images/campaign_vampire_coast2.png
custom_quote	wh2_dlc11_cst_harkon_gc	
background	wh2_dlc11_cst_noctilus_gc	UI/loading_ui/load_images/campaign_vampire_coast1.png
custom_quote	wh2_dlc11_cst_noctilus_gc	
background	wh2_dlc11_def_lokhir_gc	UI/loading_ui/load_images/campaign_dark_elves1.png
custom_quote	wh2_dlc11_def_lokhir_gc	
background	wh2_dlc12_lzd_tehenhauin_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_dlc12_lzd_tehenhauin_gc	
background	wh2_dlc12_lzd_tiktaqto_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_dlc12_lzd_tiktaqto_gc	
background	wh2_dlc12_skv_ikit_claw_gc	UI/loading_ui/load_images/campaign_skaven1.png
custom_quote	wh2_dlc12_skv_ikit_claw_gc	
background	wh2_dlc13_emp_markus_wulfhart_gc	UI/loading_ui/load_images/campaign_empire1.png
custom_quote	wh2_dlc13_emp_markus_wulfhart_gc	
background	wh2_dlc13_lzd_gor_rok_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_dlc13_lzd_gor_rok_gc	
background	wh2_dlc13_lzd_nakai_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_dlc13_lzd_nakai_gc	
background	wh2_dlc14_brt_repanse_gc	UI/loading_ui/load_images/campaign_bretonnia1.png
custom_quote	wh2_dlc14_brt_repanse_gc	
background	wh2_dlc14_def_malus_gc	UI/loading_ui/load_images/campaign_dark_elves1.png
custom_quote	wh2_dlc14_def_malus_gc	
background	wh2_dlc14_skv_snikch_gc	UI/loading_ui/load_images/campaign_skaven1.png
custom_quote	wh2_dlc14_skv_snikch_gc	
background	wh2_dlc15_grn_grom_gc	UI/loading_ui/load_images/campaign_greenskins1.png
custom_quote	wh2_dlc15_grn_grom_gc	
background	wh2_dlc15_hef_eltharion_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_dlc15_hef_eltharion_gc	
background	wh2_dlc15_hef_imrik_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_dlc15_hef_imrik_gc	
background	wh2_dlc16_skv_throt_gc	UI/loading_ui/load_images/campaign_skaven1.png
custom_quote	wh2_dlc16_skv_throt_gc	
background	wh2_dlc16_wef_drycha_gc	UI/loading_ui/load_images/campaign_wood_elves1.png
custom_quote	wh2_dlc16_wef_drycha_gc	
background	wh2_dlc16_wef_sisters_gc	UI/loading_ui/load_images/campaign_wood_elves1.png
custom_quote	wh2_dlc16_wef_sisters_gc	
background	wh2_dlc17_bst_taurox_me	UI/loading_ui/load_images/campaign_beastmen1.png
custom_quote	wh2_dlc17_bst_taurox_me	
background	wh2_dlc17_dwf_thorek_me	UI/loading_ui/load_images/campaign_dwarfs1.png
custom_quote	wh2_dlc17_dwf_thorek_me	
background	wh2_dlc17_lzd_oxyotl_me	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_dlc17_lzd_oxyotl_me	
background	wh2_main_def_malekith_gc	UI/loading_ui/load_images/campaign_dark_elves1.png
custom_quote	wh2_main_def_malekith_gc	
background	wh2_main_def_morathi_gc	UI/loading_ui/load_images/campaign_dark_elves1.png
custom_quote	wh2_main_def_morathi_gc	
background	wh2_main_hef_teclis_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_main_hef_teclis_gc	
background	wh2_main_hef_tyrion_gc	UI/loading_ui/load_images/campaign_high_elves1.png
custom_quote	wh2_main_hef_tyrion_gc	
background	wh2_main_lzd_hexoatl_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_main_lzd_hexoatl_gc	
background	wh2_main_lzd_last_defenders_gc	UI/loading_ui/load_images/campaign_lizardmen1.png
custom_quote	wh2_main_lzd_last_defenders_gc	
background	wh2_main_skv_clan_mors_gc	UI/loading_ui/load_images/campaign_skaven1.png
custom_quote	wh2_main_skv_clan_mors_gc	
