variant_name	skeleton	root_joint
#battle_skeleton_parts_tables;1;db/battle_skeleton_parts_tables/data__		
wh3_main_dae_cha_daemon_prince_arm_l_armoured_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_armoured_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_base_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_beast_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_bird_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_corpulent_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_flamer_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_moutharm_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_mutated_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_pincer_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_l_scythe_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_armoured_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_04	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_05	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_base_06	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_beast_01	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_beast_02	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_beast_03	humanoid10e	
wh3_main_dae_cha_daemon_prince_arm_r_beast_04	humanoid10e	
