decision_item	decision_policy	query	query_variable_set	query_invert_result	query_weight
#cai_decision_policy_junctions_tables;0;db/cai_decision_policy_junctions_tables/data__					
allied_buildings_open_slot	allied_buildings_policy_default	always_true		false	0.5000
allied_buildings_open_slot	allied_buildings_policy_default	faction_province_check_max_recruitable_unit_quality	value_between_0_40_scaled	false	1.0000
allied_buildings_open_slot	allied_buildings_policy_default	faction_province_check_recruitable_unit_types	value_between_0_15_scaled	false	1.0000
cathay_caravan_start	cathay_caravan_start	always_true		false	1.0000
cathay_caravan_start	cathay_caravan_start	decision_item_rounds_ago_that_any_was_chosen	long_random_bounds	false	-100.0000
	cathay_caravan_start	random_with_min_max_behaviour	bounds_max_0.8	false	-100.0000
cathay_compass_action_wrath_of_the_emperor	cathay_compass_policy_default	always_true		false	100.0000
cathay_compass_bastion	cathay_compass_policy_default	faction_check_if_owned_victory_region_under_siege		false	50.0000
cathay_compass_bastion	cathay_compass_policy_default	world_check_compass_power_level	most_specific_value_between_0_20_scaled_compass_bastion	true	10.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_chaos	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_khorne	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_nurgle	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_skaven	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_slaanesh	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_tzeentch	false	1.0000
cathay_compass_desert	cathay_compass_policy_default	faction_check_average_provincial_pooled_resource	pooled_resource_province_corruption_vampire	false	1.0000
cathay_compass_lake	cathay_compass_policy_default	world_check_compass_power_level	most_specific_value_between_0_20_scaled_compass_lake	true	10.0000
cathay_compass_wrath	cathay_compass_policy_default	faction_check_if_owned_victory_region_under_siege		false	100.0000
cathay_compass_wrath	cathay_compass_policy_default	world_check_compass_power_level	most_specific_value_between_0_20_scaled_compass_wrath	true	10.0000
	cathay_compass_policy_default	decision_item_rounds_ago_that_any_was_chosen	long_random_bounds	false	-100.0000
cathay_provincial_initiative_bastion_growth	cathay_provincial_initiative_policy_default	always_true		false	1.0000
cathay_provincial_initiative_bastion_patrol	cathay_provincial_initiative_policy_default	always_true		false	1.0000
cathay_provincial_initiative_bastion_replenish	cathay_provincial_initiative_policy_default	always_true		false	1.0000
cathay_provincial_initiative_bastion_train	cathay_provincial_initiative_policy_default	always_true		false	1.0000
	cathay_provincial_initiative_policy_default	decision_item_rounds_ago_that_any_was_chosen	basic_random_bounds	false	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_default	faction_check_if_human	queried_domain_target	false	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_default	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-15	true	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_default	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	20.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_default	gds_random		false	5.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_default	faction_check_if_human	queried_domain_target	false	-100.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_default	faction_to_faction_check_attitude	queried_domain_source_to_target_bounds_max-15	true	-100.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_default	faction_to_faction_check_threat_score_normalized	queried_domain_source_to_target	false	40.0000
changing_of_the_ways_open_gates	changing_of_the_ways_actions_default	gds_random		false	5.0000
	changing_of_the_ways_actions_default	decision_item_rounds_ago_that_any_was_chosen	bounds_max_20	false	-100.0000
	changing_of_the_ways_actions_default	faction_check_pooled_resource	pooled_resource_grimoires_bounds_min200	true	-100.0000
	changing_of_the_ways_actions_default	random_with_min_max_behaviour	bounds_max_0.8	false	-100.0000
changing_of_the_ways_halt_faction	changing_of_the_ways_actions_easy	faction_check_if_human	queried_domain_target	false	-100.0000
