key	agent_subtype	agent_type	recovery_time	minimum_level	effects_while_performing
#ritual_performing_characters_tables;1;db/ritual_performing_characters_tables/data__					
arbaal_teleport	wh3_dlc26_kho_arbaal_the_undefeated		0	0	
elspeth_teleport	wh3_dlc25_emp_elspeth_von_draken		0	0	
eshin_actions_mortal_empires_1	wh2_dlc14_skv_deathmaster_snikch		2	5	
eshin_actions_mortal_empires_2	wh2_dlc14_skv_deathmaster_snikch		2	15	
eshin_actions_mortal_empires_3	wh2_dlc14_skv_deathmaster_snikch		2	30	
eshin_actions_mortal_empires_4	wh2_dlc14_skv_deathmaster_snikch		2	40	
eshin_actions_tier_1			0	1	
eshin_actions_tier_2			2	5	
eshin_actions_tier_3			4	15	
eshin_actions_tier_4			5	30	
eshin_actions_tier_4_snikch	wh2_dlc14_skv_deathmaster_snikch		5	1	
eshin_contracts_tier_1			5	1	
eshin_contracts_tier_2			5	5	
eshin_contracts_tier_3			5	10	
golgfag_character	wh3_dlc26_ogr_golgfag_maneater		0	0	
hef_court_performing_lord			0	0	
nagash_teleport	wh3_dlc29_nag_nagash		0	0	
oxyotl_teleport	wh2_dlc17_lzd_oxyotl		0	0	
skulltaker_teleport	wh3_dlc26_kho_skulltaker		0	0	
wh3_cp1_bhashiva	wh3_cp1_cth_bhashiva		0	0	
wh3_cp1_sawai	wh3_cp1_cth_sawai		0	0	
wh3_dlc27_lokhir_black_ark_teleport	wh2_dlc11_def_lokhir		0	0	
wh3_dlc27_nkari_convert_lord	wh3_main_sla_nkari		0	0	
wh3_dlc29_neferata_actions_t1_assassination	wh3_dlc29_vmp_lahmian_vampire		2	1	
wh3_dlc29_neferata_actions_t1_assist_coven	wh3_dlc29_vmp_neferata		0	1	
wh3_dlc29_neferata_actions_t1_block_movement	wh3_dlc29_vmp_lahmian_vampire		3	1	
wh3_dlc29_neferata_actions_t1_break_alliances	wh3_dlc29_vmp_lahmian_vampire		3	5	
wh3_dlc29_neferata_actions_t1_cause_war	wh3_dlc29_vmp_lahmian_vampire		3	5	
wh3_dlc29_neferata_actions_t1_steal_item	wh3_dlc29_vmp_lahmian_vampire		0	1	
wh3_dlc29_neferata_actions_t1_steal_treasury	wh3_dlc29_vmp_lahmian_vampire		0	1	
wh3_dlc29_neferata_actions_t1_teleport_neferata	wh3_dlc29_vmp_neferata		0	1	
wh3_dlc29_neferata_actions_t2_damage_garrison	wh3_dlc29_vmp_lahmian_vampire		2	10	
wh3_dlc29_neferata_actions_t2_incite_rebellion	wh3_dlc29_vmp_lahmian_vampire		2	10	
wh3_dlc29_neferata_actions_t3_replenish_ap	wh3_dlc29_vmp_lahmian_vampire		3	10	
wh3_dlc29_neferata_actions_t3_teleport_enemy	wh3_dlc29_vmp_lahmian_vampire		3	10	
wh3_dlc29_neferata_actions_t4_convert_climate	wh3_dlc29_vmp_lahmian_vampire		3	15	
wh3_dlc29_neferata_actions_t5_declare_war	wh3_dlc29_vmp_lahmian_vampire		4	20	
wh3_dlc29_neferata_actions_t5_intercept_diplomacy	wh3_dlc29_vmp_lahmian_vampire		15	20	
wh3_dlc29_neferata_actions_t6_raze_province	wh3_dlc29_vmp_neferata		0	25	
wulfrik_teleport	wh_dlc08_nor_wulfrik		0	0	
