army_special_ability	ascendancy
#storm_of_magic_ascendancy_to_army_special_abilities_tables;1;db/storm_of_magic_ascendancy_to_army_special_abilities_tables/data__	
wh3_main_cataclysm_beasts_ascendancy	wh_dlc03_lore_beasts
wh3_main_cataclysm_beasts_merciws_monstrous_regiment	wh_dlc03_lore_beasts
wh3_main_cataclysm_life_ascendancy	wh_dlc05_lore_life
wh3_main_cataclysm_life_storm_of_renewal	wh_dlc05_lore_life
wh3_main_cataclysm_shadow_ascendancy	wh_dlc05_lore_shadows
wh3_main_cataclysm_shadow_dance_of_despair	wh_dlc05_lore_shadows
wh3_main_cataclysm_death_ascendancy	wh_main_lore_death
wh3_main_cataclysm_death_ashes_and_dust	wh_main_lore_death
wh3_main_cataclysm_fire_ascendancy	wh_main_lore_fire
wh3_main_cataclysm_fire_magma_storm	wh_main_lore_fire
wh3_main_cataclysm_heavens_ascendancy	wh_main_lore_heavens
wh3_main_cataclysm_heavens_thorsens_thunderstorm	wh_main_lore_heavens
wh3_main_cataclysm_light_ascendancy	wh_main_lore_light
wh3_main_cataclysm_light_time_amok	wh_main_lore_light
wh3_main_cataclysm_metal_ascendancy	wh_main_lore_metal
wh3_main_cataclysm_metal_gehennas_golden_globe	wh_main_lore_metal
