set	settlement_type	random_weight	region_condition_context_expression
#settlement_type_sets_to_settlement_types_tables;2;db/settlement_type_sets_to_settlement_types_tables/data__			
chaos_dwarf_settlement_tower	wh3_dlc23_chd_tower	1.0000	
chaos_dwarf_settlement_types	wh3_dlc23_chd_factory	1.0000	
chaos_dwarf_settlement_types	wh3_dlc23_chd_outpost	1.0000	
chaos_dwarf_settlement_types	wh3_dlc23_chd_tower	1.0000	
dedicated_to_daemon_god	wh3_main_dae_khorne	1.0000	
dedicated_to_daemon_god	wh3_main_dae_nurgle	1.0000	
dedicated_to_daemon_god	wh3_main_dae_slaanesh	1.0000	
dedicated_to_daemon_god	wh3_main_dae_tzeentch	1.0000	
wh3_dlc27_dechala_settlement_palace	wh3_dlc27_dechala_pleasure_palace	1.0000	
wh3_dlc27_dechala_settlement_types	wh3_dlc27_dechala_pleasure_palace	0.0000	
wh3_dlc27_dechala_settlement_types	wh3_dlc27_dechala_thrall_camp	1.0000	
wh3_dlc27_dechala_settlement_types	wh3_dlc27_dechala_war_pit	0.0000	
wh3_dlc27_norsca_altars	wh3_dlc27_norsca_altars_kho	1.0000	
wh3_dlc27_norsca_altars	wh3_dlc27_norsca_altars_nur	1.0000	
wh3_dlc27_norsca_altars	wh3_dlc27_norsca_altars_sla	1.0000	
wh3_dlc27_norsca_altars	wh3_dlc27_norsca_altars_tze	1.0000	
wh3_dlc27_norsca_altars	wh3_dlc27_norsca_altars_und	1.0000	
wh3_dlc27_norsca_sayl_settlement_types	wh3_dlc27_norsca_altars_und	0.0000	
wh3_dlc27_norsca_sayl_settlement_types	wh3_dlc27_norsca_core_settlement	1.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_altars_kho	0.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_altars_nur	0.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_altars_sla	0.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_altars_tze	0.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_altars_und	0.0000	
wh3_dlc27_norsca_settlement_types	wh3_dlc27_norsca_core_settlement	1.0000	
wh3_dlc29_chs_settlement_types	wh3_dlc29_chs_altar	1.0000	
wh3_dlc29_chs_settlement_types	wh3_dlc29_chs_dark_fortress	1.0000	
wh3_dlc29_glottkin_settlement_gardens	wh3_dlc29_woc_glottkin_garden_of_nurgle_major	1.0000	BelongsToRegionGroup("wh3_dlc29_combi_all_major_garden_target") || BelongsToRegionGroup("wh3_dlc20_dark_fortress_region_group")
wh3_dlc29_glottkin_settlement_gardens	wh3_dlc29_woc_glottkin_garden_of_nurgle_minor	1.0000	BelongsToRegionGroup("wh3_dlc29_combi_all_minor_regions")
wh3_dlc29_glottkin_settlement_types	wh3_dlc29_chs_altar	1.0000	
wh3_dlc29_glottkin_settlement_types	wh3_dlc29_chs_dark_fortress	1.0000	
wh3_dlc29_glottkin_settlement_types	wh3_dlc29_woc_glottkin_garden_of_nurgle_major	0.0000	
wh3_dlc29_glottkin_settlement_types	wh3_dlc29_woc_glottkin_garden_of_nurgle_minor	0.0000	
wh3_dlc29_nag_settlement_types	wh3_dlc29_nag_chambers	1.0000	
wh3_dlc29_nag_settlement_types	wh3_dlc29_nag_cove	1.0000	
wh3_dlc29_nag_settlement_types	wh3_dlc29_nag_mausoleum	1.0000	
wh3_dlc29_nag_settlement_types	wh3_dlc29_nag_necropolis	1.0000	
