key	category_order
#campaign_statistics_categories_tables;0;db/campaign_statistics_categories_tables/data__	
stat_cat_agents_actions	71
stat_cat_agents_breaker	69
stat_cat_agents_general	70
stat_cat_battles_aftermath	63
stat_cat_battles_breaker	59
stat_cat_battles_defeats	62
stat_cat_battles_general	60
stat_cat_battles_victories	61
stat_cat_diplomacy	30
stat_cat_economy_breaker	39
stat_cat_economy_expenditure	41
stat_cat_economy_income	40
stat_cat_empire	20
stat_cat_empire_breaker	19
stat_cat_general	10
stat_cat_general_breaker	9
stat_cat_military_breaker	49
stat_cat_military_forces	50
stat_cat_military_units	51
