child_node	parent_node
#ui_graph_node_links_tables;0;db/ui_graph_node_links_tables/data__	
wh3_dlc29_r0-c2-cell0-4	wh3_dlc29_r0-c2-cell0-3
wh3_dlc29_r0-c2-cell1-4	wh3_dlc29_r0-c2-cell0-4
wh3_dlc29_r0-c3-cell1-3	wh3_dlc29_r0-c3-cell0-4
wh3_dlc29_r0-c3-cell1-4	wh3_dlc29_r0-c3-cell0-4
wh3_dlc29_r0-c4-cell1-0	wh3_dlc29_r0-c3-cell0-4
wh3_dlc29_r0-c3-cell2-3	wh3_dlc29_r0-c3-cell1-3
wh3_dlc29_r0-c3-cell2-4	wh3_dlc29_r0-c3-cell1-4
wh3_dlc29_r0-c3-cell3-4	wh3_dlc29_r0-c3-cell2-4
wh3_dlc29_r0-c4-cell1-2	wh3_dlc29_r0-c4-cell0-3
wh3_dlc29_r1-c5-cell4-3	wh3_dlc29_r0-c4-cell0-3
wh3_dlc29_r0-c4-cell2-0	wh3_dlc29_r0-c4-cell1-0
wh3_dlc29_r0-c4-cell2-2	wh3_dlc29_r0-c4-cell1-2
wh3_dlc29_r0-c4-cell0-3	wh3_dlc29_r0-c4-cell1-4
wh3_dlc29_r0-c5-cell0-0	wh3_dlc29_r0-c4-cell1-4
wh3_dlc29_r0-c4-cell3-3	wh3_dlc29_r0-c4-cell2-2
wh3_dlc29_r1-c6-cell4-0	wh3_dlc29_r0-c5-cell0-0
wh3_dlc29_r0-c6-cell1-0	wh3_dlc29_r0-c5-cell0-4
wh3_dlc29_r1-c6-cell4-2	wh3_dlc29_r0-c5-cell1-2
wh3_dlc29_r0-c4-cell1-4	wh3_dlc29_r0-c5-cell2-0
wh3_dlc29_r0-c5-cell4-2	wh3_dlc29_r0-c5-cell2-4
wh3_dlc29_r0-c5-cell1-2	wh3_dlc29_r0-c5-cell4-2
wh3_dlc29_r0-c5-cell2-0	wh3_dlc29_r0-c5-cell4-2
wh3_dlc29_r0-c6-cell1-0	wh3_dlc29_r0-c6-cell0-1
wh3_dlc29_r0-c6-cell1-2	wh3_dlc29_r0-c6-cell0-1
wh3_dlc29_r0-c5-cell2-4	wh3_dlc29_r0-c6-cell1-0
wh3_dlc29_r0-c6-cell2-2	wh3_dlc29_r0-c6-cell1-2
wh3_dlc29_r0-c6-cell2-4	wh3_dlc29_r0-c6-cell1-4
wh3_dlc29_r0-c6-cell3-1	wh3_dlc29_r0-c6-cell2-2
wh3_dlc29_r0-c6-cell1-4	wh3_dlc29_r0-c7-cell0-0
wh3_dlc29_r0-c7-cell1-0	wh3_dlc29_r0-c7-cell0-0
wh3_dlc29_r0-c7-cell2-0	wh3_dlc29_r0-c7-cell1-0
wh3_dlc29_r0-c7-cell0-0	wh3_dlc29_r0-c7-cell1-1
