key	default_generator_group	short_description	long_description
#cai_personalities_task_management_system_task_generator_profiles_tables;2;db/cai_personalities_task_management_system_task_generator_profiles_tables/data__			
wh3_combi_tms_generator_profiles_beastmen	wh3_combi_tms_generator_group_beastmen		
wh3_combi_tms_generator_profiles_beastmen_brayherd	wh3_combi_tms_generator_group_beastmen_brayherd		
wh3_combi_tms_generator_profiles_beastmen_khazrak	wh3_combi_tms_generator_group_beastmen_khazrak		
wh3_combi_tms_generator_profiles_beastmen_malagor	wh3_combi_tms_generator_group_beastmen_malagor		
wh3_combi_tms_generator_profiles_beastmen_minor	wh3_combi_tms_generator_group_beastmen_minor		
wh3_combi_tms_generator_profiles_beastmen_morghur	wh3_combi_tms_generator_group_beastmen_morghur		
wh3_combi_tms_generator_profiles_beastmen_taurox	wh3_combi_tms_generator_group_beastmen_taurox		
wh3_combi_tms_generator_profiles_bretonnia	wh3_combi_tms_generator_group_bretonnia		
wh3_combi_tms_generator_profiles_bretonnia_alberic	wh3_combi_tms_generator_group_bretonnia_alberic		
wh3_combi_tms_generator_profiles_bretonnia_fayenchantress	wh3_combi_tms_generator_group_bretonnia_fayenchantress		
wh3_combi_tms_generator_profiles_bretonnia_louen	wh3_combi_tms_generator_group_bretonnia_louen		
wh3_combi_tms_generator_profiles_bretonnia_minor	wh3_combi_tms_generator_group_bretonnia_minor		
wh3_combi_tms_generator_profiles_bretonnia_repanse	wh3_combi_tms_generator_group_bretonnia_repanse		
wh3_combi_tms_generator_profiles_cathay	wh3_combi_tms_generator_group_cathay		
wh3_combi_tms_generator_profiles_cathay_miao_ying	wh3_combi_tms_generator_group_cathay_miao_ying		
wh3_combi_tms_generator_profiles_cathay_minor	wh3_combi_tms_generator_group_cathay_minor		
wh3_combi_tms_generator_profiles_cathay_yuan_bo	wh3_combi_tms_generator_group_cathay_yuan_bo		
wh3_combi_tms_generator_profiles_cathay_zhao_ming	wh3_combi_tms_generator_group_cathay_zhao_ming		
wh3_combi_tms_generator_profiles_chaos	wh3_combi_tms_generator_group_chaos		
wh3_combi_tms_generator_profiles_chaos_dwarf	wh3_combi_tms_generator_group_chaos_dwarf		
wh3_combi_tms_generator_profiles_chaos_dwarf_astragoth	wh3_combi_tms_generator_group_chaos_dwarf_astragoth		
wh3_combi_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_combi_tms_generator_group_chaos_dwarf_drazhoath		
wh3_combi_tms_generator_profiles_chaos_dwarf_minor	wh3_combi_tms_generator_group_chaos_dwarf_minor		
wh3_combi_tms_generator_profiles_chaos_dwarf_zhatan	wh3_combi_tms_generator_group_chaos_dwarf_zhatan		
wh3_combi_tms_generator_profiles_chaos_gatedestroyer	wh3_combi_tms_generator_group_chaos_gatedestroyer		
wh3_combi_tms_generator_profiles_chaos_minor	wh3_combi_tms_generator_group_chaos_minor		
wh3_combi_tms_generator_profiles_chaos_settled	wh3_combi_tms_generator_group_chaos_settled		
wh3_combi_tms_generator_profiles_chaos_settled_archaon	wh3_combi_tms_generator_group_chaos_settled_archaon		
wh3_combi_tms_generator_profiles_chaos_settled_azazel	wh3_combi_tms_generator_group_chaos_settled_azazel		
wh3_combi_tms_generator_profiles_chaos_settled_belakor	wh3_combi_tms_generator_group_chaos_settled_belakor		
wh3_combi_tms_generator_profiles_chaos_settled_festus	wh3_combi_tms_generator_group_chaos_settled_festus		
wh3_combi_tms_generator_profiles_chaos_settled_kholek	wh3_combi_tms_generator_group_chaos_settled_kholek		
wh3_combi_tms_generator_profiles_chaos_settled_minor	wh3_combi_tms_generator_group_chaos_settled_minor		
wh3_combi_tms_generator_profiles_chaos_settled_sigvald	wh3_combi_tms_generator_group_chaos_settled_sigvald		
wh3_combi_tms_generator_profiles_chaos_settled_valkia	wh3_combi_tms_generator_group_chaos_settled_valkia		
wh3_combi_tms_generator_profiles_chaos_settled_vilitch	wh3_combi_tms_generator_group_chaos_settled_vilitch		
wh3_combi_tms_generator_profiles_conclave_of_sorcerers	wh3_combi_tms_generator_group_conclave_of_sorcerers		
wh3_combi_tms_generator_profiles_daemonprince	wh3_combi_tms_generator_group_daemonprince		
wh3_combi_tms_generator_profiles_daemonprince_minor	wh3_combi_tms_generator_group_daemonprince_minor		
wh3_combi_tms_generator_profiles_darkelf	wh3_combi_tms_generator_group_darkelf		
wh3_combi_tms_generator_profiles_darkelf_hellebron	wh3_combi_tms_generator_group_darkelf_hellebron		
wh3_combi_tms_generator_profiles_darkelf_lokhir	wh3_combi_tms_generator_group_darkelf_lokhir		
wh3_combi_tms_generator_profiles_darkelf_malekith	wh3_combi_tms_generator_group_darkelf_malekith		
wh3_combi_tms_generator_profiles_darkelf_malus	wh3_combi_tms_generator_group_darkelf_malus		
wh3_combi_tms_generator_profiles_darkelf_minor	wh3_combi_tms_generator_group_darkelf_minor		
wh3_combi_tms_generator_profiles_darkelf_morathi	wh3_combi_tms_generator_group_darkelf_morathi		
wh3_combi_tms_generator_profiles_darkelf_rakarth	wh3_combi_tms_generator_group_darkelf_rakarth		
wh3_combi_tms_generator_profiles_default	wh3_combi_tms_generator_group_default		
wh3_combi_tms_generator_profiles_dwarf	wh3_combi_tms_generator_group_dwarf		
wh3_combi_tms_generator_profiles_dwarf_belegar	wh3_combi_tms_generator_group_dwarf_belegar		
wh3_combi_tms_generator_profiles_dwarf_grombrindal	wh3_combi_tms_generator_group_dwarf_grombrindal		
wh3_combi_tms_generator_profiles_dwarf_minor	wh3_combi_tms_generator_group_dwarf_minor		
wh3_combi_tms_generator_profiles_dwarf_thorek	wh3_combi_tms_generator_group_dwarf_thorek		
wh3_combi_tms_generator_profiles_dwarf_thorgrim	wh3_combi_tms_generator_group_dwarf_thorgrim		
wh3_combi_tms_generator_profiles_dwarf_ungrim	wh3_combi_tms_generator_group_dwarf_ungrim		
wh3_combi_tms_generator_profiles_dwarfs_malakai	wh3_combi_tms_generator_group_dwarfs_malakai		
wh3_combi_tms_generator_profiles_empire	wh3_combi_tms_generator_group_empire		
wh3_combi_tms_generator_profiles_empire_elspeth	wh3_combi_tms_generator_group_empire_elspeth		
wh3_combi_tms_generator_profiles_empire_franz	wh3_combi_tms_generator_group_empire_franz		
wh3_combi_tms_generator_profiles_empire_gelt	wh3_combi_tms_generator_group_empire_gelt		
wh3_combi_tms_generator_profiles_empire_minor	wh3_combi_tms_generator_group_empire_minor		
wh3_combi_tms_generator_profiles_empire_volkmar	wh3_combi_tms_generator_group_empire_volkmar		
wh3_combi_tms_generator_profiles_empire_wulfhart	wh3_combi_tms_generator_group_empire_wulfhart		
wh3_combi_tms_generator_profiles_endgame	wh3_combi_tms_generator_group_endgame		
wh3_combi_tms_generator_profiles_forest_dweller	wh3_combi_tms_generator_group_forest_dweller		
wh3_combi_tms_generator_profiles_greenskin	wh3_combi_tms_generator_group_greenskin		
wh3_combi_tms_generator_profiles_greenskin_azhag	wh3_combi_tms_generator_group_greenskin_azhag		
wh3_combi_tms_generator_profiles_greenskin_grimgor	wh3_combi_tms_generator_group_greenskin_grimgor		
wh3_combi_tms_generator_profiles_greenskin_grom	wh3_combi_tms_generator_group_greenskin_grom		
wh3_combi_tms_generator_profiles_greenskin_minor	wh3_combi_tms_generator_group_greenskin_minor		
wh3_combi_tms_generator_profiles_greenskin_skarsnik	wh3_combi_tms_generator_group_greenskin_skarsnik		
wh3_combi_tms_generator_profiles_greenskin_wurrzag	wh3_combi_tms_generator_group_greenskin_wurrzag		
wh3_combi_tms_generator_profiles_highelf	wh3_combi_tms_generator_group_highelf		
wh3_combi_tms_generator_profiles_highelf_alarielle	wh3_combi_tms_generator_group_highelf_alarielle		
wh3_combi_tms_generator_profiles_highelf_alithanar	wh3_combi_tms_generator_group_highelf_alithanar		
wh3_combi_tms_generator_profiles_highelf_eltharion	wh3_combi_tms_generator_group_highelf_eltharion		
wh3_combi_tms_generator_profiles_highelf_imrik	wh3_combi_tms_generator_group_highelf_imrik		
wh3_combi_tms_generator_profiles_highelf_minor	wh3_combi_tms_generator_group_highelf_minor		
wh3_combi_tms_generator_profiles_highelf_teclis	wh3_combi_tms_generator_group_highelf_teclis		
wh3_combi_tms_generator_profiles_highelf_tyrion	wh3_combi_tms_generator_group_highelf_tyrion		
wh3_combi_tms_generator_profiles_horde	wh3_combi_tms_generator_group_horde		
wh3_combi_tms_generator_profiles_khorne	wh3_combi_tms_generator_group_khorne		
wh3_combi_tms_generator_profiles_khorne_minor	wh3_combi_tms_generator_group_khorne_minor		
wh3_combi_tms_generator_profiles_khorne_skarbrand	wh3_combi_tms_generator_group_khorne_skarbrand		
wh3_combi_tms_generator_profiles_kislev	wh3_combi_tms_generator_group_kislev		
wh3_combi_tms_generator_profiles_kislev_boris	wh3_combi_tms_generator_group_kislev_boris		
wh3_combi_tms_generator_profiles_kislev_katarin	wh3_combi_tms_generator_group_kislev_katarin		
wh3_combi_tms_generator_profiles_kislev_kostaltyn	wh3_combi_tms_generator_group_kislev_kostaltyn		
wh3_combi_tms_generator_profiles_kislev_minor	wh3_combi_tms_generator_group_kislev_minor		
wh3_combi_tms_generator_profiles_kislev_ostankya	wh3_combi_tms_generator_group_kislev_ostankya		
wh3_combi_tms_generator_profiles_lizardmen	wh3_combi_tms_generator_group_lizardmen		
wh3_combi_tms_generator_profiles_lizardmen_gorrok	wh3_combi_tms_generator_group_lizardmen_gorrok		
wh3_combi_tms_generator_profiles_lizardmen_kroqgar	wh3_combi_tms_generator_group_lizardmen_kroqgar		
wh3_combi_tms_generator_profiles_lizardmen_mazdamundi	wh3_combi_tms_generator_group_lizardmen_mazdamundi		
wh3_combi_tms_generator_profiles_lizardmen_minor	wh3_combi_tms_generator_group_lizardmen_minor		
wh3_combi_tms_generator_profiles_lizardmen_nakai	wh3_combi_tms_generator_group_lizardmen_nakai		
wh3_combi_tms_generator_profiles_lizardmen_oxyotl	wh3_combi_tms_generator_group_lizardmen_oxyotl		
wh3_combi_tms_generator_profiles_lizardmen_tehenhauin	wh3_combi_tms_generator_group_lizardmen_tehenhauin		
wh3_combi_tms_generator_profiles_lizardmen_tiktaqto	wh3_combi_tms_generator_group_lizardmen_tiktaqto		
wh3_combi_tms_generator_profiles_minor	wh3_combi_tms_generator_group_minor		
wh3_combi_tms_generator_profiles_norsca	wh3_combi_tms_generator_group_norsca		
wh3_combi_tms_generator_profiles_norsca_minor	wh3_combi_tms_generator_group_norsca_minor		
wh3_combi_tms_generator_profiles_norsca_throgg	wh3_combi_tms_generator_group_norsca_throgg		
wh3_combi_tms_generator_profiles_norsca_vassal	wh3_combi_tms_generator_group_norsca_vassal		
wh3_combi_tms_generator_profiles_norsca_wulfrik	wh3_combi_tms_generator_group_norsca_wulfrik		
wh3_combi_tms_generator_profiles_nurgle	wh3_combi_tms_generator_group_nurgle		
wh3_combi_tms_generator_profiles_nurgle_epidemius	wh3_combi_tms_generator_group_nurgle_epidemius		
wh3_combi_tms_generator_profiles_nurgle_kugath	wh3_combi_tms_generator_group_nurgle_kugath		
wh3_combi_tms_generator_profiles_nurgle_minor	wh3_combi_tms_generator_group_nurgle_minor		
wh3_combi_tms_generator_profiles_nurgle_tamurkhan	wh3_combi_tms_generator_group_nurgle_tamurkhan		
wh3_combi_tms_generator_profiles_ogre	wh3_combi_tms_generator_group_ogre		
wh3_combi_tms_generator_profiles_ogre_greasus	wh3_combi_tms_generator_group_ogre_greasus		
wh3_combi_tms_generator_profiles_ogre_minor	wh3_combi_tms_generator_group_ogre_minor		
wh3_combi_tms_generator_profiles_ogre_skrag	wh3_combi_tms_generator_group_ogre_skrag		
wh3_combi_tms_generator_profiles_passive	wh3_combi_tms_generator_group_passive		
wh3_combi_tms_generator_profiles_rogue	wh3_combi_tms_generator_group_rogue		
wh3_combi_tms_generator_profiles_sentinels	wh3_combi_tms_generator_group_sentinels		
wh3_combi_tms_generator_profiles_skaven	wh3_combi_tms_generator_group_skaven		
wh3_combi_tms_generator_profiles_skaven_ikit	wh3_combi_tms_generator_group_skaven_ikit		
wh3_combi_tms_generator_profiles_skaven_minor	wh3_combi_tms_generator_group_skaven_minor		
wh3_combi_tms_generator_profiles_skaven_queek	wh3_combi_tms_generator_group_skaven_queek		
wh3_combi_tms_generator_profiles_skaven_skrolk	wh3_combi_tms_generator_group_skaven_skrolk		
wh3_combi_tms_generator_profiles_skaven_snikch	wh3_combi_tms_generator_group_skaven_snikch		
wh3_combi_tms_generator_profiles_skaven_throt	wh3_combi_tms_generator_group_skaven_throt		
wh3_combi_tms_generator_profiles_skaven_tretch	wh3_combi_tms_generator_group_skaven_tretch		
wh3_combi_tms_generator_profiles_slaanesh	wh3_combi_tms_generator_group_slaanesh		
wh3_combi_tms_generator_profiles_slaanesh_minor	wh3_combi_tms_generator_group_slaanesh_minor		
wh3_combi_tms_generator_profiles_slaanesh_nkari	wh3_combi_tms_generator_group_slaanesh_nkari		
wh3_combi_tms_generator_profiles_teb	wh3_combi_tms_generator_group_teb		
wh3_combi_tms_generator_profiles_tombking	wh3_combi_tms_generator_group_tombking		
wh3_combi_tms_generator_profiles_tombking_arkhan	wh3_combi_tms_generator_group_tombking_arkhan		
wh3_combi_tms_generator_profiles_tombking_khalida	wh3_combi_tms_generator_group_tombking_khalida		
wh3_combi_tms_generator_profiles_tombking_khatep	wh3_combi_tms_generator_group_tombking_khatep		
wh3_combi_tms_generator_profiles_tombking_minor	wh3_combi_tms_generator_group_tombking_minor		
wh3_combi_tms_generator_profiles_tombking_settra	wh3_combi_tms_generator_group_tombking_settra		
wh3_combi_tms_generator_profiles_tzeentch	wh3_combi_tms_generator_group_tzeentch		
wh3_combi_tms_generator_profiles_tzeentch_changeling	wh3_combi_tms_generator_group_tzeentch_changeling		
wh3_combi_tms_generator_profiles_tzeentch_kairos	wh3_combi_tms_generator_group_tzeentch_kairos		
wh3_combi_tms_generator_profiles_tzeentch_minor	wh3_combi_tms_generator_group_tzeentch_minor		
wh3_combi_tms_generator_profiles_vampire	wh3_combi_tms_generator_group_vampire		
wh3_combi_tms_generator_profiles_vampire_ghorst	wh3_combi_tms_generator_group_vampire_ghorst		
wh3_combi_tms_generator_profiles_vampire_kemmler	wh3_combi_tms_generator_group_vampire_kemmler		
wh3_combi_tms_generator_profiles_vampire_mannfred	wh3_combi_tms_generator_group_vampire_mannfred		
wh3_combi_tms_generator_profiles_vampire_minor	wh3_combi_tms_generator_group_vampire_minor		
wh3_combi_tms_generator_profiles_vampire_vlad	wh3_combi_tms_generator_group_vampire_vlad		
wh3_combi_tms_generator_profiles_vampirecoast	wh3_combi_tms_generator_group_vampirecoast		
wh3_combi_tms_generator_profiles_vampirecoast_aranessa	wh3_combi_tms_generator_group_vampirecoast_aranessa		
wh3_combi_tms_generator_profiles_vampirecoast_cylostra	wh3_combi_tms_generator_group_vampirecoast_cylostra		
wh3_combi_tms_generator_profiles_vampirecoast_harkon	wh3_combi_tms_generator_group_vampirecoast_harkon		
wh3_combi_tms_generator_profiles_vampirecoast_minor	wh3_combi_tms_generator_group_vampirecoast_minor		
wh3_combi_tms_generator_profiles_vampirecoast_noctilus	wh3_combi_tms_generator_group_vampirecoast_noctilus		
wh3_combi_tms_generator_profiles_woodelf	wh3_combi_tms_generator_group_woodelf		
wh3_combi_tms_generator_profiles_woodelf_drycha	wh3_combi_tms_generator_group_woodelf_drycha		
wh3_combi_tms_generator_profiles_woodelf_durthu	wh3_combi_tms_generator_group_woodelf_durthu		
wh3_combi_tms_generator_profiles_woodelf_minor	wh3_combi_tms_generator_group_woodelf_minor		
wh3_combi_tms_generator_profiles_woodelf_orion	wh3_combi_tms_generator_group_woodelf_orion		
wh3_combi_tms_generator_profiles_woodelf_orion_aggressive	wh3_combi_tms_generator_group_woodelf_orion_aggressive		
wh3_combi_tms_generator_profiles_woodelf_sisters	wh3_combi_tms_generator_group_woodelf_sisters		
wh3_main_task_generator_profile_clan_carrion_superpassive	wh3_combi_tms_generator_group_sentinels	wh3_main_personality_desc_short_clan_carrion_superpassive	wh3_main_personality_desc_long_clan_carrion_superpassive
wh3_tms_generator_profiles_beastmen	wh3_tms_generator_group_beastmen		
wh3_tms_generator_profiles_beastmen_brayherd	wh3_tms_generator_group_beastmen_brayherd		
wh3_tms_generator_profiles_beastmen_minor	wh3_tms_generator_group_beastmen_minor		
wh3_tms_generator_profiles_bretonnia	wh3_tms_generator_group_bretonnia		
wh3_tms_generator_profiles_bretonnia_minor	wh3_tms_generator_group_bretonnia_minor		
wh3_tms_generator_profiles_cathay	wh3_tms_generator_group_cathay		
wh3_tms_generator_profiles_cathay_miao_ying	wh3_tms_generator_group_cathay_miao_ying		
wh3_tms_generator_profiles_cathay_minor	wh3_tms_generator_group_cathay_minor		
wh3_tms_generator_profiles_cathay_yuan_bo	wh3_tms_generator_group_cathay_yuan_bo		
wh3_tms_generator_profiles_cathay_zhao_ming	wh3_tms_generator_group_cathay_zhao_ming		
wh3_tms_generator_profiles_chaos	wh3_tms_generator_group_chaos		
wh3_tms_generator_profiles_chaos_dwarf	wh3_tms_generator_group_chaos_dwarf		
wh3_tms_generator_profiles_chaos_dwarf_astragoth	wh3_tms_generator_group_chaos_dwarf_astragoth		
wh3_tms_generator_profiles_chaos_dwarf_drazhoath	wh3_tms_generator_group_chaos_dwarf_drazhoath		
wh3_tms_generator_profiles_chaos_dwarf_minor	wh3_tms_generator_group_chaos_dwarf_minor		
wh3_tms_generator_profiles_chaos_dwarf_zhatan	wh3_tms_generator_group_chaos_dwarf_zhatan		
wh3_tms_generator_profiles_chaos_gatedestroyer	wh3_tms_generator_group_chaos_gatedestroyer		
wh3_tms_generator_profiles_chaos_minor	wh3_tms_generator_group_chaos_minor		
wh3_tms_generator_profiles_chaos_settled	wh3_tms_generator_group_chaos_settled		
wh3_tms_generator_profiles_chaos_settled_azazel	wh3_tms_generator_group_chaos_settled_azazel		
wh3_tms_generator_profiles_chaos_settled_festus	wh3_tms_generator_group_chaos_settled_festus		
wh3_tms_generator_profiles_chaos_settled_minor	wh3_tms_generator_group_chaos_settled_minor		
wh3_tms_generator_profiles_chaos_settled_valkia	wh3_tms_generator_group_chaos_settled_valkia		
wh3_tms_generator_profiles_chaos_settled_vilitch	wh3_tms_generator_group_chaos_settled_vilitch		
wh3_tms_generator_profiles_conclave_of_sorcerers	wh3_tms_generator_group_conclave_of_sorcerers		
wh3_tms_generator_profiles_daemonprince	wh3_tms_generator_group_daemonprince		
wh3_tms_generator_profiles_daemonprince_minor	wh3_tms_generator_group_daemonprince_minor		
wh3_tms_generator_profiles_darkelf	wh3_tms_generator_group_darkelf		
wh3_tms_generator_profiles_darkelf_minor	wh3_tms_generator_group_darkelf_minor		
wh3_tms_generator_profiles_default	wh3_tms_generator_group_default		
wh3_tms_generator_profiles_dwarf	wh3_tms_generator_group_dwarf		
wh3_tms_generator_profiles_dwarf_minor	wh3_tms_generator_group_dwarf_minor		
wh3_tms_generator_profiles_dwarfs_malakai	wh3_tms_generator_group_dwarfs_malakai		
wh3_tms_generator_profiles_empire	wh3_tms_generator_group_empire		
wh3_tms_generator_profiles_empire_elspeth	wh3_tms_generator_group_empire_elspeth		
wh3_tms_generator_profiles_empire_minor	wh3_tms_generator_group_empire_minor		
wh3_tms_generator_profiles_greenskin	wh3_tms_generator_group_greenskin		
wh3_tms_generator_profiles_greenskin_minor	wh3_tms_generator_group_greenskin_minor		
wh3_tms_generator_profiles_highelf	wh3_tms_generator_group_highelf		
wh3_tms_generator_profiles_highelf_minor	wh3_tms_generator_group_highelf_minor		
wh3_tms_generator_profiles_horde	wh3_tms_generator_group_horde		
wh3_tms_generator_profiles_khorne	wh3_tms_generator_group_khorne		
wh3_tms_generator_profiles_khorne_minor	wh3_tms_generator_group_khorne_minor		
wh3_tms_generator_profiles_khorne_skarbrand	wh3_tms_generator_group_khorne_skarbrand		
wh3_tms_generator_profiles_kislev	wh3_tms_generator_group_kislev		
wh3_tms_generator_profiles_kislev_boris	wh3_tms_generator_group_kislev_boris		
wh3_tms_generator_profiles_kislev_katarin	wh3_tms_generator_group_kislev_katarin		
wh3_tms_generator_profiles_kislev_kostaltyn	wh3_tms_generator_group_kislev_kostaltyn		
wh3_tms_generator_profiles_kislev_minor	wh3_tms_generator_group_kislev_minor		
wh3_tms_generator_profiles_kislev_ostankya	wh3_tms_generator_group_kislev_ostankya		
wh3_tms_generator_profiles_lizardmen	wh3_tms_generator_group_lizardmen		
wh3_tms_generator_profiles_lizardmen_minor	wh3_tms_generator_group_lizardmen_minor		
wh3_tms_generator_profiles_minor	wh3_tms_generator_group_minor		
wh3_tms_generator_profiles_norsca	wh3_tms_generator_group_norsca		
wh3_tms_generator_profiles_norsca_minor	wh3_tms_generator_group_norsca_minor		
wh3_tms_generator_profiles_norsca_vassal	wh3_tms_generator_group_norsca_vassal		
wh3_tms_generator_profiles_nurgle	wh3_tms_generator_group_nurgle		
wh3_tms_generator_profiles_nurgle_kugath	wh3_tms_generator_group_nurgle_kugath		
wh3_tms_generator_profiles_nurgle_minor	wh3_tms_generator_group_nurgle_minor		
wh3_tms_generator_profiles_nurgle_tamurkhan	wh3_tms_generator_group_nurgle_tamurkhan		
wh3_tms_generator_profiles_ogre	wh3_tms_generator_group_ogre		
