faction	unit_purchasable_effect
#faction_banned_unit_purchasable_effects_tables;0;db/faction_banned_unit_purchasable_effects_tables/data__	
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_cost_reduction
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_instability_protection
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_refund_cancel
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_2
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_reduction_3
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_upkeep_removal
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_hidden_augment_ward_save
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_0
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_1
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_10
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_11
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_12
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_13
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_14
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_15
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_16
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_17
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_2
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_3
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_4
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_5
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_6
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_7
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_8
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_inf_aug_9
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_1
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_2
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_3
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_4
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_5
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_instability_6
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_0
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_1
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_10
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_11
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_12
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_13
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_14
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_15
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_16
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_17
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_2
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_3
wh2_dlc09_skv_clan_rictus	wh2_dlc16_throt_flesh_lab_mon_aug_4
