feature	group	available
#campaign_features_tables;0;db/campaign_features_tables/data__		
additional_army_upkeep	wh2_dlc09_feature_tomb_kings	false
additional_army_upkeep	wh2_dlc13_lzd_spirits_of_the_jungle	false
additional_army_upkeep	wh3_dlc23_feature_chaos_dwarfs	false
additional_army_upkeep	wh3_main_prologue_campaign	false
additional_army_upkeep	wh_dlc03_feature_beastmen	false
additional_army_upkeep	wh_main_feature_all	true
additional_army_upkeep	wh_main_feature_bretonnia	false
additional_army_upkeep	wh_main_feature_chaos	false
ambush_in_default_stance	wh2_dlc10_feature_alith_anar	true
ambush_in_default_stance	wh2_main_feature_skaven	true
ambush_in_default_stance	wh_dlc03_feature_beastmen	true
assign_edicts	wh_main_feature_all	true
bribery	wh3_dlc20_feature_azazel	true
bribery	wh3_dlc20_feature_sigvald	true
bribery	wh3_main_feature_slaanesh	true
can_recruit_lords_in_foreign_slots	wh3_dlc24_tze_the_deceivers	true
character_tagging	wh3_dlc20_feature_azazel	true
character_tagging	wh3_dlc20_feature_sigvald	true
character_tagging	wh3_main_feature_slaanesh	true
character_training	wh3_main_feature_kislev	true
character_training	wh3_main_prologue_campaign	false
diplomatic_manipulation	wh3_dlc20_feature_vilitch	true
diplomatic_manipulation	wh3_main_feature_tzeentch	true
dwarven_grudges	wh_main_feature_all	false
dwarven_grudges	wh_main_feature_dwarfs	true
enslaving_captives_replenishes_hitpoints	wh2_main_feature_lizardmen	true
enslaving_captives_replenishes_hitpoints	wh3_dlc23_feature_chaos_dwarfs	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_cathay	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_khorne	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_kislev	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_nurgle	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_ogre_kingdoms	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_slaanesh	true
enslaving_captives_replenishes_hitpoints	wh3_main_feature_tzeentch	true
enslaving_captives_replenishes_hitpoints	wh_dlc03_feature_beastmen	true
enslaving_captives_replenishes_hitpoints	wh_main_feature_greenskins	true
enslaving_captives_replenishes_hitpoints	wh_main_feature_vampire_counts	true
faction_mercenary_recruitment_outside_of_territory	wh3_main_feature_nurgle	true
faction_mercenary_recruitment_outside_of_territory	wh_main_feature_chaos	true
factionwide_recruitment	wh2_main_feature_dark_elves	false
factionwide_recruitment	wh2_main_feature_dark_elves_malus	false
factionwide_recruitment	wh3_main_prologue_campaign	true
factionwide_recruitment	wh_dlc03_feature_beastmen	false
factionwide_recruitment	wh_main_feature_all	true
factionwide_recruitment	wh_main_feature_chaos	false
factionwide_recruitment	wh_main_feature_vampire_counts	false
faithful_vassal	wh_main_feature_faithful_vassal	true
food	wh_main_feature_all	false
food	wh_main_feature_bretonnia	true
forces_can_not_move_in_channelling_stance	wh2_dlc11_feature_vampire_coast	true
geomantic_web	wh2_main_feature_geomantic_web_factions	true
hidden_in_settle_stance	wh_dlc03_feature_beastmen	true
hidden_settlements	wh2_main_feature_skaven	true
horde_building_dismantle_development_point_recoup	wh3_main_feature_ogre_kingdoms	true
horde_development_costs_multipliers	wh_dlc03_feature_beastmen	false
horde_development_costs_multipliers	wh_main_feature_all	true
influence	wh2_dlc11_feature_rogue_influence	true
influence	wh2_main_feature_high_elves	true
influence	wh2_main_feature_tor_elithis	true
influence	wh2_main_feature_vauls_expedition	true
influence	wh_main_feature_empire_politics	true
loyalty_of_lords	wh2_dlc11_feature_vampire_coast	true
loyalty_of_lords	wh2_dlc14_skv_clan_eshin	false
loyalty_of_lords	wh2_main_feature_dark_elves	true
loyalty_of_lords	wh2_main_feature_dark_elves_malus	true
loyalty_of_lords	wh2_main_feature_skaven	true
loyalty_of_lords	wh_main_feature_all	false
master_faithful_vassals	wh3_main_feature_slaanesh	true
master_faithful_vassals	wh_main_feature_chaos	true
military_morale	wh_dlc03_feature_beastmen	true
multi_transformable_leader	wh3_dlc24_tze_the_deceivers	true
not_intercepted_on_tunneling	wh2_dlc10_feature_alith_anar	true
not_intercepted_on_tunneling	wh3_dlc20_feature_vilitch	true
not_intercepted_on_tunneling	wh3_main_feature_daemons	true
not_intercepted_on_tunneling	wh3_main_feature_tzeentch	true
occupation_option_gift_region_also_sacks	wh2_dlc13_feature_lizardmen_nakai	true
occupation_option_gift_region_also_sacks	wh2_dlc13_lzd_spirits_of_the_jungle	true
occupation_option_gift_region_also_sacks	wh_main_feature_all	false
occupation_option_gift_region_also_sacks	wh_main_feature_chaos	true
politics	wh2_dlc11_feature_vampire_coast	true
politics	wh_dlc05_feature_wood_elves	true
politics	wh_main_feature_empire_politics	true
prison	wh2_dlc15_feature_eltharion	true
prison	wh_main_feature_all	false
province_governorship	wh3_dlc24_ksl_daughters_of_the_forest	false
province_governorship	wh3_main_feature_kislev	true
province_governorship	wh3_main_prologue_campaign	false
public_order	wh2_dlc13_lzd_spirits_of_the_jungle	false
public_order	wh3_main_prologue_campaign	false
public_order	wh_dlc03_feature_beastmen	false
public_order	wh_main_feature_all	true
random_missions	wh_main_feature_all	true
region_growth	wh2_dlc13_lzd_spirits_of_the_jungle	false
region_growth	wh3_dlc23_feature_chaos_dwarfs	false
region_growth	wh_dlc03_feature_beastmen	false
region_growth	wh_main_feature_all	true
region_wealth	wh2_dlc13_lzd_spirits_of_the_jungle	false
region_wealth	wh_dlc03_feature_beastmen	false
region_wealth	wh_main_feature_all	true
remain_alive_with_only_agents	wh3_main_realms_invasion_factions	true
remove_background_income_bonus	wh2_dlc09_feature_tomb_kings	true
remove_background_income_bonus	wh_dlc03_feature_beastmen	true
rituals	wh_main_feature_all	true
rituals	wh_main_feature_chaos	true
settlement_abandonment	wh_main_feature_all	true
settlement_vandalisation	wh_main_feature_greenskins	true
siege_escalation	wh3_dlc23_feature_chaos_dwarfs	true
skull_piles	wh3_main_feature_khorne	true
slaves	wh2_main_feature_dark_elves	false
slaves	wh2_main_feature_dark_elves_malus	false
slaves	wh_main_feature_all	false
start_as_primary_faction	primary_factions	true
streaks	wh3_dlc20_feature_valkia	true
streaks	wh3_main_feature_khorne	true
tax_exemption	wh_main_feature_all	true
tax_rate_control	wh_main_feature_all	false
tunnel_attack_characters	wh3_dlc20_feature_vilitch	true
tunnel_attack_characters	wh3_main_feature_daemons	true
tunnel_attack_characters	wh3_main_feature_tzeentch	true
tunnel_attack_is_ambush	wh3_dlc20_feature_vilitch	true
tunnel_attack_is_ambush	wh3_main_feature_daemons	true
tunnel_attack_is_ambush	wh3_main_feature_tzeentch	true
undead_unit_saving_postbattle	wh2_dlc11_feature_vampire_coast	true
undead_unit_saving_postbattle	wh_main_feature_vampire_counts	true
unit_upgrades	wh3_dlc23_feature_chaos_dwarfs	true
unit_upgrades	wh_main_feature_chaos	true
use_cpvalue_for_postbattle_income_calculation	wh2_dlc09_feature_tomb_kings	true
use_cpvalue_for_postbattle_income_calculation	wh_dlc03_feature_beastmen	true
vampiric_mercenary_recruitment_at_sea	wh2_dlc11_feature_vampire_coast	true
vampiric_mercenary_recruitment	wh2_dlc11_feature_vampire_coast	true
vampiric_mercenary_recruitment	wh2_dlc16_feature_drycha	true
vampiric_mercenary_recruitment	wh_main_feature_chaos	true
vampiric_mercenary_recruitment	wh_main_feature_vampire_counts	true
winds_of_magic_compass	wh3_main_feature_cathay	true
winds_of_magic_manipulation	wh3_dlc24_tze_the_deceivers	false
winds_of_magic_manipulation	wh3_dlc24_yuan_bo_winds_of_magic_manipulation	true
winds_of_magic_manipulation	wh3_main_feature_tzeentch	true
