key	optional_background_image	colour_hex
#technology_ui_groups_tables;6;db/technology_ui_groups_tables/data__		
brt_chivalry		AF4B7D
brt_heraldry		AF4B7D
chs_kho		FF0000
chs_nur		00FF00
chs_sla		006464
chs_tze		0000FF
cst_1		AF4B7D
cst_2		AF4B7D
cst_3		AF4B7D
cst_5		AF4B7D
emp_aca		AF96FA
emp_aca_wulfhart		AF96FA
emp_art		AF6464
emp_cav		AF6464
emp_cav_wulfhart		AF6464
emp_com		AF6464
emp_dip		AF5028
emp_dip_wulfhart		AF5028
emp_eco		AF96FA
emp_eco_wulfhart		AF96FA
emp_enemies		AF6464
emp_machines		AF6464
emp_machines_wulfhart		AF6464
emp_mil		AF6464
emp_mil_wulfhart		AF6464
emp_missile_wulfhart		AF6464
emp_missiles		AF6464
emp_state_troops_elspeth		AF6464
emp_state_troops_gelt		AF6464
emp_unique		AF5028
emp_unique_elspeth		AF6464
emp_unique_gelt		AF6464
emp_unique_volkmar		AF5028
emp_unique_wulfhart		AF5028
grn_scrap		AFAFAF
hef_0		AF6464
hef_0_tyrion		AF6464
hef_1		AF3296
hef_10		AF3232
hef_2		AF4B7D
hef_3		AF1E8C
hef_4		AF9632
hef_5		AF5028
hef_6		AFC8C8
hef_7		AFFA32
hef_8		AF96FA
hef_9		AF64C8
hef_aislinn_0		AF6464
hef_aislinn_1		AF3296
hef_aislinn_10		AF3232
hef_aislinn_11		AF0A14
hef_aislinn_2		AF4B7D
hef_aislinn_3		AF1E8C
hef_aislinn_4		AF9632
hef_aislinn_5		AF5028
hef_aislinn_6		AFC8C8
hef_aislinn_7		AFFA32
hef_aislinn_8		AF96FA
hef_aislinn_9		AF64C8
kho_1		FF0000
kho_2		FF0000
kho_3		FF0000
kho_4		FF0000
kho_5		FF0000
kho_8		FF0000
ksl_1_ostankya		FF0000
ksl_1_prologue		AF96FA
ksl_2_ostankya		FF0000
ksl_2_prologue		AF96FA
ksl_3_prologue		AF96FA
ksl_9_ostankya		FF0000
ksl_cultural		FF0000
ksl_governance		FF0000
ksl_ice_court		FF0000
ksl_land		FF0000
ksl_military		FF0000
ksl_orthodoxy		FF0000
ksl_ostankya_unique		AF96FA
lzd_agents		AF96FA
lzd_beasts		AF96FA
lzd_cavalry		FFFFFF
lzd_creation		AF96FA
lzd_guardians		AF96FA
lzd_nakai_beasts		FFFFFF
lzd_nakai_cavalry		FFFFFF
lzd_nakai_expansion		FFFFFF
lzd_nakai_guardians		FFFFFF
lzd_nakai_skinks_saurus		FFFFFF
lzd_nakai_war		FFFFFF
lzd_order		AF96FA
lzd_saurus		AF96FA
lzd_skinks		AF96FA
lzd_spawning		AF96FA
lzd_war		AF96FA
nor_chaos		969696
nor_east		969696
nor_middle		969696
nor_south		969696
nor_west		969696
sla_1		FF0000
sla_2		FF0000
sla_3		FF0000
sla_4		FF0000
sla_5		FF0000
sla_6		FF0000
sla_6_dechala		FF0000
sla_6_masque		FF0000
sla_7		FF0000
the_changeling_army_buffs		1919AF
the_changeling_changing_of_the_ways		1919AF
the_changeling_cultists_ie		1919AF
the_changeling_cultists_roc		1919AF
the_changeling_rifts_ie		1919AF
the_changeling_rifts_roc		1919AF
the_changeling_unit_buffs		1919AF
the_changeling_winds_of_magic		1919AF
tmb_1	tech_watermark_dynasty_1.png	AF6464
tmb_2	tech_watermark_dynasty_2.png	AF3296
tmb_3	tech_watermark_dynasty_3.png	AF4B7D
tmb_4	tech_watermark_dynasty_4.png	AF1E8C
tmb_5	tech_watermark_dynasty_5.png	AF9632
tmb_6	tech_watermark_dynasty_6.png	AF5028
tmb_7	tech_watermark_dynasty_7.png	AF6464
wh3_dlc27_bundle_sla_decadence_1		AF00AF
wh3_dlc27_bundle_sla_decadence_2		AF00AF
wh3_dlc27_bundle_sla_decadence_3		AF00AF
wh3_dlc27_bundle_sla_decadence_4		AF00AF
wh3_dlc27_bundle_sla_decadence_5		AF00AF
