id	group	modifier_bonus	modifier_target	value
#autoresolver_modifier_group_to_modifiers_tables;0;db/autoresolver_modifier_group_to_modifiers_tables/data__				
1072595576	wh_difficulty_kps_multiplier_penalty_legendary	unit_missile_kps_multiplier	all_classes	0.0000
1072967836	wh_spell_strong_kps_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.1700
1075512102	wh_spell_small_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.0400
1175877171	wh_spell_small_kps_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.0400
119236092	wh_global_ranged_kps_penalty	unit_missile_kps_multiplier	cav_mis	0.0000
1211259084	wh3_survival_battle_bonus	unit_melee_kps_multiplier	all_classes	1.0000
1215071991	wh_global_cavalry_melee_kps_multiplier_bonus	unit_melee_kps_multiplier	cav_shk	0.5000
1259631772	wh_settlement_human_v_ai_bonus	unit_melee_kps_multiplier	all_classes	0.0500
1281147141	wh_global_ranged_kps_penalty	unit_missile_kps_multiplier	inf_mis	0.0000
1299195604	wh_difficulty_kps_multiplier_penalty_normal	unit_melee_kps_multiplier	all_classes	0.0000
1306923909	wh_spell_small_kps_multiplier_penalty	unit_missile_kps_multiplier	all_classes	-0.0400
1366036531	wh_difficulty_kps_multiplier_penalty_vhard	unit_missile_kps_multiplier	all_classes	0.0000
1409879670	wh3_survival_battle_bonus_hard	unit_missile_kps_multiplier	all_classes	0.9000
1470584051	wh_difficulty_kps_multiplier_penalty_easy	unit_missile_kps_multiplier	all_classes	0.0000
1526123797	wh_difficulty_kps_multiplier_penalty_hard	unit_melee_kps_multiplier	all_classes	0.0000
1571453669	wh3_survival_battle_bonus_easy	unit_missile_kps_multiplier	all_classes	1.1000
1595365670	wh_difficulty_kps_multiplier_penalty_normal	unit_missile_kps_multiplier	all_classes	0.0000
1611893481	wh3_survival_battle_bonus_hard	unit_melee_kps_multiplier	all_classes	0.9000
1637985067	wh_strong_kps_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.1500
1691413667	wh3_survival_battle_bonus_easy	unit_melee_kps_multiplier	all_classes	1.1000
1694349735	wh_global_cavalry_melee_kps_multiplier_bonus	unit_melee_kps_multiplier	cav_mel	0.5000
1719963559	wh_spell_moderate_kps_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.0900
1787125542	wh_general_lvl_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.0200
1811738824	wh_difficulty_kps_multiplier_penalty_legendary	unit_melee_kps_multiplier	all_classes	0.0000
1813361064	wh_difficulty_kps_multiplier_penalty_easy	unit_melee_kps_multiplier	all_classes	0.0000
184685109	wh_settlement_human_v_ai_penalty	unit_missile_kps_multiplier	all_classes	-0.0500
187172552	wh_spell_small_kps_multiplier_penalty	unit_melee_kps_multiplier	all_classes	-0.0400
188319122	wh_general_lvl_kps_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.0200
1922000801	wh_strong_ranged_kps_multiplier_penalty	unit_missile_kps_multiplier	all_classes	-0.2000
1952823546	wh_spell_strong_kps_multiplier_penalty	unit_melee_kps_multiplier	all_classes	-0.1700
2035332808	wh_spell_moderate_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.0900
2041939794	wh_spell_moderate_kps_multiplier_penalty	unit_missile_kps_multiplier	all_classes	-0.0800
2058235273	wh_no_retreat	unit_retreat_mod	all_classes	-1.0000
2083208767	wh3_survival_battle_bonus	unit_missile_kps_multiplier	all_classes	1.0000
238438458	wh_settlement_human_v_ai_bonus	unit_missile_kps_multiplier	all_classes	0.0500
255398935	wh_strong_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.1500
282969177	wh_moderate_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.0750
392351497	wh_siege_eq_multiplier_bonus	unit_melee_kps_multiplier	all_classes	0.1000
432943812	wh_moderate_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.0750
504652756	wh_spell_strong_kps_multiplier_bonus	unit_missile_kps_multiplier	all_classes	0.1700
531276114	wh_siege_eq_multiplier_ai_v_human_bonus	unit_melee_kps_multiplier	all_classes	0.1000
57381042	wh_settlement_human_v_ai_penalty	unit_melee_kps_multiplier	all_classes	-0.0500
597639017	wh_difficulty_kps_multiplier_penalty_vhard	unit_melee_kps_multiplier	all_classes	0.0000
598476801	wh_siege_eq_additive_bonus	unit_melee_kps_addition	all_classes	0.0010
65380489	wh_global_reduced_morale_dmg	unit_morale_loss_scale	all_classes	0.0000
784857786	wh_spell_strong_kps_multiplier_penalty	unit_missile_kps_multiplier	all_classes	-0.1700
899028187	wh_spell_moderate_kps_multiplier_penalty	unit_melee_kps_multiplier	all_classes	-0.0800
901542794	wh_difficulty_kps_multiplier_penalty_hard	unit_missile_kps_multiplier	all_classes	0.0000
