key	on_sea	required_subculture	own	ui_info	require_war_declaration_ability	region_group	force_faction_diplomatic_faction_set	region_ownership	force_region_owner_diplomatic_faction_set	garrisoned	besieging	require_not_at_war	require_unit	permitted_faction_set	require_min_unit_count	require_not_in_shroud	is_human	same_region_as_performing_character	context_requirement
#ritual_military_force_target_criterias_tables;8;db/ritual_military_force_target_criterias_tables/data__																			
ritual_target_force_allied_neutral_enemy_land	False		Undefined	force_any_but_self_land	false		exclude_self	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_allied_neutral_enemy_land_except_mutinous_whispers_armies	False		Undefined	force_any_but_self_land	false		exclude_self	Undefined		Undefined	Undefined	false		wh3_dlc27_all_regular_factions	1	true	Undefined	Undefined	
ritual_target_force_any	Undefined		Undefined	force_any	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_any_but_allies	Undefined		False	force	false		exclude_self_and_allies	Undefined		Undefined	Undefined	false			2	true	Undefined	Undefined	
ritual_target_force_any_but_self	Undefined		False	force_any_but_self	false		exclude_self	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_any_land	False		Undefined	force_any_land	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_bst_any	Undefined	wh_dlc03_sc_bst_beastmen	False		false		exclude_self_and_allies	Undefined		Undefined	Undefined	true			1	false	Undefined	Undefined	
ritual_target_force_enemy	Undefined		False	force_enemy	false		enemies	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_enemy_land	False		False	force_enemy_land	false		enemies	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_enemy_own_territory	False		False	force_enemy_own_territory	false		enemies	Undefined	self	Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_enemy_same_region	Undefined		False	force_enemy_same_region	false		enemies	Undefined		Undefined	Undefined	false			1	true	Undefined	True	
ritual_target_force_enemy_ungarrisoned	Undefined		False	force_enemy_ungarrisoned	false		enemies	Undefined		False	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_foriegn	Undefined		False	force_foreign	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_foriegn_generic_lords_same_province_SI_min_50_percent	Undefined		False	force_foreign_same_region_si	false			Undefined		Undefined	Undefined	false	wh3_dlc27_all_non_legendary_lords		1	true	Undefined	True	SeductiveInfluenceMoreT3orHigher
ritual_target_force_hef_not_enemy	False	wh2_main_sc_hef_high_elves	False	force_hef_no_war_no_legendary	false		exclude_self_and_enemies	Undefined		Undefined	Undefined	false	wh3_dlc27_hef_non_legendary_lords		1	true	Undefined	Undefined	
ritual_target_force_navy	True		False		false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_navy_any	True		Undefined		false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_navy_own	True		True		false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_neutral_allied	False		False	force_neutral_allied	false		exclude_self_and_enemies	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own	False		True	force_own_land	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own_10_units_minimum	False		True	force_own_10_min	false			Undefined	exclude_enemies	Undefined	False	false			10	true	Undefined	Undefined	
ritual_target_force_own_1_marauder_minimum	False		True	force_own_1_marauder_minimum	false			Undefined	exclude_enemies	Undefined	False	false	dlc08_nor_marauders_inf		1	true	Undefined	Undefined	
ritual_target_force_own_allied	False		Undefined	force_own_allied	false		self_or_allied	Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own_allied_territory_own_allied	False		Undefined	force_own_allied_friendly_territory	false		self_or_allied	Undefined	self_or_allied	Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own_black_ark	Undefined		Undefined	force_own_black_ark	false		self	Undefined		Undefined	Undefined	false	black_ark		1	true	Undefined	Undefined	
ritual_target_force_own_enemy_territory	False		True	force_own_enemy_territory	false			False	enemies	Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own_enemy_territory_not_besieging	False		True	force_own_enemy_territory_not_besieging	false			False	enemies	Undefined	False	false			1	true	Undefined	Undefined	
ritual_target_force_own_except_pillaging	Undefined		True	force_own	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	CallUpTheTrollsPillagingForceExclusion
ritual_target_force_own_land_or_sea	Undefined		True	force_own	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_own_not_ap_gain_locked	False		True	force_own_land	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	ApGainLockedExclusion
ritual_target_force_own_not_loaned	False		True	force_own_land	false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	LoanedArmyExclusion
ritual_target_force_own_ungarrisoned	False		True	force_own_ungarrisoned	false			Undefined		False	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_skv	False	wh2_main_sc_skv_skaven	False		false			Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
ritual_target_force_skv_not_sieging	False	wh2_main_sc_skv_skaven	False		false			Undefined		Undefined	False	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_athel_loren	False		True		false	wh2_dlc16_worldroots_teleport_athel_loren		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_emerald_pools_main	False		True		false	wh2_dlc16_worldroots_teleport_emerald_pools_main		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_forest_of_gloom	False		True		false	wh2_dlc16_worldroots_teleport_forest_of_gloom		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_gaean_vale_main	False		True		false	wh2_dlc16_worldroots_teleport_gaean_vale_main		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
wh2_dlc16_worldroots_teleport_gryphon_wood	False		True		false	wh2_dlc16_worldroots_teleport_gryphon_wood		Undefined		Undefined	Undefined	false			1	true	Undefined	Undefined	
