faction	mercenary_set
#faction_to_mercenary_set_junctions_tables;0;db/faction_to_mercenary_set_junctions_tables/data__	
wh2_dlc09_skv_clan_rictus	wh2_dlc12_skv_units_of_renown_pool
wh2_dlc09_tmb_exiles_of_nehek	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_followers_of_nagash	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_khemri	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc09_tmb_lybaras	wh2_dlc09_tmb_units_of_renown_pool
wh2_dlc11_cst_noctilus	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_pirates_of_sartosa	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_the_drowned	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_cst_vampire_coast	wh2_dlc11_cst_units_of_renown_pool
wh2_dlc11_def_the_blessed_dread	wh2_main_def_units_of_renown_pool
wh2_dlc11_vmp_the_barrow_legion	wh_dlc04_vmp_units_of_renown_pool
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_lzd_cult_of_sotek_pool
wh2_dlc12_lzd_cult_of_sotek	wh2_dlc12_lzd_units_of_renown_pool
wh2_dlc12_lzd_cult_of_sotek	wh2_main_lzd_spawnings_pool
wh2_dlc13_emp_golden_order	wh2_dlc13_emp_elector_counts_merc_pool_volkmar
wh2_dlc13_emp_golden_order	wh_dlc04_emp_units_of_renown_pool
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_elector_counts_merc_pool_non_replenish
wh2_dlc13_emp_the_huntmarshals_expedition	wh2_dlc13_emp_imperial_supply_pool
wh2_dlc13_emp_the_huntmarshals_expedition	wh_dlc04_emp_units_of_renown_pool
wh2_dlc13_lzd_spirits_of_the_jungle	wh2_dlc12_lzd_units_of_renown_pool
wh2_dlc13_lzd_spirits_of_the_jungle	wh2_main_lzd_spawnings_pool
wh2_dlc14_brt_chevaliers_de_lyonesse	wh_dlc07_brt_units_of_renown_pool
wh2_dlc15_dwf_clan_helhein	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh2_dlc15_grn_bonerattlaz	wh2_dlc15_grn_waaagh_pool
wh2_dlc15_grn_bonerattlaz	wh_dlc06_grn_units_of_renown_pool
wh2_dlc15_grn_broken_axe	wh2_dlc15_grn_waaagh_pool
wh2_dlc15_grn_broken_axe	wh_dlc06_grn_units_of_renown_pool
wh2_dlc15_hef_imrik	wh2_dlc15_hef_imrik_dragon_units_of_renown_pool
wh2_dlc15_hef_imrik	wh2_main_hef_units_of_renown_pool
wh2_dlc16_wef_drycha	wh_dlc05_wef_units_of_renown_pool
wh2_dlc16_wef_sisters_of_twilight	wh_dlc05_wef_units_of_renown_pool
wh2_dlc17_bst_malagor	wh_dlc03_bst_units_of_renown_pool
wh2_dlc17_bst_taurox	wh_dlc03_bst_units_of_renown_pool
wh2_dlc17_dwf_thorek_ironbrow	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh2_dlc17_dwf_thorek_ironbrow	wh_dlc06_dwf_units_of_renown_pool
wh2_dlc17_lzd_oxyotl	wh2_dlc12_lzd_units_of_renown_pool
wh2_dlc17_lzd_oxyotl	wh2_main_lzd_spawnings_pool
wh2_main_def_cult_of_pleasure	wh2_main_def_units_of_renown_pool
wh2_main_def_hag_graef	wh2_main_def_units_of_renown_pool
wh2_main_def_har_ganeth	wh2_main_def_units_of_renown_pool
wh2_main_def_naggarond	wh2_main_def_units_of_renown_pool
wh2_main_dwf_greybeards_prospectors	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
wh2_main_dwf_karak_zorn	wh3_dlc25_dwf_book_of_grudges_mercenary_pool
