condition_key	campaign_key	campaign_difficulty
#campaign_victory_conditions_tables;0;db/campaign_victory_conditions_tables/data__		
WH3_ACHIEVEMENT_WINNING_EASY	wh3_main_chaos	EASY
WH3_ACHIEVEMENT_WINNING_HARD	wh3_main_chaos	HARD
WH3_ACHIEVEMENT_WINNING_IE_EASY	wh3_main_combi	EASY
WH3_ACHIEVEMENT_WINNING_IE_HARD	wh3_main_combi	HARD
WH3_ACHIEVEMENT_WINNING_IE_LEGENDARY	wh3_main_combi	LEGENDARY
WH3_ACHIEVEMENT_WINNING_IE_NORMAL	wh3_main_combi	NORMAL
WH3_ACHIEVEMENT_WINNING_IE_VERY_HARD	wh3_main_combi	VERY_HARD
WH3_ACHIEVEMENT_WINNING_LEGENDARY	wh3_main_chaos	LEGENDARY
WH3_ACHIEVEMENT_WINNING_NORMAL	wh3_main_chaos	NORMAL
WH3_ACHIEVEMENT_WINNING_VERY_HARD	wh3_main_chaos	VERY_HARD
