key	icon	enabled_by_default	blocking	can_be_supressed_by_player
#end_turn_notifications_tables;0;db/end_turn_notifications_tables/data__				
ALLIED_BUILDINGS_CONSTRUCTION_AVAILABLE	ui/skins/default/icon_end_turn_notification_building_available.png	true	false	true
ALLIED_BUILDINGS_UPGRADE_AVAILABLE	ui/skins/default/icon_end_turn_notification_building_available.png	true	false	true
ARMY_AP_AVAILABLE	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
CARAVAN_AVAILABLE	ui/skins/default/icon_end_turn_notification_generic.png	true	false	true
CHARACTER_BIG_NAME_AVAILABLE	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
CHARACTER_TRAINING_ACTIVE_DILEMMA	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
CHARACTER_UPGRADE_AVAILABLE	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
COMMANDMENT_AVAILABLE	ui/skins/default/icon_end_turn_notification_edict.png	true	false	true
COMPASS_DIRECTION_AVAILABLE	ui/skins/default/icon_end_turn_notification_generic.png	true	false	true
DAMAGED_BUILDING	ui/skins/default/icon_end_turn_notification_building_repair.png	true	false	true
ECONOMICS_PROJECTED_NEGATIVE	ui/skins/default/icon_end_turn_notification_bankrupt.png	true	false	false
ECONOMICS_PROJECTED_NEGATIVE_WITH_DIPLOMATIC_EXPENDITURE	ui/skins/default/icon_end_turn_notification_bankrupt.png	true	false	false
GARRISONED_ARMY_AP_AVAILABLE	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
HERO_AP_AVAILABLE	ui/skins/default/icon_end_turn_notification_character.png	true	false	true
IMMINENT_REBELLION	ui/skins/default/icon_end_turn_notification_rebellion.png	true	false	true
MILITARY_FORCE_MORALE_LOW	ui/skins/default/icon_end_turn_notification_morale.png	true	false	true
MISSION_CATEGORY_AVAILABLE	ui/skins/default/icon_end_turn_notification_morale.png	true	false	true
NEGATIVE_POOLED_RESOURCE_BALANCE	ui/skins/default/icon_end_turn_notification_bankrupt_resource.png	true	false	true
NOT_RESEARCHING_TECH	ui/skins/default/icon_end_turn_notification_tech.png	true	false	true
PENDING_DIPLOMATIC_NEGOTIATION	ui/skins/default/icon_end_turn_notification_generic.png	true	false	true
PLAYER_FACTION_DEFEATED	ui/skins/default/icon_end_turn_notification_generic.png	true	true	false
PROVINCES_NO_CONSTRUCTION_PROJECT	ui/skins/default/icon_end_turn_notification_building_available.png	true	false	true
SIEGE_NO_EQUIPMENT	ui/skins/default/icon_end_turn_notification_siege.png	true	false	true
