id	plan
#chaotic_plan_token_flavor_text_descriptions_tables;2;db/chaotic_plan_token_flavor_text_descriptions_tables/data__	
1010328419	wh3_dlc29_military_plan
1061206189	wh3_dlc29_economic_plan
1106080109	wh3_dlc29_economic_plan
1300512824	wh3_dlc29_economic_plan
1623516664	wh3_dlc29_economic_plan
1846222347	wh3_dlc29_military_plan
1864370923	wh3_dlc29_military_plan
2056635844	wh3_dlc29_military_plan
2095067006	wh3_dlc29_economic_plan
34388083	wh3_dlc29_military_plan
373217390	wh3_dlc29_military_plan
467438806	wh3_dlc29_military_plan
787545187	wh3_dlc29_military_plan
885879191	wh3_dlc29_economic_plan
