group_key	variable_key	value
#cai_task_management_system_variable_group_junctions_tables;0;db/cai_task_management_system_variable_group_junctions_tables/data__		
wh3_tms_variable_group_brutal	ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_UNITS_THRESHOLD	14.0000
wh3_tms_variable_group_brutal	ALLOCATOR_REQUIRE_FORCES_TO_RETURN_ON_POST_RELEASE_UNITS_THRESHOLD	6.0000
wh3_tms_variable_group_distance_scaling_late	ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_UNITS_THRESHOLD	14.0000
wh3_tms_variable_group_distance_scaling_late	ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_NONRECRUITING	0.2000
wh3_tms_variable_group_distance_scaling_late	ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_RECRUITING	0.2000
wh3_tms_variable_group_distance_scaling_late	ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_NONRECRUITING	8.0000
wh3_tms_variable_group_distance_scaling_late	ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_RECRUITING	7.0000
wh3_tms_variable_group_distance_scaling_mid	ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_UNITS_THRESHOLD	13.0000
wh3_tms_variable_group_distance_scaling_mid	ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_NONRECRUITING	0.1500
wh3_tms_variable_group_distance_scaling_mid	ALLOCATOR_SCORING_DISTANCE_SCALING_RETAINED_MINIMUM_SCORE_PROPORTION_RECRUITING	0.1500
wh3_tms_variable_group_distance_scaling_mid	ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_NONRECRUITING	7.0000
wh3_tms_variable_group_distance_scaling_mid	ALLOCATOR_SCORING_DISTANCE_SCALING_TIME_TO_TARGET_IN_ROUNDS_UPPER_BOUND_RECRUITING	6.0000
wh3_tms_variable_group_first_turn	ALLOCATOR_RELEASE_FORCES_TO_AGGRESSIVE_ACTION_UNITS_THRESHOLD	6.0000
wh3_tms_variable_group_first_turn	ALLOCATOR_REQUIRE_FORCES_TO_RETURN_ON_POST_RELEASE_UNITS_THRESHOLD	4.0000
