battle_animations_table	culture_pack
#culture_to_battle_animation_tables_tables;0;db/culture_to_battle_animation_tables_tables/data__	
hu12_gorebull_2handed_axe	wh2_dlc09_rogue_dwellers_of_zardok
hq1_feral_stegadon	wh2_dlc09_rogue_eyes_of_the_jungle
ba1_bat	wh2_dlc09_tmb_tomb_kings
bc1_warsphinx	wh2_dlc09_tmb_tomb_kings
bi1b_carrion	wh2_dlc09_tmb_tomb_kings
ce1_necrosphinx	wh2_dlc09_tmb_tomb_kings
ce3_necrosphinx_blades	wh2_dlc09_tmb_tomb_kings
gi1_colossus_bow	wh2_dlc09_tmb_tomb_kings
gi1_colossus_dual_swords	wh2_dlc09_tmb_tomb_kings
gi1_hierotitan_staff_and_scales	wh2_dlc09_tmb_tomb_kings
hr1_hexwraiths_skeletal_steed	wh2_dlc09_tmb_tomb_kings
hr1_tomb_steed	wh2_dlc09_tmb_tomb_kings
hr1_tomb_steed_draught	wh2_dlc09_tmb_tomb_kings
hr1_tomb_steed_draught_arkhan	wh2_dlc09_tmb_tomb_kings
hr1_vmp_skeletal_steed_mortisengine	wh2_dlc09_tmb_tomb_kings
hu1_arkhan_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_arkhan_wm_tomb_chariot01_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_empire_sword_and_shield	wh2_dlc09_tmb_tomb_kings
hu1_liche_priest_hr1_tomb_steed_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_liche_priest_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_liche_priest_wm_tomb_chariot01_staff_and_sword	wh2_dlc09_tmb_tomb_kings
hu1_settra_2handed_halberd	wh2_dlc09_tmb_tomb_kings
hu1_settra_wm_tomb_chariot01_2handed_halberd	wh2_dlc09_tmb_tomb_kings
hu1_tomb_2handed_sword	wh2_dlc09_tmb_tomb_kings
hu1_tomb_dual_swords	wh2_dlc09_tmb_tomb_kings
hu1_tomb_halberd_and_shield	wh2_dlc09_tmb_tomb_kings
