key	layout_name	should_fade_to_black
#custom_loading_screens_tables;1;db/custom_loading_screens_tables/data__		
wh2_dlc09_skv_clan_rictus_gc	custom_loading_screen	true
wh2_dlc09_tmb_exiles_of_nehek_gc	custom_loading_screen	true
wh2_dlc09_tmb_followers_of_nagash_gc	custom_loading_screen	true
wh2_dlc09_tmb_khemri_gc	custom_loading_screen	true
wh2_dlc09_tmb_lybaras_gc	custom_loading_screen	true
wh2_dlc10_def_hellebron_gc	custom_loading_screen	true
wh2_dlc10_hef_alarielle_gc	custom_loading_screen	true
wh2_dlc10_hef_alith_anar_gc	custom_loading_screen	true
wh2_dlc11_cst_aranessa_gc	custom_loading_screen	true
wh2_dlc11_cst_cylostra_gc	custom_loading_screen	true
wh2_dlc11_cst_harkon_gc	custom_loading_screen	true
wh2_dlc11_cst_noctilus_gc	custom_loading_screen	true
wh2_dlc11_def_lokhir_gc	custom_loading_screen	true
wh2_dlc12_lzd_tehenhauin_gc	custom_loading_screen	true
wh2_dlc12_lzd_tiktaqto_gc	custom_loading_screen	true
wh2_dlc12_skv_ikit_claw_gc	custom_loading_screen	true
wh2_dlc13_emp_markus_wulfhart_gc	custom_loading_screen	true
wh2_dlc13_lzd_gor_rok_gc	custom_loading_screen	true
wh2_dlc13_lzd_nakai_gc	custom_loading_screen	true
wh2_dlc14_brt_repanse_gc	custom_loading_screen	true
wh2_dlc14_def_malus_gc	custom_loading_screen	true
wh2_dlc14_skv_snikch_gc	custom_loading_screen	true
wh2_dlc15_grn_grom_gc	custom_loading_screen	true
wh2_dlc15_hef_eltharion_gc	custom_loading_screen	true
wh2_dlc15_hef_imrik_gc	custom_loading_screen	true
wh2_dlc16_skv_throt_gc	custom_loading_screen	true
wh2_dlc16_wef_drycha_gc	custom_loading_screen	true
wh2_dlc16_wef_sisters_gc	custom_loading_screen	true
wh2_dlc17_bst_taurox_me	custom_loading_screen	true
wh2_dlc17_dwf_thorek_me	custom_loading_screen	true
wh2_dlc17_lzd_oxyotl_me	custom_loading_screen	true
wh2_main_def_malekith_gc	custom_loading_screen	true
wh2_main_def_morathi_gc	custom_loading_screen	true
wh2_main_hef_teclis_gc	custom_loading_screen	true
wh2_main_hef_tyrion_gc	custom_loading_screen	true
wh2_main_lzd_hexoatl_gc	custom_loading_screen	true
wh2_main_lzd_last_defenders_gc	custom_loading_screen	true
wh2_main_skv_clan_mors_gc	custom_loading_screen	true
wh2_main_skv_clan_pestilens_gc	custom_loading_screen	true
wh2_twa03_def_rakarth_gc	custom_loading_screen	true
wh3_dlc20_chs_azazel	custom_loading_screen	true
wh3_dlc20_chs_azazel_gc	custom_loading_screen	true
wh3_dlc20_chs_festus	custom_loading_screen	true
wh3_dlc20_chs_festus_gc	custom_loading_screen	true
wh3_dlc20_chs_valkia	custom_loading_screen	true
wh3_dlc20_chs_valkia_gc	custom_loading_screen	true
wh3_dlc20_chs_vilitch	custom_loading_screen	true
wh3_dlc20_chs_vilitch_gc	custom_loading_screen	true
wh3_dlc20_survival_altar_of_battle_outro	custom_loading_screen	true
wh3_dlc23_chd_astragoth	custom_loading_screen	true
wh3_dlc23_chd_astragoth_gc	custom_loading_screen	true
wh3_dlc23_chd_legion_of_azgorh	custom_loading_screen	true
wh3_dlc23_chd_legion_of_azgorh_gc	custom_loading_screen	true
wh3_dlc23_chd_zhatan	custom_loading_screen	true
wh3_dlc23_chd_zhatan_gc	custom_loading_screen	true
wh3_dlc24_cth_the_celestial_court	custom_loading_screen	true
wh3_dlc24_cth_the_celestial_court_gc	custom_loading_screen	true
wh3_dlc24_ksl_daughters_of_the_forest	custom_loading_screen	true
wh3_dlc24_ksl_daughters_of_the_forest_gc	custom_loading_screen	true
