effect	bonus_value_id	unit_component_animation_table_junction
#effect_bonus_value_unit_components_animation_table_override_junctions_tables;0;db/effect_bonus_value_unit_components_animation_table_override_junctions_tables/data__		
wh3_dlc25_animation_override_test	enable	109836653
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_1	enable	1111108839
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_1	enable	1930019783
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_1	enable	437514086
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	disable	1111108839
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	disable	1930019783
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	disable	437514086
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	enable	1981777632
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	enable	270639548
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_2	enable	997880302
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	disable	1981777632
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	disable	270639548
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	disable	997880302
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	enable	1457331144
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	enable	1716248604
wh3_dlc25_effect_ritual_gunnery_school_helstorm_projectiles_3	enable	589474052
