agent_type	payload	agent_subtype	spawn_to_pool	use_recruit_rank_bonuses
#ritual_payload_spawn_agents_tables;1;db/ritual_payload_spawn_agents_tables/data__				
general	wh2_dlc12_tehenhauin_sacrifice_tier5_legendary_red_crested_skink_lord	wh2_dlc12_lzd_red_crested_skink_chief_legendary	true	false
general	wh2_main_ritual_def_mathlann	wh2_main_def_black_ark	true	false
wizard	wh3_dlc25_college_of_magic_amber_wizard	wh_dlc03_emp_amber_wizard	false	true
wizard	wh3_dlc25_college_of_magic_amethyst_wizard	wh2_pro07_emp_amethyst_wizard	false	true
wizard	wh3_dlc25_college_of_magic_bright_wizard	wh_main_emp_bright_wizard	false	true
wizard	wh3_dlc25_college_of_magic_celestial_wizard	wh_main_emp_celestial_wizard	false	true
wizard	wh3_dlc25_college_of_magic_grey_wizard	wh_dlc05_emp_grey_wizard	false	true
wizard	wh3_dlc25_college_of_magic_jade_wizard	wh_dlc05_emp_jade_wizard	false	true
wizard	wh3_dlc25_college_of_magic_light_wizard	wh_main_emp_light_wizard	false	true
wizard	wh3_dlc25_college_of_magic_metal_wizard	wh3_dlc25_emp_gold_wizard	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_being_summon_beasts	wh2_dlc15_hef_mage_beasts	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_being_summon_life	wh2_main_hef_mage_life	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_brilliance_summon_heavens	wh2_dlc10_hef_mage_heavens	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_brilliance_summon_light	wh2_main_hef_mage_light	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_darkness_summon_death	wh2_dlc15_hef_mage_death	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_darkness_summon_shadows	wh2_dlc10_hef_mage_shadows	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_high_loremaster_summon_high	wh2_main_hef_mage_high	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_oblivion_summon_fire	wh2_dlc15_hef_mage_fire	false	true
wizard	wh3_dlc27_secrets_of_the_white_tower_oblivion_summon_metal	wh2_dlc15_hef_mage_metal	false	true
dignitary	wh3_main_ritual_nur_plague	wh3_main_nur_cultist_plague_ritual	false	false
