generated_token	token	add_to_pool
#chaotic_plan_token_to_generated_tokens_junctions_tables;1;db/chaotic_plan_token_to_generated_tokens_junctions_tables/data__		
wh3_dlc29_yellow_military_vampire_pay_to_reduce_alarm_elite_action_generated	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm_elite	false
wh3_dlc29_yellow_military_vampire_pay_to_reduce_alarm_action_generated	wh3_dlc29_action_military_vampire_pay_to_reduce_alarm	false
wh3_dlc29_any_action_basic_diversion_generated	wh3_dlc29_any_action_basic_diversion	false
wh3_dlc29_any_action_experience_generated	wh3_dlc29_any_action_experience	false
wh3_dlc29_any_yellow_grey_seer_winds	wh3_dlc29_any_mod_pool_grey_seer_winds	true
wh3_dlc29_any_red_alarm_action_cost_1_payoff	wh3_dlc29_any_red_alarm_action_cost_1	false
wh3_dlc29_any_red_alarm_action_cost_2_payoff	wh3_dlc29_any_red_alarm_action_cost_2	false
wh3_dlc29_any_red_eshin_alarm_payoff_1	wh3_dlc29_any_red_eshin_alarm_1	false
wh3_dlc29_any_red_mors_alarm_payoff_1	wh3_dlc29_any_red_mors_alarm_1	false
wh3_dlc29_any_red_mors_alarm_payoff_1_generated	wh3_dlc29_any_red_mors_alarm_payoff_1	false
wh3_dlc29_any_red_moulder_alarm_payoff_1	wh3_dlc29_any_red_moulder_alarm_1	false
wh3_dlc29_any_red_moulder_alarm_payoff_1_generated	wh3_dlc29_any_red_moulder_alarm_payoff_1	false
wh3_dlc29_any_red_pestilens_alarm_payoff_1	wh3_dlc29_any_red_pestilens_alarm_1	false
wh3_dlc29_any_red_pestilens_alarm_payoff_1_generated	wh3_dlc29_any_red_pestilens_alarm_payoff_1	false
wh3_dlc29_any_action_plague_1	wh3_dlc29_any_red_plague_1	false
wh3_dlc29_any_action_plague_2	wh3_dlc29_any_red_plague_2	false
wh3_dlc29_any_action_plague_3	wh3_dlc29_any_red_plague_3	false
wh3_dlc29_any_action_plague_1_elite	wh3_dlc29_any_red_plague_elite_1	false
wh3_dlc29_any_action_plague_2_elite	wh3_dlc29_any_red_plague_elite_2	false
wh3_dlc29_any_action_plague_3_elite	wh3_dlc29_any_red_plague_elite_3	false
wh3_dlc29_any_red_rictus_alarm_payoff_1	wh3_dlc29_any_red_rictus_alarm_1	false
wh3_dlc29_any_red_rictus_alarm_payoff_1_generated	wh3_dlc29_any_red_rictus_alarm_payoff_1	false
wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1	wh3_dlc29_any_red_rival_grey_seer_alarm_1	false
wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1_generated	wh3_dlc29_any_red_rival_grey_seer_alarm_payoff_1	false
wh3_dlc29_any_red_skryre_alarm_payoff_1	wh3_dlc29_any_red_skryre_alarm_1	false
wh3_dlc29_any_red_skryre_alarm_payoff_1_generated	wh3_dlc29_any_red_skryre_alarm_payoff_1	false
wh3_dlc29_any_tactic_reduce_risk_1_generated	wh3_dlc29_any_tactic_reduce_risk_1	false
wh3_dlc29_any_tactic_reduce_risk_2_generated	wh3_dlc29_any_tactic_reduce_risk_2	false
wh3_dlc29_any_tactic_reduce_risk_3_generated	wh3_dlc29_any_tactic_reduce_risk_3	false
wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_4	wh3_dlc29_economic_green_basic_warpstone_gdp_small_4	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_5	wh3_dlc29_economic_green_basic_warpstone_gdp_small_5	true
wh3_dlc29_economic_red_have_warpstone_lose_food	wh3_dlc29_economic_green_basic_warpstone_large_1	true
wh3_dlc29_economic_red_have_warpstone_lose_food	wh3_dlc29_economic_green_basic_warpstone_very_large_1	true
wh3_dlc29_magic_red_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_magic_red_chaos_corruption_2	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_magic_red_chaos_corruption_3	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_magic_red_elite_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_magic_red_tzeentch_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_1	true
wh3_dlc29_magic_red_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_magic_red_chaos_corruption_2	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_magic_red_chaos_corruption_3	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_magic_red_elite_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_magic_red_tzeentch_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_2	true
wh3_dlc29_magic_red_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_3	true
wh3_dlc29_magic_red_chaos_corruption_2	wh3_dlc29_economic_green_grey_seer_treasury_large_3	true
wh3_dlc29_magic_red_chaos_corruption_3	wh3_dlc29_economic_green_grey_seer_treasury_large_3	true
wh3_dlc29_magic_red_elite_chaos_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_3	true
wh3_dlc29_magic_red_tzeentch_corruption_1	wh3_dlc29_economic_green_grey_seer_treasury_large_3	true
wh3_dlc29_economic_green_eshin_all_1	wh3_dlc29_economic_mod_pool_eshin_all_1	true
wh3_dlc29_economic_green_grey_seer_treasury_large_1	wh3_dlc29_economic_mod_pool_grey_seer_treasury_large_1	true
wh3_dlc29_economic_green_rictus_warpstone_1	wh3_dlc29_economic_mod_pool_rictus_warpstone_1	true
wh3_dlc29_economic_green_skryre_treasury_1	wh3_dlc29_economic_mod_pool_skryre_treasury_1	true
wh3_dlc29_economic_green_skryre_warpstone_1	wh3_dlc29_economic_mod_pool_skryre_warpstone_1	true
wh3_dlc29_economic_green_basic_treasury_gdp_large_2	wh3_dlc29_economic_upgrade_basic_treasury_gdp_2	true
wh3_dlc29_economic_green_basic_treasury_gdp_small_2	wh3_dlc29_economic_upgrade_basic_treasury_gdp_2	true
wh3_dlc29_economic_green_basic_treasury_gdp_large_3	wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	true
wh3_dlc29_economic_green_basic_treasury_gdp_small_3	wh3_dlc29_economic_upgrade_basic_treasury_gdp_3	true
wh3_dlc29_economic_green_basic_treasury_gdp_large_4	wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	true
wh3_dlc29_economic_green_basic_treasury_gdp_small_4	wh3_dlc29_economic_upgrade_basic_treasury_gdp_4	true
wh3_dlc29_economic_green_basic_treasury_gdp_large_5	wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	true
wh3_dlc29_economic_green_basic_treasury_gdp_small_5	wh3_dlc29_economic_upgrade_basic_treasury_gdp_5	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_2	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_2	true
wh3_dlc29_economic_green_basic_warpstone_gdp_small_2	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_2	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_3	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	true
wh3_dlc29_economic_green_basic_warpstone_gdp_small_3	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_3	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_4	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	true
wh3_dlc29_economic_green_basic_warpstone_gdp_small_4	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_4	true
wh3_dlc29_economic_green_basic_warpstone_gdp_large_5	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	true
wh3_dlc29_economic_green_basic_warpstone_gdp_small_5	wh3_dlc29_economic_upgrade_basic_warpstone_gdp_5	true
wh3_dlc29_economic_green_eshin_all_2	wh3_dlc29_economic_upgrade_eshin_all_2	true
wh3_dlc29_economic_green_eshin_all_3	wh3_dlc29_economic_upgrade_eshin_all_3	true
wh3_dlc29_economic_green_grey_seer_treasury_large_2	wh3_dlc29_economic_upgrade_grey_seer_treasury_large_2	true
wh3_dlc29_economic_green_grey_seer_treasury_large_3	wh3_dlc29_economic_upgrade_grey_seer_treasury_large_3	true
wh3_dlc29_economic_green_rictus_warpstone_2	wh3_dlc29_economic_upgrade_rictus_warpstone_2	true
