agent_subtype	effect_bundle
#faction_starting_general_effects_tables;0;db/faction_starting_general_effects_tables/data__	
wh2_dlc09_skv_tretch_craventail	wh_dlc09_lord_trait_skv_tretch_craventail
wh2_dlc09_tmb_arkhan	wh2_dlc09_lord_trait_tmb_arkhan
wh2_dlc09_tmb_khalida	wh2_dlc09_lord_trait_tmb_khalida
wh2_dlc09_tmb_khatep	wh2_dlc09_lord_trait_tmb_khatep
wh2_dlc09_tmb_settra	wh2_dlc09_lord_trait_tmb_settra
wh2_dlc10_def_crone_hellebron	wh2_dlc10_lord_trait_def_hellebron
wh2_dlc10_hef_alarielle	wh2_dlc10_lord_trait_hef_alarielle
wh2_dlc10_hef_alith_anar	wh2_dlc10_lord_trait_hef_alith_anar
wh2_dlc11_cst_aranessa	wh2_dlc11_lord_trait_cst_aranessa
wh2_dlc11_cst_cylostra	wh2_dlc11_lord_trait_cst_cylostra
wh2_dlc11_cst_harkon	wh2_dlc11_lord_trait_cst_harkon
wh2_dlc11_cst_noctilus	wh2_dlc11_lord_trait_cst_noctilus
wh2_dlc11_def_lokhir	wh2_dlc11_lord_trait_def_lokhir
wh2_dlc12_lzd_tehenhauin	wh2_dlc12_lord_trait_lzd_lord_tehenhauin
wh2_dlc12_lzd_tiktaqto	wh2_dlc12_lord_trait_lzd_lord_tiktaqto
wh2_dlc12_skv_ikit_claw	wh2_dlc12_lord_trait_skv_lord_ikit_claw
wh2_dlc13_emp_cha_markus_wulfhart	wh2_dlc13_lord_trait_emp_wulfhart
wh2_dlc13_lzd_gor_rok	wh2_dlc13_lord_trait_lzd_gorrok
wh2_dlc13_lzd_nakai	wh2_dlc13_lord_trait_lzd_nakai
wh2_dlc14_brt_repanse	wh2_dlc14_lord_trait_brt_repanse
wh2_dlc14_def_malus_darkblade	wh2_dlc14_lord_trait_def_malus
wh2_dlc14_skv_deathmaster_snikch	wh2_dlc14_lord_trait_lzd_snikch
wh2_dlc15_grn_grom_the_paunch	wh2_dlc15_lord_trait_grn_grom_the_paunch
wh2_dlc15_hef_eltharion	wh2_dlc15_lord_trait_hef_eltharion
wh2_dlc15_hef_imrik	wh2_dlc15_lord_trait_hef_imrik
wh2_dlc16_skv_throt_the_unclean	wh2_dlc16_lord_trait_skv_throt_the_unclean
wh2_dlc16_wef_drycha	wh2_dlc16_lord_trait_drycha
wh2_dlc16_wef_sisters_of_twilight	wh2_dlc16_lord_trait_wef_sisters_of_twilight
wh2_dlc17_bst_taurox	wh2_dlc17_lord_trait_bst_taurox
wh2_dlc17_dwf_thorek	wh2_dlc17_lord_trait_dwf_thorek
wh2_dlc17_lzd_oxyotl	wh2_dlc17_lord_trait_lzd_oxyotl
wh2_main_def_malekith	wh2_main_lord_trait_malekith
wh2_main_def_morathi	wh2_main_lord_trait_def_morathi
wh2_main_hef_teclis	wh2_main_lord_trait_hef_teclis
wh2_main_hef_tyrion	wh2_main_lord_trait_hef_tyrion
wh2_main_lzd_kroq_gar	wh2_main_lord_trait_lzd_kroq_gar
wh2_main_lzd_lord_mazdamundi	wh2_main_lord_trait_lzd_lord_mazdamundi
wh2_main_skv_lord_skrolk	wh2_main_lord_trait_skv_lord_skrolk
wh2_main_skv_queek_headtaker	wh2_main_lord_trait_skv_queek_headtaker
wh2_twa03_def_rakarth	wh2_twa03_lord_trait_rakarth
wh3_dlc20_kho_valkia	wh3_dlc20_lord_trait_chs_valkia
wh3_dlc20_nur_festus	wh3_dlc20_lord_trait_chs_festus
wh3_dlc20_sla_azazel	wh3_dlc20_lord_trait_chs_azazel
wh3_dlc20_tze_vilitch	wh3_dlc20_lord_trait_chs_vilitch
wh3_dlc23_chd_astragoth	wh3_dlc23_lord_trait_chd_astragoth
wh3_dlc23_chd_drazhoath	wh3_dlc23_lord_trait_chd_drazhoath
wh3_dlc23_chd_zhatan	wh3_dlc23_lord_trait_chd_zhatan
wh3_dlc24_cth_yuan_bo	wh3_dlc24_lord_trait_cth_yuan_bo
wh3_dlc24_ksl_mother_ostankya	wh3_dlc24_lord_trait_ksl_mother_ostankya
wh3_dlc24_tze_the_changeling	wh3_dlc24_lord_trait_tze_the_changeling
wh3_dlc25_dwf_malakai_makaisson	wh3_dlc25_lord_trait_malakai
wh3_dlc25_emp_elspeth_von_draken	wh3_dlc25_lord_trait_elspeth
wh3_dlc25_nur_epidemius	wh3_dlc25_lord_trait_epidemius
wh3_dlc25_nur_tamurkhan	wh3_dlc25_lord_trait_tamurkhan
wh3_dlc26_grn_gorbad_ironclaw	wh3_dlc26_lord_trait_grn_gorbad_ironclaw
wh3_dlc26_kho_arbaal_the_undefeated	wh3_dlc26_lord_trait_kho_arbaal
wh3_dlc26_kho_skulltaker	wh3_dlc26_lord_trait_kho_skulltaker
wh3_dlc26_ogr_golgfag_maneater	wh3_dlc26_lord_trait_ogr_golgfag
wh3_dlc27_hef_aislinn	wh3_dlc27_lord_trait_hef_aislinn
wh3_dlc27_nor_sayl_the_faithless	wh3_dlc27_lord_trait_nor_sayl
wh3_dlc27_sla_dechala	wh3_dlc27_lord_trait_sla_dechala
wh3_dlc27_sla_masque_of_slaanesh	wh3_dlc27_lord_trait_sla_the_masque
wh3_main_cth_miao_ying	wh3_main_lord_trait_cth_miao_ying
wh3_main_cth_zhao_ming	wh3_main_lord_trait_cth_zhao_ming
wh3_main_dae_belakor	wh3_main_lord_trait_chs_belakor
wh3_main_dae_daemon_prince	wh3_main_lord_trait_dae_daemon_prince
wh3_main_kho_skarbrand	wh3_main_lord_trait_kho_skarbrand
wh3_main_ksl_boris	wh3_main_lord_trait_ksl_boris
wh3_main_ksl_katarin	wh3_main_lord_trait_ksl_katarin
wh3_main_ksl_kostaltyn	wh3_main_lord_trait_ksl_kostaltyn
wh3_main_nur_kugath	wh3_main_lord_trait_nur_kugath
wh3_main_ogr_greasus_goldtooth	wh3_main_lord_trait_ogr_greasus
wh3_main_ogr_skrag_the_slaughterer	wh3_main_lord_trait_ogr_skrag
wh3_main_pro_ksl_yuri_0	wh3_main_prologue_lord_trait_yuri
wh3_main_sla_nkari	wh3_main_lord_trait_sla_nkari
wh3_main_tze_kairos	wh3_main_lord_trait_tze_kairos
wh_dlc01_chs_kholek_suneater	wh_main_lord_trait_chs_kholek_suneater
wh_dlc01_chs_prince_sigvald	wh_main_lord_trait_chs_prince_sigvald_the_magnificent
wh_dlc03_bst_khazrak	wh_dlc03_lord_trait_bst_khazrak
wh_dlc03_bst_malagor	wh_dlc03_lord_trait_bst_malagor
wh_dlc04_emp_volkmar	wh_dlc04_lord_trait_emp_volkmar_the_grim
wh_dlc04_vmp_helman_ghorst	wh_dlc04_lord_trait_vmp_helman_ghorst
wh_dlc04_vmp_vlad_con_carstein	wh_dlc04_lord_trait_vmp_vlad_von_carstein
wh_dlc05_bst_morghur	wh_dlc03_lord_trait_bst_morghur
wh_dlc05_wef_durthu	wh_dlc05_lord_trait_wef_durthu
wh_dlc05_wef_orion	wh_dlc05_lord_trait_wef_orion
wh_dlc06_dwf_belegar	wh_dlc06_lord_trait_dwf_belegar_ironhammer
wh_dlc06_grn_skarsnik	wh_dlc06_lord_trait_grn_skarsnik
wh_dlc06_grn_wurrzag_da_great_prophet	wh_dlc06_lord_trait_grn_wurrzag
wh_dlc07_brt_alberic	wh_dlc07_lord_trait_brt_alberic
wh_dlc07_brt_fay_enchantress	wh_dlc07_lord_trait_brt_fay
wh_dlc08_nor_throgg	wh_dlc08_lord_trait_nor_throgg
wh_dlc08_nor_wulfrik	wh_dlc08_lord_trait_nor_wulfrik
wh_main_brt_louen_leoncouer	wh_dlc07_lord_trait_brt_louen
wh_main_chs_archaon	wh_main_lord_trait_chs_archaon_the_everchosen
wh_main_dwf_thorgrim_grudgebearer	wh_main_lord_trait_dwf_thorgrim_grudgebearer
wh_main_dwf_ungrim_ironfist	wh_main_lord_trait_dwf_ungrim_ironfist
wh_main_emp_balthasar_gelt	wh_main_lord_trait_emp_balthasar_gelt
wh_main_emp_karl_franz	wh_main_lord_trait_emp_karl_franz
wh_main_grn_azhag_the_slaughterer	wh_main_lord_trait_grn_azhag_the_slaughterer
wh_main_grn_grimgor_ironhide	wh_main_lord_trait_grn_grimgor_ironhide
wh_main_vmp_heinrich_kemmler	wh_main_lord_trait_vmp_heinrich_kemmler
wh_main_vmp_mannfred_von_carstein	wh_main_lord_trait_vmp_mannfred_von_carstein
wh_pro01_dwf_grombrindal	wh_pro01_lord_trait_dwf_grombrindal
wh_pro02_vmp_isabella_von_carstein	wh_pro02_lord_trait_vmp_isabella_von_carstein
