key	token	shop_price	amount_needed_to_unlock	quantity	ownership_limit	for_all_schemers
#chaotic_plan_shop_category_objects_tables;2;db/chaotic_plan_shop_category_objects_tables/data__						
wh3_dlc29_economic_action_draw_warlock	wh3_dlc29_economic_action_draw_warlock	wh3_dlc29_skv_thanquol_shop_warpstone_600	5	1	1	false
wh3_dlc29_military_mod_pool_cannons_warlock_1	wh3_dlc29_military_mod_pool_warp_lightning_cannon_warlock_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_military_mod_pool_cannons_warlock_2	wh3_dlc29_military_mod_pool_doomwheel_1	wh3_dlc29_skv_thanquol_shop_warpstone_800	3	1	1	false
wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_military_upgrade_double_units_warlock	wh3_dlc29_skv_thanquol_shop_warpstone_1000	5	1	1	false
wh3_dlc29_shop_action_any_remove_red_2	wh3_dlc29_action_any_remove_red_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	1	1	1	false
wh3_dlc29_shop_action_any_remove_red_3	wh3_dlc29_action_any_remove_red_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	1	1	1	false
wh3_dlc29_shop_any_action_assassin_sell_instant	wh3_dlc29_any_action_assassin_sell_instant	wh3_dlc29_skv_thanquol_shop_warpstone_600	5	1	1	false
wh3_dlc29_shop_any_action_experience	wh3_dlc29_any_action_experience	wh3_dlc29_skv_thanquol_shop_warpstone_300	0	1	1	true
wh3_dlc29_shop_economic_action_instant_warpstone_1	wh3_dlc29_economic_action_instant_warpstone_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	4	1	1	false
wh3_dlc29_shop_economic_action_instant_warpstone_2	wh3_dlc29_economic_action_instant_warpstone_2	wh3_dlc29_skv_thanquol_shop_warpstone_200	4	1	1	false
wh3_dlc29_shop_economic_action_instant_warpstone_3	wh3_dlc29_economic_action_instant_warpstone_3	wh3_dlc29_skv_thanquol_shop_warpstone_200	4	1	1	false
wh3_dlc29_shop_economic_green_eshin_all_1	wh3_dlc29_economic_mod_pool_eshin_all_1	wh3_dlc29_skv_thanquol_shop_warpstone_1000	4	1	1	false
wh3_dlc29_shop_economic_green_eshin_all_2	wh3_dlc29_economic_upgrade_eshin_all_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	4	1	1	false
wh3_dlc29_shop_economic_green_eshin_all_3	wh3_dlc29_economic_upgrade_eshin_all_3	wh3_dlc29_skv_thanquol_shop_warpstone_300	4	1	1	false
wh3_dlc29_shop_economic_green_rictus_warpstone_1	wh3_dlc29_economic_mod_pool_rictus_warpstone_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	3	1	1	false
wh3_dlc29_shop_economic_green_rictus_warpstone_2	wh3_dlc29_economic_upgrade_rictus_warpstone_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	3	1	1	false
wh3_dlc29_shop_economic_green_rictus_warpstone_3	wh3_dlc29_economic_upgrade_rictus_warpstone_3	wh3_dlc29_skv_thanquol_shop_warpstone_300	3	1	1	false
wh3_dlc29_shop_economic_green_skryre_treasury_1	wh3_dlc29_economic_mod_pool_skryre_treasury_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_economic_green_skryre_treasury_2	wh3_dlc29_economic_upgrade_skryre_treasury_2	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_economic_green_skryre_treasury_3	wh3_dlc29_economic_upgrade_skryre_treasury_3	wh3_dlc29_skv_thanquol_shop_warpstone_600	4	1	1	false
wh3_dlc29_shop_economic_green_skryre_warpstone_1	wh3_dlc29_economic_mod_pool_skryre_warpstone_1	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_economic_green_skryre_warpstone_2	wh3_dlc29_economic_upgrade_skryre_warpstone_2	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_economic_green_skryre_warpstone_3	wh3_dlc29_economic_upgrade_skryre_warpstone_3	wh3_dlc29_skv_thanquol_shop_warpstone_300	1	1	1	false
wh3_dlc29_shop_economic_mod_pool_grey_seer_treasury_large_1	wh3_dlc29_economic_mod_pool_grey_seer_treasury_large_1	wh3_dlc29_skv_thanquol_shop_warpstone_600	5	1	1	false
