agent_subtype	agent_type	payload	spawn_to_pool	use_recruit_rank_bonuses	effect_bundle	suppress_ui_messages	override_forename	override_family_name	suppress_recruit_event
#campaign_payload_spawn_agents_tables;3;db/campaign_payload_spawn_agents_tables/data__									
wh2_main_skv_assassin	spy	wh3_dlc29_skv_add_hero_unit_assassin_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_assassin_abilities_1	true	476184585		true
wh2_main_skv_assassin	spy	wh3_dlc29_skv_add_hero_unit_assassin_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_assassin_abilities_2	true	476184585		true
wh2_main_skv_assassin	spy	wh3_dlc29_skv_add_hero_unit_assassin_3	false	false	wh3_dlc29_skv_chaotic_plans_enable_assassin_abilities_3	true	476184585		true
wh2_dlc16_skv_chieftain	champion	wh3_dlc29_skv_add_hero_unit_chieftain_0	false	false	wh3_dlc29_skv_chaotic_plans_enable_chieftain_abilities_1	true	2147360577		true
wh2_dlc16_skv_chieftain	champion	wh3_dlc29_skv_add_hero_unit_chieftain_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_chieftain_abilities_2	true	2147360577		true
wh2_dlc16_skv_chieftain	champion	wh3_dlc29_skv_add_hero_unit_chieftain_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_chieftain_abilities_3	true	2147360577		true
wh2_dlc14_skv_eshin_sorcerer	wizard	wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_eshin_sorceror_spells_1	true	1632979410		true
wh2_dlc14_skv_eshin_sorcerer	wizard	wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_eshin_sorceror_spells_2	true	1632979410		true
wh2_dlc14_skv_eshin_sorcerer	wizard	wh3_dlc29_skv_add_hero_unit_eshin_sorcerer_3	false	false	wh3_dlc29_skv_chaotic_plans_enable_eshin_sorceror_spells_3	true	1632979410		true
wh2_dlc16_skv_packmaster	runesmith	wh3_dlc29_skv_add_hero_unit_packmaster_0	false	false	wh3_dlc29_skv_chaotic_plans_enable_packmaster_abilities_1	true	197884101		true
wh2_dlc16_skv_packmaster	runesmith	wh3_dlc29_skv_add_hero_unit_packmaster_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_packmaster_abilities_2	true	197884101		true
wh2_dlc16_skv_packmaster	runesmith	wh3_dlc29_skv_add_hero_unit_packmaster_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_packmaster_abilities_3	true	197884101		true
wh2_main_skv_plague_priest	wizard	wh3_dlc29_skv_add_hero_unit_plague_priest_0	false	false	wh3_dlc29_skv_chaotic_plans_enable_plague_priest_spells_1	true	1431649822		true
wh2_main_skv_plague_priest	wizard	wh3_dlc29_skv_add_hero_unit_plague_priest_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_plague_priest_spells_2	true	1431649822		true
wh2_main_skv_plague_priest	wizard	wh3_dlc29_skv_add_hero_unit_plague_priest_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_plague_priest_spells_3	true	1431649822		true
wh2_main_skv_warlock_engineer	engineer	wh3_dlc29_skv_add_hero_unit_warlock_engineer_1	false	false	wh3_dlc29_skv_chaotic_plans_enable_warlock_engineer_spells_1	true	1621301403		true
wh2_main_skv_warlock_engineer	engineer	wh3_dlc29_skv_add_hero_unit_warlock_engineer_2	false	false	wh3_dlc29_skv_chaotic_plans_enable_warlock_engineer_spells_2	true	1621301403		true
wh2_main_skv_warlock_engineer	engineer	wh3_dlc29_skv_add_hero_unit_warlock_engineer_3	false	false	wh3_dlc29_skv_chaotic_plans_enable_warlock_engineer_spells_3	true	1621301403		true
