faction1	faction2	key	stance	grants_military_access	grants_trade_agreement	non_aggression_pact
#start_pos_diplomacy_tables;2;db/start_pos_diplomacy_tables/data__						
1001732985	815669351	317199361	war	false	false	false
1019828114	1496322526	1871756206	war	false	false	false
1038458061	1221118825	1755445251	war	false	false	false
1038458061	1503274821	582485506	neutral	false	false	false
1039784819	252096984	231163658	war	false	false	false
1039784819	270212848	2076393091	war	false	false	false
1039784819	299896925	634657292	neutral	false	false	true
1040769121	476033301	102541049	neutral	false	false	true
1040769121	720812093	1583582492	war	false	false	false
1047877759	2030819466	687949332	war	false	false	false
105099250	1133653520	2110167730	war	false	false	false
105099250	905043015	1969729865	war	false	false	false
1090334645	106416812	645490021	war	false	false	false
1097687781	1275399487	1894027489	neutral	false	false	true
1097687781	1443494585	671646041	war	false	false	false
1105634588	316132094	680202217	war	false	false	false
1105634588	799036441	1425169077	war	false	false	false
1133653520	1673374258	88292033	neutral	true	false	true
1147831406	1443954661	1500901379	neutral	false	false	false
1147831406	1767430733	561219544	war	false	false	false
1152735912	983952412	230986187	war	false	false	false
1153480027	1483749746	1806939236	war	false	false	false
1160931066	1418631753	1635165351	war	false	false	false
1162270304	1436269821	600922619	war	false	false	false
1162270304	836453197	1842847632	war	false	false	false
1176052527	1456132922	1177743446	war	false	false	false
1176440322	1360928918	62981605	neutral	false	false	true
1176440322	1443494585	1243256843	neutral	false	false	true
1176440322	659172782	1288268181	war	false	false	false
1184031258	1114600230	818933367	war	false	false	false
1221118825	1114600230	25125702	neutral	false	false	false
1222085851	233917443	1047302147	war	false	false	false
1222426971	2100662971	486087752	war	false	false	false
1226683887	1595842783	812211512	war	false	false	false
1226683887	835127146	1138301092	neutral	true	true	true
1226683887	896524730	35612612	neutral	false	false	false
1228528422	963839947	2118170684	war	false	false	false
1230551507	1038458061	1412086767	neutral	false	false	false
1230551507	1114600230	1349638177	neutral	false	false	false
1230551507	1221118825	667413586	neutral	false	false	false
1230551507	1287535217	1331267065	neutral	false	false	false
1230551507	1304989816	671758014	neutral	false	false	false
1230551507	1482038259	2146902817	neutral	false	false	true
1230551507	1503274821	1056593825	neutral	false	false	false
1230551507	1994558830	1735552585	war	false	false	false
1230551507	2113120916	478738139	neutral	false	false	false
1230551507	2143875224	1972242983	neutral	false	false	false
1230551507	27974696	1597807165	neutral	false	true	false
1230551507	561137669	932542776	neutral	false	false	true
1230551507	815669351	1058177655	neutral	false	false	false
1230551507	848111430	2143858067	neutral	false	true	false
1232471715	1540309396	713120246	war	false	false	false
1233876449	701595204	667667204	war	false	false	false
1249570423	568296057	35428976	war	false	false	false
1249570423	759572821	1087413126	war	false	false	false
1254481662	1575377	39715850	neutral	false	true	true
1254481662	394088986	21237591	war	false	false	false
126117059	1050968618	1359085615	war	false	false	false
126117059	519816309	1969594601	neutral	true	false	true
1263105721	1919523229	817412115	war	false	false	false
1263105721	339725344	445052119	war	false	false	false
1264920079	204672036	1481297610	war	false	false	false
126940812	783169615	749451807	neutral	true	false	true
1275399487	1443494585	1210770325	war	false	false	false
1277704031	795012507	1544458621	war	false	false	false
1287535217	1767864392	895827368	neutral	false	true	false
1287535217	664202917	1994454906	neutral	false	true	false
1287535217	823417961	358422147	neutral	false	false	true
1292717374	145324297	102332635	war	false	false	false
1292717374	454078334	317220039	neutral	false	false	true
1293784377	257714636	1188260838	neutral	false	false	true
1293784377	927200392	1418213457	war	false	false	false
1304989816	2096232174	1846311667	war	false	false	false
1304989816	27974696	1910819129	neutral	false	true	false
1311263010	1133653520	773734078	war	false	false	false
1311263010	1673374258	1793887873	war	false	false	false
1326199041	827911745	1632623954	war	false	false	false
1332560320	1196890600	1819881502	neutral	false	false	false
1332560320	1537615998	1928781329	war	false	false	false
1333936363	1179515434	683117011	neutral	true	true	true
1333936363	1419984050	557037495	neutral	false	false	true
1333936363	1491488285	2076932876	war	false	false	false
1334941675	1196890600	856310831	war	false	false	false
1334941675	951716403	2038850733	neutral	true	false	false
1342265001	126940812	648029668	war	false	false	false
1342265001	378975188	2135959328	war	false	false	false
138093138	1043860424	1751440011	war	false	false	false
138093138	659172782	1972709307	war	false	false	false
