key	building_level	position_index	icon_name	mp_available_early	mp_available_late	info_pic	unique_index	is_civil	is_engineering	is_military	is_hidden
#technologies_tables;7;db/technologies_tables/data__											
tech_dlc14_brt_bretonnian_diplomacy	wh_main_chs_port_ruin	1	tech_dlc14_brt_bretonnian_diplomacy	false	false	"placeholder.tga"	185516435	false	false	true	false
tech_dlc14_brt_chivalry_tomb_kings_2	wh_main_chs_port_ruin	1	tech_dlc14_brt_chivalry_tomb_kings_2	false	false	"placeholder.tga"	150545880	false	false	true	false
tech_dlc14_brt_code_of_conduct	wh_main_chs_port_ruin	1	tech_dlc14_brt_code_of_conduct	false	false	"placeholder.tga"	577630386	false	false	true	false
tech_dlc14_brt_heraldry_oversea_repanse	wh_main_chs_port_ruin	1	tech_dlc07_brt_heraldry_oversea	false	false	"placeholder.tga"	1119459145	false	false	true	false
tech_dlc14_brt_heroic_duties	wh_main_chs_port_ruin	1	tech_dlc14_brt_heroic_duties	false	false	"placeholder.tga"	852987585	false	false	true	false
tech_dlc14_brt_prayer_of_fortitude	wh_main_chs_port_ruin	1	tech_dlc14_brt_prayer_of_fortitude	false	false	"placeholder.tga"	899196180	false	false	true	false
tech_dlc14_brt_rally_the_peasants	wh_main_chs_port_ruin	1	tech_dlc14_brt_rally_the_peasants	false	false	"placeholder.tga"	1874256010	false	false	true	false
tech_dlc14_brt_righteous_strength	wh_main_chs_port_ruin	1	tech_dlc14_brt_righteous_strength	false	false	"placeholder.tga"	2082010708	false	false	true	false
tech_dlc14_brt_the_ladys_favour	wh_main_chs_port_ruin	1	tech_dlc14_brt_the_ladys_favour	false	false	"placeholder.tga"	156615760	false	false	true	false
tech_dlc14_skv_2_4_eshin	wh_main_chs_port_ruin	1	wh2_skv_tech_step_on_underlings	false	false	"placeholder.tga"	769550541	false	false	true	false
tech_dlc14_skv_3_0_eshin	wh_main_chs_port_ruin	1	wh2_skv_tech_deviousness	false	false	"placeholder.tga"	2046959767	false	false	true	false
tech_dlc14_skv_8_0_eshin	wh_main_chs_port_ruin	1	wh2_skv_tech_ruthlessness	false	false	"placeholder.tga"	1167428617	false	false	true	false
tech_dlc16_skv_1_0_moulder	wh_main_chs_port_ruin	1	wh2_skv_tech_ferocity	false	false	"placeholder.tga"	66135366	false	false	true	false
