campaign	faction	excluded_from_ai_attitude_analysis	excluded_from_ai_diplomacy	excluded_from_ui_diplomacy
#cai_diplomacy_excluded_factions_tables;1;db/cai_diplomacy_excluded_factions_tables/data__				
	wh2_dlc10_def_blood_voyage	true	true	true
wh3_main_combi	wh2_main_chs_chaos_incursion_def	true	true	true
wh3_main_combi	wh2_main_chs_chaos_incursion_hef	true	true	true
wh3_main_combi	wh2_main_chs_chaos_incursion_lzd	true	true	true
	wh2_main_nor_hung_incursion_def	true	true	true
	wh2_main_nor_hung_incursion_hef	true	true	true
	wh2_main_nor_hung_incursion_lzd	true	true	true
	wh2_main_nor_hung_incursion_skv	true	true	true
	wh2_main_skv_unknown_clan_def	true	true	true
	wh2_main_skv_unknown_clan_hef	true	true	true
	wh2_main_skv_unknown_clan_lzd	true	true	true
	wh2_main_skv_unknown_clan_skv	true	true	true
wh3_main_chaos	wh3_main_kho_brazen_throne	true	true	true
wh3_main_chaos	wh3_main_nur_bubonic_swarm	true	true	true
wh3_main_chaos	wh3_main_rogue_shadow_legion	true	true	true
wh3_main_chaos	wh3_main_rogue_the_bloody_harvest	true	true	true
wh3_main_chaos	wh3_main_rogue_the_fluxion_host	true	true	true
wh3_main_chaos	wh3_main_rogue_the_pleasure_tide	true	true	true
wh3_main_chaos	wh3_main_rogue_the_putrid_swarm	true	true	true
wh3_main_chaos	wh3_main_sla_rapturous_excess	true	true	true
wh3_main_chaos	wh3_main_tze_all_seeing_eye	true	true	true
