technology	unit_upgrade
#unit_upgrade_to_tech_requirements_tables;0;db/unit_upgrade_to_tech_requirements_tables/data__	
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_chariot_kho_to_gorebeast_chariot
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_chariot_und_to_gorebeast_chariot
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_chariot_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_chariot_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_chariot_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_chariot_und_to_tze
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_chosen_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_chosen_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_chosen_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_chosen_und_to_tze
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_forsaken_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_forsaken_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_forsaken_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_forsaken_und_to_tze
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_gorebeast_chariot_und_to_kho
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_hellstriders_to_knights
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_knights_kho_skullcrushers
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_knights_tze_doom_knights
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_knights_und_to_doom_knights
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_knights_und_to_doom_knights
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_knights_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_knights_und_to_nur
wh3_dlc20_chs_und_shared_daemonic_mounts	wh3_dlc20_chs_knights_und_to_skullcrushers
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_knights_und_to_skullcrushers
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_knights_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_knights_und_to_tze
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemasters_to_hellstriders
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_marauder_horsemasters_to_knights
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_kho_to_chariot
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_marauder_horsemen_kho_to_knights
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_nur_to_chariot
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_marauder_horsemen_nur_to_knights
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_sla_to_chariot
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_sla_to_hellstriders
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_tze_to_chariot
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_marauder_horsemen_tze_to_knights
wh3_dlc20_chs_und_shared_chariots	wh3_dlc20_chs_marauder_horsemen_und_to_chariot
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_marauder_horsemen_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_marauder_horsemen_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_marauder_horsemen_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_marauder_horsemen_und_to_tze
wh3_dlc20_chs_und_shared_mutants	wh3_dlc20_chs_marauder_inf_kho_to_forsaken
wh3_dlc20_chs_und_shared_mutants	wh3_dlc20_chs_marauder_inf_nur_to_forsaken
wh3_dlc20_chs_und_shared_mutants	wh3_dlc20_chs_marauder_inf_sla_to_forsaken
wh3_dlc20_chs_und_shared_mutants	wh3_dlc20_chs_marauder_inf_tze_to_forsaken
wh3_dlc20_chs_und_shared_mutants	wh3_dlc20_chs_marauder_inf_und_to_forsaken
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_marauder_inf_und_to_kho
wh3_dlc20_chs_und_shared_marks_nurgle	wh3_dlc20_chs_marauder_inf_und_to_nur
wh3_dlc20_chs_und_shared_marks_slaanesh	wh3_dlc20_chs_marauder_inf_und_to_sla
wh3_dlc20_chs_und_shared_marks_tzeentch	wh3_dlc20_chs_marauder_inf_und_to_tze
wh3_dlc20_chs_und_shared_chosen	wh3_dlc20_chs_warriors_kho_to_chosen
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_warriors_kho_to_knights
wh3_dlc20_chs_und_shared_chosen	wh3_dlc20_chs_warriors_nur_to_chosen
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_warriors_nur_to_knights
wh3_dlc20_chs_und_shared_chosen	wh3_dlc20_chs_warriors_sla_to_chosen
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_warriors_sla_to_knights
wh3_dlc20_chs_und_shared_chosen	wh3_dlc20_chs_warriors_tze_to_chosen
wh3_dlc20_chs_und_shared_knights	wh3_dlc20_chs_warriors_tze_to_knights
wh3_dlc20_chs_und_shared_chosen	wh3_dlc20_chs_warriors_und_to_chosen
wh3_dlc20_chs_und_shared_marks_khorne	wh3_dlc20_chs_warriors_und_to_kho
